'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOULBURN AIRPORT New South Wales for January 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 February 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOULBURN AIRPORT,01/01/2017,4.0,0.0, ,28.0,13.7,99,35,2.86,12.39
GOULBURN AIRPORT,02/01/2017,5.1,0.2, ,25.3,16.6,92,51,4.36,23.79
GOULBURN AIRPORT,03/01/2017,5.8,0.0, ,23.6,14.2,94,42,5.07,29.48
GOULBURN AIRPORT,04/01/2017,4.4,0.2, ,22.2,12.3,96,48,4.55,20.81
GOULBURN AIRPORT,05/01/2017,5.8,0.0, ,26.9,12.3,95,40,4.09,26.48
GOULBURN AIRPORT,06/01/2017,6.1,0.0, ,27.2,13.5,96,40,4.08,28.92
GOULBURN AIRPORT,07/01/2017,5.7,0.0, ,29.5,10.5,98,24,1.11,30.85
GOULBURN AIRPORT,08/01/2017,4.5,0.0, ,32.5,11.4,97,24,0.00,26.50
GOULBURN AIRPORT,09/01/2017,2.5,0.0, ,33.6,18.2,94,28,0.00,11.35
GOULBURN AIRPORT,10/01/2017,5.9,3.6, ,31.8,18.5,96,37,3.28,22.25
GOULBURN AIRPORT,11/01/2017,8.6,0.0, ,35.6,15.1,94,28,5.27,28.16
GOULBURN AIRPORT,12/01/2017,7.0,0.0, ,31.0,15.3,95,34,3.98,29.65
GOULBURN AIRPORT,13/01/2017,10.5,0.0, ,39.1,14.6,94,22,7.32,23.23
GOULBURN AIRPORT,14/01/2017,9.0,0.0, ,29.4,18.8,79,19,7.66,29.66
GOULBURN AIRPORT,15/01/2017,6.2,0.0, ,28.6,8.0,99,32,3.41,28.77
GOULBURN AIRPORT,16/01/2017,7.9,0.0, ,34.0,14.5,93,14,3.42,30.02
GOULBURN AIRPORT,17/01/2017,8.1,0.0, ,37.7,10.9,98,20,4.02,23.45
GOULBURN AIRPORT,18/01/2017,12.1,0.0, ,38.1,21.0,91,8,8.33,28.05
GOULBURN AIRPORT,19/01/2017,3.0,0.0, ,21.5,12.7,94,62,5.82,10.89
GOULBURN AIRPORT,20/01/2017,3.6,1.8, ,27.3,13.9,94,59,7.19,7.57
GOULBURN AIRPORT,21/01/2017,6.7,6.4, ,28.8,6.5,92,22,3.48,29.77
GOULBURN AIRPORT,22/01/2017,6.9,0.0, ,31.4,14.3,89,28,3.57,27.71
GOULBURN AIRPORT,23/01/2017,7.7,0.0, ,35.7,11.5,98,28,4.46,24.34
GOULBURN AIRPORT,24/01/2017,6.4,0.0, ,31.3,20.0,90,38,8.81,11.50
GOULBURN AIRPORT,25/01/2017,3.8,0.0, ,25.4,13.0,94,52,4.32,13.44
GOULBURN AIRPORT,26/01/2017,5.3,0.0, ,28.4,14.6,93,45,3.89,21.73
GOULBURN AIRPORT,27/01/2017,6.2,0.0, ,29.9,15.2,95,41,4.60,25.23
GOULBURN AIRPORT,28/01/2017,7.8,0.0, ,35.1,13.0,97,21,4.22,25.47
GOULBURN AIRPORT,29/01/2017,7.6,0.0, ,35.6,15.2,92,10,2.95,27.48
GOULBURN AIRPORT,30/01/2017,10.0,0.0, ,38.5,14.1,98,15,6.05,24.25
GOULBURN AIRPORT,31/01/2017,8.4,0.0, ,37.4,21.1,94,18,5.82,18.00
Totals:,,202.6,12.2, ,,,,,, 
