'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON AIRPORT New South Wales for August 2010,,,,,,,,,,
Issued at 04:30 GMT on Wednesday 01 September 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON AIRPORT,01/08/2010,2.0,0.0, ,22.1,6.6,97,31,0.94,16.45
GRAFTON AIRPORT,02/08/2010,2.9,0.0, ,21.1,6.5,93,18,2.14,16.92
GRAFTON AIRPORT,03/08/2010,2.6,0.0, ,21.3,6.1,80,38,2.28,13.73
GRAFTON AIRPORT,04/08/2010,2.4,0.0, ,21.2,3.9,96,31,1.69,16.87
GRAFTON AIRPORT,05/08/2010,2.3,0.0, ,22.0,2.4,98,36,1.38,16.75
GRAFTON AIRPORT,06/08/2010,2.7,0.0, ,19.7,7.0,89,29,2.27,17.21
GRAFTON AIRPORT,07/08/2010,2.3,0.0, ,19.8,0.5,96,40,1.73,17.12
GRAFTON AIRPORT,08/08/2010,2.2,0.0, ,20.2,2.3,97,39,1.38,17.32
GRAFTON AIRPORT,09/08/2010,2.3,0.0, ,22.9,2.7,97,46,1.36,16.77
GRAFTON AIRPORT,10/08/2010,0.9,2.4, ,17.6,11.2,98,91,1.21,4.50
GRAFTON AIRPORT,11/08/2010,2.5,33.6, ,20.3,14.7,98,32,2.19,12.45
GRAFTON AIRPORT,12/08/2010,2.8,0.2, ,18.4,7.7,82,37,2.73,17.06
GRAFTON AIRPORT,13/08/2010,2.4,0.0, ,21.0,4.9,94,30,1.26,17.89
GRAFTON AIRPORT,14/08/2010,2.6,0.0, ,21.6,2.8,97,41,1.91,18.22
GRAFTON AIRPORT,15/08/2010,3.1,0.0, ,24.0,2.9,98,22,1.86,17.29
GRAFTON AIRPORT,16/08/2010,3.2,0.0, ,23.5,8.3,74,27,1.92,18.11
GRAFTON AIRPORT,17/08/2010,2.6,0.0, ,19.9,2.8,95,30,1.72,18.75
GRAFTON AIRPORT,18/08/2010,2.9,0.0, ,22.3,2.3,97,42,2.22,18.30
GRAFTON AIRPORT,19/08/2010,2.9,0.0, ,26.8,8.0,97,37,1.48,16.46
GRAFTON AIRPORT,20/08/2010,2.4,0.0, ,24.7,13.4,93,30,1.58,9.11
GRAFTON AIRPORT,21/08/2010,2.8,0.0, ,20.8,3.2,96,28,1.69,19.49
GRAFTON AIRPORT,22/08/2010,2.7,0.0, ,20.0,0.7,96,36,1.86,18.13
GRAFTON AIRPORT,23/08/2010,1.5,1.4, ,18.5,9.8,95,73,1.65,7.96
GRAFTON AIRPORT,24/08/2010,2.2,1.2, ,19.2,9.2,94,42,1.65,12.16
GRAFTON AIRPORT,25/08/2010,2.8,0.2, ,19.6,10.6,73,36,2.45,11.91
GRAFTON AIRPORT,26/08/2010,3.4,0.0, ,20.8,10.7,66,27,2.12,19.52
GRAFTON AIRPORT,27/08/2010,3.8,0.0, ,22.6,8.4,71,25,2.48,20.32
GRAFTON AIRPORT,28/08/2010,2.9,0.0, ,21.2,3.0,95,32,1.68,20.20
GRAFTON AIRPORT,29/08/2010,2.9,0.0, ,22.1,5.5,94,34,1.66,17.77
GRAFTON AIRPORT,30/08/2010, ,0.0, ,22.6,4.7,98,41,1.31, 
GRAFTON AIRPORT,31/08/2010, ,0.0, ,23.7,8.4,97,36,2.06, 
Totals:,,75,39, ,,,,,, 
