'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON AIRPORT New South Wales for February 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 March 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON AIRPORT,01/02/2011,6.8,0.0, ,33.8,18.4,96,50,3.01,31.33
GRAFTON AIRPORT,02/02/2011,7.3,0.0, ,35.9,21.7,95,46,3.02,31.10
GRAFTON AIRPORT,03/02/2011,6.6,0.0, ,34.1,22.1,96,46,3.19,27.27
GRAFTON AIRPORT,04/02/2011,7.0,0.0, ,36.6,22.4,95,42,1.95,30.36
GRAFTON AIRPORT,05/02/2011,7.9,0.0, ,36.1,21.4,93,43,4.03,31.44
GRAFTON AIRPORT,06/02/2011,8.2,0.0, ,37.4,23.5,89,39,4.14,30.32
GRAFTON AIRPORT,07/02/2011,3.6,0.0, ,26.1,21.3,92,60,4.10,13.29
GRAFTON AIRPORT,08/02/2011,2.3,7.0, ,23.8,19.5,91,70,2.59,8.37
GRAFTON AIRPORT,09/02/2011,4.8,0.0, ,27.5,16.7,89,54,3.66,21.48
GRAFTON AIRPORT,10/02/2011,4.3,0.0, ,27.3,17.5,95,55,2.58,20.08
GRAFTON AIRPORT,11/02/2011,5.7,8.0, ,31.3,16.8,96,47,1.58,29.24
GRAFTON AIRPORT,12/02/2011,6.0,0.2, ,33.1,17.7,97,43,1.45,30.05
GRAFTON AIRPORT,13/02/2011,5.9,0.0, ,31.9,20.1,95,38,1.80,27.71
GRAFTON AIRPORT,14/02/2011,2.3,12.8, ,23.3,21.2,96,82,2.85,10.71
GRAFTON AIRPORT,15/02/2011,4.1,41.4, ,27.9,19.2,96,59,3.44,17.45
GRAFTON AIRPORT,16/02/2011,4.3,1.6, ,28.3,18.9,96,63,2.01,21.42
GRAFTON AIRPORT,17/02/2011,5.3,6.6, ,29.8,20.5,96,56,1.78,26.46
GRAFTON AIRPORT,18/02/2011,5.6,0.0, ,31.1,19.0,96,47,1.36,28.85
GRAFTON AIRPORT,19/02/2011,5.5,1.0, ,31.8,21.4,96,52,1.81,25.92
GRAFTON AIRPORT,20/02/2011,6.2,0.0, ,37.6,20.7,96,35,1.03,29.25
GRAFTON AIRPORT,21/02/2011,3.1,1.2, ,29.3,23.8,94,71,3.36,11.55
GRAFTON AIRPORT,22/02/2011,4.8,5.4, ,25.8,20.0,94,53,5.29,21.28
GRAFTON AIRPORT,23/02/2011,5.5,0.0, ,26.8,17.0,81,52,4.41,25.46
GRAFTON AIRPORT,24/02/2011,5.3,0.0, ,27.8,16.9,90,50,2.83,26.57
GRAFTON AIRPORT,25/02/2011,5.4,0.0, ,30.3,15.2,96,46,1.30,29.16
GRAFTON AIRPORT,26/02/2011,4.2,0.0, ,29.4,16.7,96,44,1.28,20.68
GRAFTON AIRPORT,27/02/2011,5.5,0.0, ,33.1,16.9,96,44,2.31,24.63
GRAFTON AIRPORT,28/02/2011,4.9,23.0, ,34.3,20.6,96,46,1.20,22.89
Totals:,,148.4,108.2, ,,,,,, 
