'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON AIRPORT New South Wales for August 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON AIRPORT,01/08/2013,2.1,0.2, ,21.0,7.9,97,57,2.37,14.05
GRAFTON AIRPORT,02/08/2013,2.4,0.0, ,23.0,4.7,99,43,1.35,17.50
GRAFTON AIRPORT,03/08/2013,2.6,0.0, ,21.4,4.3,98,25,1.39,18.42
GRAFTON AIRPORT,04/08/2013,2.6,0.0, ,22.5,2.4,98,31,1.51,18.18
GRAFTON AIRPORT,05/08/2013,2.5,0.0, ,22.1,2.0,99,35,1.29,18.71
GRAFTON AIRPORT,06/08/2013,3.0,0.0, ,24.6,1.8,99,25,1.59,18.90
GRAFTON AIRPORT,07/08/2013,2.5,0.0, ,25.4,3.4,98,27,0.97,18.22
GRAFTON AIRPORT,08/08/2013,3.7,0.0, ,21.3,4.3,97,16,2.90,19.32
GRAFTON AIRPORT,09/08/2013, ,0.0, ,23.0,5.5,94,31,1.81, 
GRAFTON AIRPORT,10/08/2013,2.7,0.0, ,25.4,3.4,98,22,1.27,17.58
GRAFTON AIRPORT,11/08/2013,2.9,0.0, ,25.5,4.2,98,30,1.22,19.31
GRAFTON AIRPORT,12/08/2013,3.3,0.0, ,29.5,6.6,98,18,1.56,17.86
GRAFTON AIRPORT,13/08/2013,3.4,0.0, ,24.3,7.2,88,24,1.80,20.25
GRAFTON AIRPORT,14/08/2013,1.8,0.0, ,21.0,5.5,93,51,0.81,12.27
GRAFTON AIRPORT,15/08/2013,3.9,0.0, ,21.7,4.4,99,16,2.82,21.04
GRAFTON AIRPORT,16/08/2013,2.8,0.0, ,21.4,3.0,94,39,1.60,19.76
GRAFTON AIRPORT,17/08/2013,1.3,0.0, ,16.5,6.2,98,66,0.96,7.50
GRAFTON AIRPORT,18/08/2013,3.2,2.4, ,24.1,4.2,99,21,1.29,21.38
GRAFTON AIRPORT,19/08/2013,3.5,0.0, ,24.2,2.8,98,15,1.57,21.31
GRAFTON AIRPORT,20/08/2013,3.8,0.0, ,20.0,4.2,89,14,2.48,21.95
GRAFTON AIRPORT,21/08/2013,2.9,0.0, ,19.0,-1.5,93,22,1.35,22.09
GRAFTON AIRPORT,22/08/2013,2.3,0.0, ,19.0,-1.7,97,28,1.11,18.42
GRAFTON AIRPORT,23/08/2013,3.1,0.0, ,23.6,-0.4,97,21,1.68,17.77
GRAFTON AIRPORT,24/08/2013,3.4,0.0, ,24.1,6.6,92,29,1.50,21.72
GRAFTON AIRPORT,25/08/2013,3.3,0.0, ,24.3,5.3,97,39,1.65,21.48
GRAFTON AIRPORT,26/08/2013,3.7,0.0, ,26.0,7.6,98,27,1.47,22.18
GRAFTON AIRPORT,27/08/2013,3.8,0.0, ,26.3,5.2,99,22,1.53,22.55
GRAFTON AIRPORT,28/08/2013,4.1,0.0, ,27.2,5.8,97,25,2.01,22.26
GRAFTON AIRPORT,29/08/2013,3.0,0.0, ,24.5,8.2,98,46,1.75,18.63
GRAFTON AIRPORT,30/08/2013,3.7,0.0, ,26.3,8.6,99,43,2.40,20.63
GRAFTON AIRPORT,31/08/2013,3.3,0.0, ,27.3,10.9,98,40,1.45,18.54
Totals:,,90.6,2.6, ,,,,,, 
