'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON AIRPORT New South Wales for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON AIRPORT,01/04/2015,3.3,8.8, ,27.0,17.4,99,54,1.97,16.27
GRAFTON AIRPORT,02/04/2015,2.6,0.2, ,25.1,15.6,99,67,1.94,13.36
GRAFTON AIRPORT,03/04/2015,2.7,1.4, ,26.7,18.3,99,63,2.13,12.79
GRAFTON AIRPORT,04/04/2015,1.0,9.8, ,21.4,19.0,99,86,2.01,3.23
GRAFTON AIRPORT,05/04/2015,2.2,26.6, ,25.2,18.4,100,65,1.32,11.02
GRAFTON AIRPORT,06/04/2015,3.4,17.6, ,27.7,16.2,100,48,1.37,19.18
GRAFTON AIRPORT,07/04/2015,3.7,6.6, ,27.9,17.1,100,34,2.05,16.73
GRAFTON AIRPORT,08/04/2015,4.2,0.0, ,26.9,10.7,88,26,2.43,20.64
GRAFTON AIRPORT,09/04/2015,3.6,0.0, ,25.8,9.6,92,42,2.10,19.82
GRAFTON AIRPORT,10/04/2015,3.9,0.0, ,25.4,12.5,84,41,2.89,18.71
GRAFTON AIRPORT,11/04/2015,3.1,0.0, ,25.1,15.2,95,56,2.64,15.52
GRAFTON AIRPORT,12/04/2015,3.1,0.0, ,27.5,12.4,99,45,1.34,17.64
GRAFTON AIRPORT,13/04/2015,3.7,0.0, ,25.6,13.1,96,39,2.54,18.83
GRAFTON AIRPORT,14/04/2015,3.2,0.0, ,26.1,11.8,96,40,1.59,17.89
GRAFTON AIRPORT,15/04/2015,2.8,0.0, ,26.4,14.3,96,49,1.12,16.69
GRAFTON AIRPORT,16/04/2015,3.0,0.0, ,27.7,13.5,99,49,1.15,17.98
GRAFTON AIRPORT,17/04/2015,3.1,0.2, ,28.5,13.3,99,43,1.20,18.09
GRAFTON AIRPORT,18/04/2015,3.3,0.0, ,27.7,13.4,100,50,2.21,16.75
GRAFTON AIRPORT,19/04/2015,2.0,0.0, ,25.1,17.4,96,65,1.73,9.15
GRAFTON AIRPORT,20/04/2015,1.0,7.8, ,20.2,17.0,99,76,0.64,3.82
GRAFTON AIRPORT,21/04/2015,3.0,34.4, ,21.9,13.1,100,36,2.23,17.40
GRAFTON AIRPORT,22/04/2015,2.7,0.0, ,24.0,6.8,97,43,1.43,17.45
GRAFTON AIRPORT,23/04/2015,2.6,0.0, ,24.8,9.0,99,40,1.14,17.29
GRAFTON AIRPORT,24/04/2015,2.6,0.0, ,26.6,12.7,98,44,1.33,14.33
GRAFTON AIRPORT,25/04/2015,2.8,0.2, ,27.3,10.3,99,32,1.11,17.18
GRAFTON AIRPORT,26/04/2015,3.2,0.0, ,22.8,9.2,97,32,2.59,17.39
GRAFTON AIRPORT,27/04/2015,2.9,0.0, ,23.9,7.1,96,35,1.86,17.27
GRAFTON AIRPORT,28/04/2015,2.9,0.0, ,23.2,8.5,96,36,2.11,17.10
GRAFTON AIRPORT,29/04/2015,2.4,0.0, ,22.3,9.5,98,57,2.53,13.41
GRAFTON AIRPORT,30/04/2015,1.1,4.4, ,18.0,13.6,98,87,3.06,5.53
Totals:,,85.1,118, ,,,,,, 
