'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON RESEARCH STN New South Wales for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON RESEARCH STN,01/03/2009,6.4,0.0, ,34.8,18.3,87,41,2.78,27.04
GRAFTON RESEARCH STN,02/03/2009,3.5,0.0, ,27.5,19.4,89,61,2.44,15.11
GRAFTON RESEARCH STN,03/03/2009,4.8,0.0, ,29.2,21.5,82,54,2.32,22.11
GRAFTON RESEARCH STN,04/03/2009,4.7,0.0, ,31.8,21.2,88,52,1.78,21.34
GRAFTON RESEARCH STN,05/03/2009,6.4,0.0, ,27.2,17.2,83,25,3.51,29.04
GRAFTON RESEARCH STN,06/03/2009,5.5,0.0, ,29.0,14.2,85,39,2.33,27.70
GRAFTON RESEARCH STN,07/03/2009,5.4,0.0, ,30.8,17.7,89,45,2.16,26.85
GRAFTON RESEARCH STN,08/03/2009,4.9,0.0, ,30.0,18.5,90,49,2.27,23.65
GRAFTON RESEARCH STN,09/03/2009,3.9,10.2, ,27.8,18.9,91,60,3.22,16.91
GRAFTON RESEARCH STN,10/03/2009,3.5,18.2, ,25.9,19.1,91,64,3.56,15.31
GRAFTON RESEARCH STN,11/03/2009,3.1,12.6, ,23.6,18.1,91,70,4.06,14.23
GRAFTON RESEARCH STN,12/03/2009,4.7,9.0, ,27.3,17.9,90,50,2.76,22.87
GRAFTON RESEARCH STN,13/03/2009,4.7,0.0, ,28.7,19.4,86,46,2.10,22.62
GRAFTON RESEARCH STN,14/03/2009,4.5,0.0, ,28.4,17.4,90,53,2.20,22.92
GRAFTON RESEARCH STN,15/03/2009,4.9,0.0, ,30.6,18.9,92,48,2.74,21.71
GRAFTON RESEARCH STN,16/03/2009,2.5,57.8, ,24.1,17.4,92,67,2.88,10.19
GRAFTON RESEARCH STN,17/03/2009,5.0,5.2, ,28.0,15.3,92,51,2.78,26.29
GRAFTON RESEARCH STN,18/03/2009,4.6,0.0, ,27.4,17.6,88,53,3.22,22.32
GRAFTON RESEARCH STN,19/03/2009,3.4,0.0, ,27.1,18.0,90,51,1.54,16.33
GRAFTON RESEARCH STN,20/03/2009, ,0.0, ,27.5,17.4,90,59,2.61, 
GRAFTON RESEARCH STN,21/03/2009, ,0.0, ,27.1,18.0,90,55,3.33, 
GRAFTON RESEARCH STN,22/03/2009, ,0.4, ,27.6,16.0,87,54,2.95, 
GRAFTON RESEARCH STN,23/03/2009,4.6,0.4, ,27.9,17.2,89,48,2.06,24.75
GRAFTON RESEARCH STN,24/03/2009,4.6,0.0, ,28.0,16.2,90,43,2.18,24.25
GRAFTON RESEARCH STN,25/03/2009,4.3,0.0, ,27.8,14.8,89,40,2.04,22.43
GRAFTON RESEARCH STN,26/03/2009,4.4,0.0, ,28.3,14.4,90,40,1.82,23.93
GRAFTON RESEARCH STN,27/03/2009, ,0.0, ,27.8,15.3,90,53,3.53, 
GRAFTON RESEARCH STN,28/03/2009, ,0.0, ,26.2,17.1,84,51,4.53, 
GRAFTON RESEARCH STN,29/03/2009, ,1.2, ,26.2,16.5,84,55,4.11, 
GRAFTON RESEARCH STN,30/03/2009,2.1,0.4, ,21.6,18.3,91,81,4.20,9.23
GRAFTON RESEARCH STN,31/03/2009,2.3,62.6, ,23.9,18.0,92,76,6.35,7.50
Totals:,,108.7,178, ,,,,,, 
