'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON RESEARCH STN New South Wales for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON RESEARCH STN,01/11/2012,6.5,0.2, ,34.2,13.4,91,28,2.01,29.77
GRAFTON RESEARCH STN,02/11/2012,6.5,0.0, ,26.4,17.7,89,36,5.40,28.98
GRAFTON RESEARCH STN,03/11/2012,4.8,0.0, ,24.9,16.3,81,47,3.05,22.60
GRAFTON RESEARCH STN,04/11/2012,4.7,0.2, ,26.4,16.0,88,47,1.97,23.85
GRAFTON RESEARCH STN,05/11/2012,6.1,0.2, ,30.1,14.6,90,36,2.22,30.57
GRAFTON RESEARCH STN,06/11/2012,5.9,0.0, ,28.9,13.6,91,41,2.31,30.30
GRAFTON RESEARCH STN,07/11/2012,6.0,0.0, ,29.6,14.8,89,36,2.55,28.54
GRAFTON RESEARCH STN,08/11/2012,5.8,0.0, ,30.3,17.9,88,45,2.23,27.70
GRAFTON RESEARCH STN,09/11/2012,3.7,0.6, ,26.5,18.8,90,61,1.50,17.76
GRAFTON RESEARCH STN,10/11/2012,3.4,9.2, ,22.9,18.7,91,68,3.97,15.95
GRAFTON RESEARCH STN,11/11/2012,5.7,4.8, ,23.5,15.0,86,34,5.68,23.53
GRAFTON RESEARCH STN,12/11/2012,5.4,0.0, ,24.8,11.1,84,39,2.43,29.93
GRAFTON RESEARCH STN,13/11/2012,6.5,0.0, ,31.5,11.0,92,32,2.36,31.51
GRAFTON RESEARCH STN,14/11/2012,6.0,0.0, ,31.0,15.0,97,48,2.99,28.33
GRAFTON RESEARCH STN,15/11/2012,6.5,0.6, ,33.3,18.6,95,44,2.84,28.17
GRAFTON RESEARCH STN,16/11/2012,5.3,0.0, ,30.4,17.1,98,55,3.01,24.90
GRAFTON RESEARCH STN,17/11/2012,3.8,2.4, ,23.7,19.0,99,71,3.48,20.34
GRAFTON RESEARCH STN,18/11/2012,4.9,19.4, ,27.3,18.1,99,62,3.19,24.79
GRAFTON RESEARCH STN,19/11/2012,5.8,0.4, ,26.5,15.9,97,52,4.15,30.75
GRAFTON RESEARCH STN,20/11/2012,6.0,0.0, ,25.9,13.7,85,44,4.90,28.98
GRAFTON RESEARCH STN,21/11/2012,6.0,0.0, ,28.2,14.3,94,47,2.75,31.20
GRAFTON RESEARCH STN,22/11/2012,5.9,0.0, ,30.1,15.1,98,50,2.50,29.92
GRAFTON RESEARCH STN,23/11/2012,4.2,0.0, ,26.1,18.5,95,63,2.92,20.37
GRAFTON RESEARCH STN,24/11/2012,5.2,0.0, ,29.3,18.8,92,52,1.79,25.61
GRAFTON RESEARCH STN,25/11/2012,5.1,0.0, ,29.4,19.1,93,49,1.90,23.92
GRAFTON RESEARCH STN,26/11/2012,6.6,0.2, ,32.0,16.4,99,47,2.47,32.00
GRAFTON RESEARCH STN,27/11/2012,6.2,0.0, ,33.8,17.3,94,35,2.11,27.11
GRAFTON RESEARCH STN,28/11/2012,4.5,0.0, ,28.4,19.5,94,59,1.99,21.28
GRAFTON RESEARCH STN,29/11/2012,6.6,0.4, ,32.6,20.1,97,46,1.98,31.11
GRAFTON RESEARCH STN,30/11/2012,7.1,0.2, ,34.0,18.3,98,45,2.51,32.84
Totals:,,166.7,38.8, ,,,,,, 
