'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRAFTON RESEARCH STN New South Wales for March 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 April 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRAFTON RESEARCH STN,01/03/2016,3.3,2.6, ,28.4,20.5,94,58,3.30,10.94
GRAFTON RESEARCH STN,02/03/2016,4.4,0.0, ,31.7,21.1,90,55,2.51,17.93
GRAFTON RESEARCH STN,03/03/2016,3.5,0.0, ,30.4,19.9,98,58,1.62,15.29
GRAFTON RESEARCH STN,04/03/2016,3.7,0.0, ,31.0,19.8,97,48,1.82,15.13
GRAFTON RESEARCH STN,05/03/2016,4.6,0.0, ,30.6,18.6,96,44,2.09,20.25
GRAFTON RESEARCH STN,06/03/2016,4.5,0.8, ,31.2,18.3,95,48,2.85,17.55
GRAFTON RESEARCH STN,07/03/2016,5.0,4.2, ,31.5,20.4,97,44,2.53,21.63
GRAFTON RESEARCH STN,08/03/2016,3.8,0.6, ,30.6,19.4,96,57,3.01,14.83
GRAFTON RESEARCH STN,09/03/2016,4.6,4.2, ,31.9,20.2,98,49,1.96,20.50
GRAFTON RESEARCH STN,10/03/2016,5.1,0.2, ,33.8,18.1,99,42,2.18,22.25
GRAFTON RESEARCH STN,11/03/2016,4.2,0.0, ,32.2,20.6,98,48,1.79,18.12
GRAFTON RESEARCH STN,12/03/2016,3.9,0.0, ,31.3,19.9,99,44,2.14,15.11
GRAFTON RESEARCH STN,13/03/2016,2.8,2.8, ,28.3,19.7,98,72,2.36,12.70
GRAFTON RESEARCH STN,14/03/2016,4.3,3.6, ,31.5,20.5,98,52,1.92,19.29
GRAFTON RESEARCH STN,15/03/2016,5.1,0.4, ,31.1,20.1,97,44,3.57,20.45
GRAFTON RESEARCH STN,16/03/2016,3.2,1.6, ,28.0,20.6,94,61,3.55,11.01
GRAFTON RESEARCH STN,17/03/2016, ,0.0, , ,20.5,91,45,1.85,14.23
GRAFTON RESEARCH STN,18/03/2016, , , ,34.7, ,98,40,2.72,21.99
GRAFTON RESEARCH STN,19/03/2016,3.9,17.2, ,27.5,19.9,99,56,3.80,16.59
GRAFTON RESEARCH STN,20/03/2016,3.4,0.0, ,26.9,19.6,83,55,3.78,9.54
GRAFTON RESEARCH STN,21/03/2016,3.8,0.0, ,28.3,19.3,88,53,3.67,12.72
GRAFTON RESEARCH STN,22/03/2016,4.6,0.2, ,28.9,14.8,94,38,3.35,18.45
GRAFTON RESEARCH STN,23/03/2016,4.9,0.2, ,29.8,15.3,98,33,2.50,22.68
GRAFTON RESEARCH STN,24/03/2016,4.7,0.0, ,31.2,16.1,97,31,2.13,20.95
GRAFTON RESEARCH STN,25/03/2016,4.7,0.0, ,31.4,16.2,97,40,2.12,22.07
GRAFTON RESEARCH STN,26/03/2016,4.3,0.0, ,32.1,19.6,96,44,2.95,15.65
GRAFTON RESEARCH STN,27/03/2016,2.5,2.8, ,26.6,18.7,99,67,1.96,11.47
GRAFTON RESEARCH STN,28/03/2016,3.4,0.0, ,29.2,17.5,99,54,1.69,16.61
GRAFTON RESEARCH STN,29/03/2016,4.5,0.0, ,33.0,17.9,98,43,2.00,20.31
GRAFTON RESEARCH STN,30/03/2016,1.3,4.2, ,24.2,19.9,99,81,1.64,4.23
GRAFTON RESEARCH STN,31/03/2016,4.5,7.0, ,28.8,16.9,100,32,2.23,21.92
Totals:,,116.5,52.6, ,,,,,, 
