'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GREEN CAPE New South Wales for April 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GREEN CAPE,01/04/2009, ,1.2, ,22.7,19.5,96,76,10.37, 
GREEN CAPE,02/04/2009, ,0.8, ,23.3,18.8,98,81,10.80, 
GREEN CAPE,03/04/2009, ,0.2, ,21.8,18.4,100,87,9.46, 
GREEN CAPE,04/04/2009, ,7.4, ,19.4,14.3,80,52,11.10, 
GREEN CAPE,05/04/2009, ,0.0, ,22.6,12.9,85,64,7.95, 
GREEN CAPE,06/04/2009, ,0.0, ,17.8,12.4,81,40,11.21, 
GREEN CAPE,07/04/2009, ,0.0, ,18.5,13.1,75,61,10.31, 
GREEN CAPE,08/04/2009, ,0.0, ,22.3,14.3,81,52,6.33, 
GREEN CAPE,09/04/2009, ,0.0, ,22.1,13.0,94,68,6.53, 
GREEN CAPE,10/04/2009, ,0.0, ,22.4,16.0,92,74,6.09, 
GREEN CAPE,11/04/2009, ,0.0, ,24.5,16.4,96,69,5.00, 
GREEN CAPE,12/04/2009, ,2.0, ,23.6,16.4,96,66,4.01, 
GREEN CAPE,13/04/2009, ,0.2, ,23.6,15.9,97,68,5.35, 
GREEN CAPE,14/04/2009, ,62.6, ,20.5,16.2,100,87,5.78, 
GREEN CAPE,15/04/2009, ,5.4, ,23.7,15.0,99,51,11.13, 
GREEN CAPE,16/04/2009, ,0.2, ,20.4,10.8,83,64,5.47, 
GREEN CAPE,17/04/2009, ,0.0, ,22.4,13.5,87,44,5.71, 
GREEN CAPE,18/04/2009, ,0.0, ,19.5,13.5,88,63,8.57, 
GREEN CAPE,19/04/2009, ,1.2, ,20.3,15.7,96,66,10.32, 
GREEN CAPE,20/04/2009, ,1.4, ,19.7,14.8,90,68,7.51, 
GREEN CAPE,21/04/2009, ,0.6, ,21.5,14.9,92,52,5.82, 
GREEN CAPE,22/04/2009, ,0.0, ,19.9,15.7,79,67,7.84, 
GREEN CAPE,23/04/2009, ,0.0, ,21.1,14.6,94,61,6.68, 
GREEN CAPE,24/04/2009, ,0.0, ,19.9,15.8,91,72,9.37, 
GREEN CAPE,25/04/2009, ,0.0, ,19.7,16.4,82,62,6.49, 
GREEN CAPE,26/04/2009, ,0.0, ,19.4,12.9,80,26,7.60, 
GREEN CAPE,27/04/2009, ,0.0, ,16.9,12.7,74,44,8.48, 
GREEN CAPE,28/04/2009, ,0.0, ,13.9,10.9,79,60,11.99, 
GREEN CAPE,29/04/2009, ,0.0, ,14.9,8.4,80,62,8.74, 
GREEN CAPE,30/04/2009, ,0.4, ,15.7,10.7,90,70,6.95, 
Totals:,, ,83.6, ,,,,,, 
