'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GREEN CAPE New South Wales for February 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 March 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GREEN CAPE,01/02/2011,14.1,0.0, ,33.1,22.0,23,13,10.93,31.30
GREEN CAPE,02/02/2011,8.4,0.0, ,26.1,19.5,27,20,6.86,16.76
GREEN CAPE,03/02/2011,8.9,7.4, ,23.8,20.7,26,21,7.48,24.45
GREEN CAPE,04/02/2011,7.1,0.0, ,23.5,19.7,26,22,5.90,12.70
GREEN CAPE,05/02/2011,8.3,15.6, ,27.0,21.2,28,19,7.27,9.15
GREEN CAPE,06/02/2011,6.9,21.0, ,17.9,14.9,37,29,10.96,13.74
GREEN CAPE,07/02/2011,7.1,0.4, ,21.9,12.1,43,24,5.35,31.70
GREEN CAPE,08/02/2011,7.8,0.0, ,20.9,14.8,34,25,8.64,26.06
GREEN CAPE,09/02/2011,6.6,3.6, ,22.1,14.6,36,25,6.45,15.90
GREEN CAPE,10/02/2011,10.2,0.0, ,24.1,16.5,26,21,12.75,23.14
GREEN CAPE,11/02/2011,8.2,0.4, ,22.9,20.8,26,22,8.59,10.29
GREEN CAPE,12/02/2011,9.3,5.8, ,23.4,18.2,30,22,10.24,22.66
GREEN CAPE,13/02/2011,8.5,0.0, ,20.5,16.3,32,26,10.42,27.52
GREEN CAPE,14/02/2011,7.1,0.0, ,25.3,14.9,36,20,4.85,24.40
GREEN CAPE,15/02/2011,7.9,0.4, ,24.7,16.2,28,22,7.28,16.82
GREEN CAPE,16/02/2011,6.0,2.2, ,25.2,18.8,28,20,4.21,11.01
GREEN CAPE,17/02/2011,7.4,5.2, ,27.9,18.9,28,17,5.10,15.18
GREEN CAPE,18/02/2011,8.0,6.6, ,22.7,19.6,26,22,8.94,8.18
GREEN CAPE,19/02/2011,10.4,2.2, ,27.7,20.5,23,18,10.82,10.11
GREEN CAPE,20/02/2011,8.7,2.2, ,24.6,18.7,32,20,8.74,18.49
GREEN CAPE,21/02/2011,8.1,0.0, ,20.1,14.8,36,27,11.77,24.03
GREEN CAPE,22/02/2011,7.9,0.0, ,22.0,13.5,38,24,8.92,27.44
GREEN CAPE,23/02/2011,6.0,0.0, ,24.1,14.7,87,25,5.36,25.07
GREEN CAPE,24/02/2011,5.0,0.4, ,24.7,14.2,91,57,3.56,28.68
GREEN CAPE,25/02/2011,3.9,0.2, ,23.6,16.9,85,62,4.51,18.45
GREEN CAPE,26/02/2011,4.4,0.0, ,24.6,18.7,89,73,5.94,24.52
GREEN CAPE,27/02/2011,2.3,0.4, ,20.4,19.0,93,75,6.15,9.01
GREEN CAPE,28/02/2011,3.3,5.4, ,24.0,18.0,93,68,5.16,14.54
Totals:,,207.8,79.4, ,,,,,, 
