'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GREEN CAPE New South Wales for February 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 March 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GREEN CAPE,01/02/2013,3.6,0.0, ,19.3,16.2,86,58,11.91,7.91
GREEN CAPE,02/02/2013,3.5,0.8, ,19.5,13.7,93,59,10.33,13.69
GREEN CAPE,03/02/2013,4.6,0.0, ,22.6,14.7,83,65,10.19,22.03
GREEN CAPE,04/02/2013,5.3,0.0, ,23.9,17.2,85,54,6.73,24.94
GREEN CAPE,05/02/2013,5.1,0.0, ,23.7,18.8,84,60,9.69,22.25
GREEN CAPE,06/02/2013,5.1,0.2, ,23.8,20.2,86,70,12.69,27.55
GREEN CAPE,07/02/2013,4.4,0.0, ,24.1,19.8,88,72,13.07,20.51
GREEN CAPE,08/02/2013, ,0.0, , ,18.1,92,64,4.40,23.32
GREEN CAPE,09/02/2013, , , ,24.4, ,94,79,4.85,14.11
GREEN CAPE,10/02/2013,2.9,1.0, ,21.4,18.7,94,67,8.22,9.93
GREEN CAPE,11/02/2013,3.0,0.2, ,21.6,16.6,84,53,3.74,8.66
GREEN CAPE,12/02/2013,4.1,0.0, ,24.0,16.2,83,53,2.70,19.82
GREEN CAPE,13/02/2013,3.9,0.0, ,24.7,15.4,88,63,5.07,16.80
GREEN CAPE,14/02/2013,4.8,0.0, ,24.9,17.2,88,63,7.63,22.62
GREEN CAPE,15/02/2013,3.8,13.8, ,25.8,18.4,95,70,5.83,18.07
GREEN CAPE,16/02/2013,5.3,0.2, ,25.6,19.6,81,56,6.16,22.70
GREEN CAPE,17/02/2013,5.1,0.0, ,25.4,17.4,85,62,7.06,24.55
GREEN CAPE,18/02/2013,4.9,0.0, ,24.5,19.4,89,68,9.46,26.32
GREEN CAPE,19/02/2013,4.0,0.0, ,24.4,18.3,92,73,7.43,21.38
GREEN CAPE,20/02/2013,3.0,0.0, ,23.9,17.6,91,70,5.19,11.60
GREEN CAPE,21/02/2013,3.6,3.6, ,25.9,18.5,94,72,5.61,17.44
GREEN CAPE,22/02/2013,3.8,1.2, ,24.9,18.6,95,69,5.55,18.88
GREEN CAPE,23/02/2013,3.1,0.8, ,22.6,19.6,91,72,9.80,11.07
GREEN CAPE,24/02/2013,1.2,1.6, ,22.3,20.3,98,91,9.60,4.37
GREEN CAPE,25/02/2013,3.9,4.6, ,24.8,16.6,98,78,4.16,24.09
GREEN CAPE,26/02/2013,2.5,0.0, ,22.5,17.7,98,82,6.69,14.61
GREEN CAPE,27/02/2013,1.7,0.2, ,21.1,16.4,98,86,6.63,8.90
GREEN CAPE,28/02/2013,2.2,41.6, ,18.2,15.0,98,66,8.92,5.42
Totals:,,98.4,69.8, ,,,,,, 
