'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRIFFITH AIRPORT New South Wales for May 2011,,,,,,,,,,
Issued at 22:35 GMT on Wednesday 01 June 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRIFFITH AIRPORT,01/05/2011,3.3,0.0, ,24.6,10.5,99,36,3.52,14.24
GRIFFITH AIRPORT,02/05/2011, ,0.0, , ,12.0,99,50,2.50,13.81
GRIFFITH AIRPORT,03/05/2011, , , ,22.0, ,100,42,2.13,16.01
GRIFFITH AIRPORT,04/05/2011,2.6,0.0, ,19.8,3.4,100,39,3.11,16.30
GRIFFITH AIRPORT,05/05/2011,2.9,0.0, ,20.1,5.9,100,36,3.67,16.35
GRIFFITH AIRPORT,06/05/2011,1.8,0.0, ,19.3,2.0,100,37,1.34,15.05
GRIFFITH AIRPORT,07/05/2011,2.0,0.0, ,19.4,0.6,100,32,1.68,15.06
GRIFFITH AIRPORT,08/05/2011,2.0,0.0, ,19.3,2.2,99,37,1.93,14.49
GRIFFITH AIRPORT,09/05/2011,2.1,0.0, ,16.5,3.4,99,48,3.49,15.26
GRIFFITH AIRPORT,10/05/2011, ,0.0, ,17.4,0.2, , , ,15.47
GRIFFITH AIRPORT,11/05/2011,1.7,0.0, ,12.2,2.0,100,53,4.76,10.50
GRIFFITH AIRPORT,12/05/2011,1.0,9.0, ,13.7,4.4,100,84,3.12,9.99
GRIFFITH AIRPORT,13/05/2011,1.5,0.4, ,15.1,9.0,100,67,4.55,9.21
GRIFFITH AIRPORT,14/05/2011,2.2,0.4, ,14.4,3.6,100,44,4.79,14.64
GRIFFITH AIRPORT,15/05/2011,1.8,0.0, ,15.8,-1.6,100,46,2.53,14.86
GRIFFITH AIRPORT,16/05/2011,1.6,0.0, ,15.4,-1.1,100,48,1.79,14.78
GRIFFITH AIRPORT,17/05/2011,1.3,0.0, ,15.6,-1.2,100,47,0.95,14.79
GRIFFITH AIRPORT,18/05/2011,1.8,0.0, ,19.0,0.1,100,41,1.87,13.96
GRIFFITH AIRPORT,19/05/2011,2.8,0.0, ,23.2,3.6,99,24,2.58,14.44
GRIFFITH AIRPORT,20/05/2011,3.0,0.0, ,23.4,5.4,89,26,3.11,11.90
GRIFFITH AIRPORT,21/05/2011,3.6,0.0, ,25.1,7.9,82,32,4.16,12.93
GRIFFITH AIRPORT,22/05/2011,3.6,0.0, ,25.1,15.9,100,40,6.41,10.73
GRIFFITH AIRPORT,23/05/2011,0.7,23.6, ,14.7,11.6,100,96,6.00,8.18
GRIFFITH AIRPORT,24/05/2011,1.5,2.6, ,14.4,7.7,100,65,4.49,10.88
GRIFFITH AIRPORT,25/05/2011,1.9,0.2, ,15.4,3.3,100,42,3.05,13.70
GRIFFITH AIRPORT,26/05/2011,1.3,0.0, ,14.5,0.3,100,57,2.06,12.89
GRIFFITH AIRPORT,27/05/2011,1.5,0.0, ,15.7,3.0,100,55,2.88,11.96
GRIFFITH AIRPORT,28/05/2011,0.9,0.0, ,15.2,3.3,100,54,0.43,10.30
GRIFFITH AIRPORT,29/05/2011,1.3,0.0, ,15.7,1.6,100,57,2.25,12.86
GRIFFITH AIRPORT,30/05/2011,1.7,0.0, ,17.0,6.2,99,57,3.56,12.10
GRIFFITH AIRPORT,31/05/2011,2.4,0.0, ,20.2,5.4,99,43,4.06,12.62
Totals:,,55.8,36.2, ,,,,,, 
