'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRIFFITH AIRPORT New South Wales for September 2011,,,,,,,,,,
Issued at 22:35 GMT on Saturday 01 October 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRIFFITH AIRPORT,01/09/2011,2.6,0.0, ,19.2,2.1,100,37,1.96,18.18
GRIFFITH AIRPORT,02/09/2011,4.1,0.0, ,22.5,5.4,99,35,5.03,18.43
GRIFFITH AIRPORT,03/09/2011,4.8,0.0, ,23.7,9.4,71,37,5.86,17.70
GRIFFITH AIRPORT,04/09/2011,5.0,0.0, ,25.5,14.8,75,31,5.93,10.68
GRIFFITH AIRPORT,05/09/2011,3.8,0.4, ,24.6,10.9,99,31,3.87,12.71
GRIFFITH AIRPORT,06/09/2011,3.3,0.0, ,20.8,16.7,99,32,5.61,7.23
GRIFFITH AIRPORT,07/09/2011,2.4,2.6, ,16.4,-0.2,100,38,1.69,17.81
GRIFFITH AIRPORT,08/09/2011,2.8,0.2, ,15.9,2.6,99,31,3.51,15.29
GRIFFITH AIRPORT,09/09/2011,2.7,0.0, ,14.5,6.7,97,49,6.30,15.23
GRIFFITH AIRPORT,10/09/2011,3.5,2.0, ,16.1,3.7,99,39,7.34,19.41
GRIFFITH AIRPORT,11/09/2011,2.6,0.0, ,15.6,2.5,100,51,4.85,15.96
GRIFFITH AIRPORT,12/09/2011,2.8,0.0, ,16.4,-1.9,100,36,2.38,21.07
GRIFFITH AIRPORT,13/09/2011,3.2,0.2, ,19.9,-0.1,99,26,2.04,20.76
GRIFFITH AIRPORT,14/09/2011,6.4,0.0, ,26.3,4.2,76,15,5.55,20.59
GRIFFITH AIRPORT,15/09/2011,3.1,0.0, ,22.0,1.4,100,29,1.43,20.95
GRIFFITH AIRPORT,16/09/2011,6.4,0.0, ,29.0,4.6,97,12,4.70,19.38
GRIFFITH AIRPORT,17/09/2011,7.0,0.0, ,31.4,6.1,85,7,4.39,19.24
GRIFFITH AIRPORT,18/09/2011,4.7,0.0, ,26.3,7.9,63,27,2.76,21.98
GRIFFITH AIRPORT,19/09/2011,8.8,0.0, ,32.0,9.2,71,11,6.75,21.10
GRIFFITH AIRPORT,20/09/2011,4.7,0.0, ,19.5,10.1,83,29,6.67,18.40
GRIFFITH AIRPORT,21/09/2011,3.4,0.0, ,22.0,2.7,91,34,1.64,22.11
GRIFFITH AIRPORT,22/09/2011,5.5,0.0, ,27.0,5.2,92,14,3.52,22.61
GRIFFITH AIRPORT,23/09/2011,4.9,0.0, ,21.2,10.6,75,24,4.41,22.69
GRIFFITH AIRPORT,24/09/2011,4.3,0.0, ,19.4,2.9,86,28,4.53,22.52
GRIFFITH AIRPORT,25/09/2011,4.8,0.0, ,21.5,8.5,76,33,5.63,20.19
GRIFFITH AIRPORT,26/09/2011,5.1,0.0, ,22.5,7.5,78,26,4.81,22.24
GRIFFITH AIRPORT,27/09/2011,6.9,0.0, ,26.4,11.1,60,26,6.85,21.77
GRIFFITH AIRPORT,28/09/2011,3.3,0.2, ,20.4,15.8,97,38,6.92,3.97
GRIFFITH AIRPORT,29/09/2011,3.1,11.0, ,16.7,9.9,100,48,8.20,12.06
GRIFFITH AIRPORT,30/09/2011,3.6,1.2, ,18.6,5.0,100,38,4.79,18.20
Totals:,,129.6,17.8, ,,,,,, 
