'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GRIFFITH AIRPORT New South Wales for May 2014,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GRIFFITH AIRPORT,01/05/2014,2.0,0.0, ,16.6,4.3,100,39,2.26,14.47
GRIFFITH AIRPORT,02/05/2014,2.2,0.0, ,16.5,6.7,100,42,4.18,8.12
GRIFFITH AIRPORT,03/05/2014,1.0,13.2, ,10.4,6.5,100,80,5.72,6.11
GRIFFITH AIRPORT,04/05/2014,2.1,0.8, ,13.3,6.4,100,51,6.15,10.90
GRIFFITH AIRPORT,05/05/2014,1.7,0.0, ,15.8,6.0,99,48,2.67,9.13
GRIFFITH AIRPORT,06/05/2014,1.6,0.0, ,16.2,8.0,100,55,2.56,8.81
GRIFFITH AIRPORT,07/05/2014,2.1,0.0, ,16.5,3.6,100,48,3.83,13.32
GRIFFITH AIRPORT,08/05/2014,2.8,0.0, ,18.7,4.5,99,39,4.79,13.38
GRIFFITH AIRPORT,09/05/2014,2.2,0.0, ,18.2,6.2,87,54,4.63,7.88
GRIFFITH AIRPORT,10/05/2014,1.3,0.6, ,15.5,13.2,100,61,2.96,3.71
GRIFFITH AIRPORT,11/05/2014,1.5,4.0, ,18.1,7.6,100,46,1.31,11.11
GRIFFITH AIRPORT,12/05/2014,2.0,0.2, ,19.2,5.1,100,45,2.38,12.66
GRIFFITH AIRPORT,13/05/2014,2.7,0.0, ,21.7,7.2,100,38,3.55,12.38
GRIFFITH AIRPORT,14/05/2014,2.7,0.0, ,22.6,8.5,99,38,3.40,10.93
GRIFFITH AIRPORT,15/05/2014,2.8,0.0, ,22.8,7.9,88,30,3.00,12.08
GRIFFITH AIRPORT,16/05/2014,2.6,0.0, ,23.5,6.7,91,32,2.56,12.16
GRIFFITH AIRPORT,17/05/2014,2.9,0.0, ,23.8,10.0,75,30,2.86,9.23
GRIFFITH AIRPORT,18/05/2014,2.1,0.0, ,22.6,11.4,83,36,1.99,7.98
GRIFFITH AIRPORT,19/05/2014,2.3,0.0, ,24.6,8.5,99,32,2.12,11.50
GRIFFITH AIRPORT,20/05/2014,2.2,0.0, ,22.9,10.5,99,45,2.69,10.56
GRIFFITH AIRPORT,21/05/2014,1.6,0.0, ,24.3,7.7,100,36,1.02,11.39
GRIFFITH AIRPORT,22/05/2014,2.1,0.0, ,24.4,7.5,99,35,1.93,10.86
GRIFFITH AIRPORT,23/05/2014,2.9,0.0, ,25.2,9.8,90,31,3.02,11.12
GRIFFITH AIRPORT,24/05/2014,1.3,0.0, ,21.3,10.0,100,55,1.19,8.56
GRIFFITH AIRPORT,25/05/2014,2.2,0.0, ,24.8,10.9,100,38,2.16,10.42
GRIFFITH AIRPORT,26/05/2014,3.0,0.2, ,25.6,9.9,97,32,3.41,10.48
GRIFFITH AIRPORT,27/05/2014,2.7,0.0, ,20.0,15.4,100,39,6.10,2.96
GRIFFITH AIRPORT,28/05/2014,1.3,11.0, ,17.3,7.1,100,64,2.78,8.37
GRIFFITH AIRPORT,29/05/2014,1.4,0.0, ,18.2,6.1,100,41,1.40,9.89
GRIFFITH AIRPORT,30/05/2014,1.9,0.0, ,17.7,8.0,100,53,4.28,10.83
GRIFFITH AIRPORT,31/05/2014,1.2,0.0, ,17.6,7.3,100,70,3.78,3.66
Totals:,,64.4,30, ,,,,,, 
