'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH AIRPORT New South Wales for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH AIRPORT,01/11/2009,7.1,0.0, ,31.1,12.9,77,24,3.09,31.20
GUNNEDAH AIRPORT,02/11/2009,6.8,0.0, ,34.2,13.8,80,22,2.08,30.54
GUNNEDAH AIRPORT,03/11/2009,9.0,0.0, ,35.2,15.4,80,13,4.35,30.72
GUNNEDAH AIRPORT,04/11/2009,7.6,0.0, ,34.7,13.9,72,17,3.33,26.89
GUNNEDAH AIRPORT,05/11/2009,6.7,0.0, ,29.3,14.5,70,22,4.65,19.62
GUNNEDAH AIRPORT,06/11/2009,3.7,0.0, ,23.1,17.7,89,57,6.18,12.22
GUNNEDAH AIRPORT,07/11/2009,3.9,6.4, ,24.5,15.1,90,63,6.16,16.18
GUNNEDAH AIRPORT,08/11/2009,6.5,4.6, ,29.2,14.6,88,40,4.94,26.77
GUNNEDAH AIRPORT,09/11/2009,7.5,0.6, ,29.7,15.6,84,29,4.90,31.25
GUNNEDAH AIRPORT,10/11/2009,6.9,0.0, ,29.3,11.9,79,16,2.65,32.03
GUNNEDAH AIRPORT,11/11/2009,7.8,0.0, ,33.2,10.1,80,16,3.16,32.08
GUNNEDAH AIRPORT,12/11/2009, ,0.0, ,35.1,13.0,71,15,4.65, 
GUNNEDAH AIRPORT,13/11/2009,8.4,1.4, ,33.6,17.6,85,29,5.64,29.08
GUNNEDAH AIRPORT,14/11/2009,7.5,0.2, ,32.2,14.4,81,21,3.33,31.31
GUNNEDAH AIRPORT,15/11/2009,7.5,0.0, ,36.9,12.9,77,15,2.08,31.76
GUNNEDAH AIRPORT,16/11/2009, ,0.0, ,40.9,18.1,64,9,4.26, 
GUNNEDAH AIRPORT,17/11/2009, ,0.0, ,41.3,23.5,59,10,6.09, 
GUNNEDAH AIRPORT,18/11/2009, ,0.0, ,38.3,16.8,70,12,4.28, 
GUNNEDAH AIRPORT,19/11/2009, ,0.0, ,41.0,19.2,73,13,2.96, 
GUNNEDAH AIRPORT,20/11/2009, ,0.0, ,42.1,21.8,71,15,3.58, 
GUNNEDAH AIRPORT,21/11/2009, ,0.0, ,41.7,21.1,56,13,5.21, 
GUNNEDAH AIRPORT,22/11/2009, ,0.0, ,40.5,25.8,40,11,7.33, 
GUNNEDAH AIRPORT,23/11/2009, ,0.0, ,36.5,21.1,81,27,8.23, 
GUNNEDAH AIRPORT,24/11/2009, ,1.2, ,33.5,16.6,77,28,6.54, 
GUNNEDAH AIRPORT,25/11/2009, ,0.0, ,36.4,18.4,82,16,3.05, 
GUNNEDAH AIRPORT,26/11/2009, ,0.0, ,36.4,19.3,65,18,4.49, 
GUNNEDAH AIRPORT,27/11/2009, ,3.2, ,34.9,21.2,88,20,4.29, 
GUNNEDAH AIRPORT,28/11/2009,11.2,0.2, ,39.5,15.4,68,9,5.12,30.97
GUNNEDAH AIRPORT,29/11/2009,10.9,0.0, ,31.9,14.6,36,14,7.11,32.70
GUNNEDAH AIRPORT,30/11/2009,7.7,0.0, ,29.1,11.7,63,20,5.07,26.33
Totals:,,126.7,17.8, ,,,,,, 
