'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH AIRPORT New South Wales for March 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH AIRPORT,01/03/2013,1.5,19.2, ,19.4,18.7,94,82,6.65,3.88
GUNNEDAH AIRPORT,02/03/2013,3.9,34.4, ,22.7,15.7,89,63,9.76,14.84
GUNNEDAH AIRPORT,03/03/2013,4.0,0.4, ,25.7,17.2,89,62,8.21,13.21
GUNNEDAH AIRPORT,04/03/2013,6.3,0.0, ,28.6,18.0,83,44,7.19,22.68
GUNNEDAH AIRPORT,05/03/2013,6.1,0.0, ,28.4,16.3,85,41,5.90,23.71
GUNNEDAH AIRPORT,06/03/2013,5.8,0.0, ,28.6,14.6,82,36,4.01,24.36
GUNNEDAH AIRPORT,07/03/2013,5.6,0.0, ,28.3,14.9,82,32,3.40,24.46
GUNNEDAH AIRPORT,08/03/2013,5.8,0.0, ,29.0,15.3,82,36,3.86,23.77
GUNNEDAH AIRPORT,09/03/2013,5.2,0.0, ,29.0,16.2,86,37,3.59,20.63
GUNNEDAH AIRPORT,10/03/2013,4.9,0.0, ,28.6,16.2,83,39,2.85,21.35
GUNNEDAH AIRPORT,11/03/2013,5.5,0.0, ,29.5,16.3,83,36,3.66,21.41
GUNNEDAH AIRPORT,12/03/2013,5.2,0.0, ,28.2,14.1,86,38,4.05,20.82
GUNNEDAH AIRPORT,13/03/2013,5.0,0.0, ,28.9,12.4,91,30,2.58,23.11
GUNNEDAH AIRPORT,14/03/2013,5.9,0.0, ,30.6,13.3,89,33,3.99,22.89
GUNNEDAH AIRPORT,15/03/2013,5.6,0.0, ,31.0,15.8,88,41,4.10,22.08
GUNNEDAH AIRPORT,16/03/2013,6.2,0.0, ,32.9,16.1,92,26,3.74,21.89
GUNNEDAH AIRPORT,17/03/2013,6.1,0.0, ,26.9,12.8,73,20,4.33,23.64
GUNNEDAH AIRPORT,18/03/2013,6.0,0.0, ,27.3,10.7,84,25,4.78,22.74
GUNNEDAH AIRPORT,19/03/2013,5.9,0.0, ,28.2,13.7,80,29,4.66,21.16
GUNNEDAH AIRPORT,20/03/2013,5.4,0.0, ,28.9,13.1,82,27,3.45,20.86
GUNNEDAH AIRPORT,21/03/2013,5.3,0.0, ,29.7,13.1,79,32,3.50,20.00
GUNNEDAH AIRPORT,22/03/2013,2.9,0.0, ,29.6,16.7,91,48,2.45,7.36
GUNNEDAH AIRPORT,23/03/2013,3.6,5.0, ,29.2,17.4,93,56,2.92,14.73
GUNNEDAH AIRPORT,24/03/2013,5.5,0.4, ,32.9,15.8,95,19,2.75,20.41
GUNNEDAH AIRPORT,25/03/2013,5.4,0.0, ,32.0,11.0,92,23,2.73,21.86
GUNNEDAH AIRPORT,26/03/2013,4.4,0.0, ,31.2,16.0,86,37,2.57,16.86
GUNNEDAH AIRPORT,27/03/2013,4.4,0.0, ,31.7,15.9,87,32,1.98,19.24
GUNNEDAH AIRPORT,28/03/2013, ,0.0, ,31.1,14.5,90,33,3.47, 
GUNNEDAH AIRPORT,29/03/2013, ,1.6, ,28.6,16.3,92,20,2.70, 
GUNNEDAH AIRPORT,30/03/2013, ,0.0, ,30.0,11.2,92,17,3.15, 
GUNNEDAH AIRPORT,31/03/2013, ,0.0, ,24.5,11.2,83,34,2.65, 
Totals:,,137.4,61, ,,,,,, 
