'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH AIRPORT New South Wales for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH AIRPORT,01/11/2013,7.4,0.0, ,30.9,12.1,81,15,3.29,31.44
GUNNEDAH AIRPORT,02/11/2013,7.9,0.0, ,33.2,13.1,70,16,3.65,29.73
GUNNEDAH AIRPORT,03/11/2013,9.9,0.0, ,35.8,11.3,79,9,5.55,25.94
GUNNEDAH AIRPORT,04/11/2013,8.6,0.0, ,26.6,13.0,71,17,7.18,33.10
GUNNEDAH AIRPORT,05/11/2013,8.3,0.0, ,27.3,7.7,65,15,5.77,32.44
GUNNEDAH AIRPORT,06/11/2013,7.4,0.0, ,30.0,11.4,68,16,3.03,32.80
GUNNEDAH AIRPORT,07/11/2013,7.6,0.0, ,32.7,12.3,66,17,2.65,33.17
GUNNEDAH AIRPORT,08/11/2013,9.6,0.0, ,35.7,15.0,53,13,4.28,32.45
GUNNEDAH AIRPORT,09/11/2013,10.3,0.0, ,35.9,20.4,58,17,5.97,29.43
GUNNEDAH AIRPORT,10/11/2013,7.7,0.0, ,31.6,9.3,86,18,4.86,24.48
GUNNEDAH AIRPORT,11/11/2013,7.6,1.2, ,30.4,14.7,92,23,6.17,23.99
GUNNEDAH AIRPORT,12/11/2013,7.0,8.4, ,30.8,15.5,90,13,4.02,23.53
GUNNEDAH AIRPORT,13/11/2013,8.4,0.2, ,32.1,6.5,86,9,3.49,34.00
GUNNEDAH AIRPORT,14/11/2013,7.8,0.0, ,31.6,6.0,85,9,2.90,34.28
GUNNEDAH AIRPORT,15/11/2013,7.8,0.0, ,30.8,6.1,78,8,2.94,34.47
GUNNEDAH AIRPORT,16/11/2013,6.2,0.0, ,26.6,14.5,81,32,6.04,20.44
GUNNEDAH AIRPORT,17/11/2013,7.3,4.4, ,27.4,11.7,82,27,6.53,26.93
GUNNEDAH AIRPORT,18/11/2013,3.9,0.0, ,21.3,11.3,93,48,4.81,16.27
GUNNEDAH AIRPORT,19/11/2013,6.3,10.0, ,27.7,8.6,96,33,3.23,32.28
GUNNEDAH AIRPORT,20/11/2013,8.4,0.2, ,33.2,13.7,85,13,3.65,33.12
GUNNEDAH AIRPORT,21/11/2013,9.0,0.0, ,35.8,17.9,74,14,3.61,32.93
GUNNEDAH AIRPORT,22/11/2013,5.6,0.0, ,28.9,21.8,90,42,5.85,16.76
GUNNEDAH AIRPORT,23/11/2013,3.3,0.6, ,25.9,16.1,92,59,3.06,12.32
GUNNEDAH AIRPORT,24/11/2013,8.0,1.8, ,30.8,10.9,96,13,3.16,35.77
GUNNEDAH AIRPORT,25/11/2013,9.2,0.0, ,30.3,10.2,87,15,5.84,35.17
GUNNEDAH AIRPORT,26/11/2013,9.9,0.0, ,29.2,12.7,68,18,7.48,36.27
GUNNEDAH AIRPORT,27/11/2013,8.6,0.0, ,31.0,11.7,79,12,3.67,36.38
GUNNEDAH AIRPORT,28/11/2013,9.3,0.0, ,35.1,11.3,59,14,3.54,35.56
GUNNEDAH AIRPORT,29/11/2013,3.3,3.0, ,23.7,19.5,90,33,4.29,3.88
GUNNEDAH AIRPORT,30/11/2013,8.6,6.2, ,28.5,14.6,76,26,6.67,34.19
Totals:,,230.2,36, ,,,,,, 
