'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOLSWORTHY AERODROME New South Wales for October 2012,,,,,,,,,,
Issued at 22:38 GMT on Thursday 01 November 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOLSWORTHY AERODROME,01/10/2012,4.3,0.0, ,21.8,6.9,85,32,3.34,21.90
HOLSWORTHY AERODROME,02/10/2012,3.7,0.0, ,21.6,9.5,89,44,2.52,21.02
HOLSWORTHY AERODROME,03/10/2012,5.4,0.0, ,30.1,5.6,97,22,2.59,23.59
HOLSWORTHY AERODROME,04/10/2012,6.6,0.0, ,32.0,9.2,82,16,3.42,23.81
HOLSWORTHY AERODROME,05/10/2012,7.9,0.0, ,34.5,14.4,82,13,4.46,23.81
HOLSWORTHY AERODROME,06/10/2012,1.3,0.0, ,17.1,15.1,98,77,3.37,4.05
HOLSWORTHY AERODROME,07/10/2012,4.8,3.6, ,20.7,10.7,98,23,4.21,24.41
HOLSWORTHY AERODROME,08/10/2012,3.0,0.0, ,18.3,10.8,85,53,2.93,16.03
HOLSWORTHY AERODROME,09/10/2012,3.2,2.4, ,18.5,10.8,95,51,2.95,18.20
HOLSWORTHY AERODROME,10/10/2012,4.9,0.0, ,24.4,5.8,97,25,3.00,24.85
HOLSWORTHY AERODROME,11/10/2012,2.8,6.8, ,20.2,12.3,98,51,2.90,13.08
HOLSWORTHY AERODROME,12/10/2012,2.5,8.8, ,16.2,6.8,96,55,5.26,9.95
HOLSWORTHY AERODROME,13/10/2012,3.3,13.8, ,19.3,5.3,97,46,3.03,18.83
HOLSWORTHY AERODROME,14/10/2012,3.6,0.0, ,20.5,10.2,94,47,2.60,20.70
HOLSWORTHY AERODROME,15/10/2012,5.0,0.0, ,28.6,6.2,97,25,1.86,25.82
HOLSWORTHY AERODROME,16/10/2012,6.3,0.0, ,32.6,10.1,95,12,2.84,22.83
HOLSWORTHY AERODROME,17/10/2012,5.4,0.0, ,22.0,15.4,75,31,4.19,25.78
HOLSWORTHY AERODROME,18/10/2012,4.1,0.0, ,22.9,15.2,82,53,3.39,19.91
HOLSWORTHY AERODROME,19/10/2012,5.7,0.0, ,30.7,12.9,95,25,2.26,26.20
HOLSWORTHY AERODROME,20/10/2012,8.1,0.0, ,34.3,11.9,93,15,4.27,27.94
HOLSWORTHY AERODROME,21/10/2012,5.3,0.0, ,28.1,10.8,97,19,2.75,21.96
HOLSWORTHY AERODROME,22/10/2012,4.3,0.0, ,18.5,10.1,98,41,5.82,24.31
HOLSWORTHY AERODROME,23/10/2012,4.5,2.0, ,19.6,8.5,93,37,3.65,26.95
HOLSWORTHY AERODROME,24/10/2012,5.9,0.0, ,26.8,6.6,97,26,3.44,28.37
HOLSWORTHY AERODROME,25/10/2012,6.7,0.0, ,32.5,9.2,97,18,2.75,28.41
HOLSWORTHY AERODROME,26/10/2012,4.1,0.0, ,23.2,15.5,93,37,2.95,18.40
HOLSWORTHY AERODROME,27/10/2012,5.0,0.0, ,20.8,9.1,74,40,3.82,28.03
HOLSWORTHY AERODROME,28/10/2012,4.1,0.0, ,20.4,10.6,87,49,2.92,23.95
HOLSWORTHY AERODROME,29/10/2012,4.9,0.0, ,23.8,7.8,95,43,2.96,28.53
HOLSWORTHY AERODROME,30/10/2012,5.4,0.0, ,27.0,10.8,94,41,2.79,28.50
HOLSWORTHY AERODROME,31/10/2012,6.2,0.0, ,30.8,11.8,95,33,2.89,28.79
Totals:,,148.3,37.4, ,,,,,, 
