'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOLSWORTHY CONTROL RANGE New South Wales for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOLSWORTHY CONTROL RANGE,01/05/2010,2.1,0.0, ,22.5,11.0,97,67,2.35,13.74
HOLSWORTHY CONTROL RANGE,02/05/2010,2.9,0.0, ,26.1,10.5,99,44,2.05,16.93
HOLSWORTHY CONTROL RANGE,03/05/2010,2.3,0.0, ,24.4,11.6,97,65,2.91,13.87
HOLSWORTHY CONTROL RANGE,04/05/2010, , , ,26.3, ,99,56,2.07,14.04
HOLSWORTHY CONTROL RANGE,05/05/2010,2.8,0.0, ,21.7,9.1,97,46,4.33,11.26
HOLSWORTHY CONTROL RANGE,06/05/2010,2.9,0.2, ,21.3,3.6,92,44,3.63,16.72
HOLSWORTHY CONTROL RANGE,07/05/2010,3.0,0.0, ,22.7,7.1,87,38,2.76,16.63
HOLSWORTHY CONTROL RANGE,08/05/2010,2.8,0.0, ,24.1,7.4,96,45,2.63,16.34
HOLSWORTHY CONTROL RANGE,09/05/2010,2.8,0.0, ,24.5,7.9,97,39,2.45,16.15
HOLSWORTHY CONTROL RANGE,10/05/2010,2.8,0.0, ,24.6,7.1,99,39,2.49,16.00
HOLSWORTHY CONTROL RANGE,11/05/2010,3.7,0.0, ,26.6,7.1,100,23,3.07,15.92
HOLSWORTHY CONTROL RANGE,12/05/2010,3.2,0.2, ,18.5,7.4,69,31,3.79,16.12
HOLSWORTHY CONTROL RANGE,13/05/2010,3.0,0.0, ,21.4,3.6,86,36,3.44,15.33
HOLSWORTHY CONTROL RANGE,14/05/2010, ,0.0, ,20.8,6.1, , , ,15.50
HOLSWORTHY CONTROL RANGE,15/05/2010,2.8,0.0, ,21.8,7.0,87,38,3.16,15.24
HOLSWORTHY CONTROL RANGE,16/05/2010,2.5,0.0, ,22.7,7.0,93,42,2.76,13.62
HOLSWORTHY CONTROL RANGE,17/05/2010,1.6,0.0, ,18.5,10.9,94,58,2.27,9.93
HOLSWORTHY CONTROL RANGE,18/05/2010,1.4,4.0, ,18.3,11.1,95,68,2.11,10.48
HOLSWORTHY CONTROL RANGE,19/05/2010,1.9,1.4, ,19.3,10.8,97,57,2.97,13.87
HOLSWORTHY CONTROL RANGE,20/05/2010,1.9,0.0, ,19.8,7.2,97,54,2.71,12.37
HOLSWORTHY CONTROL RANGE,21/05/2010,1.9,0.0, ,20.0,8.9,96,55,3.00,12.33
HOLSWORTHY CONTROL RANGE,22/05/2010,2.4,1.0, ,18.8,8.4,90,46,3.82,13.97
HOLSWORTHY CONTROL RANGE,23/05/2010,1.6,0.0, ,17.9,7.9,95,57,2.65,10.53
HOLSWORTHY CONTROL RANGE,24/05/2010,1.5,0.0, ,18.9,5.8,97,55,2.06,10.62
HOLSWORTHY CONTROL RANGE,25/05/2010,1.0,3.8, ,16.1,10.9,99,81,1.16,9.30
HOLSWORTHY CONTROL RANGE,26/05/2010,1.4,7.0, ,16.7,10.0,99,67,4.15,6.20
HOLSWORTHY CONTROL RANGE,27/05/2010,1.6,39.8, ,18.1,11.0,96,61,3.03,11.71
HOLSWORTHY CONTROL RANGE,28/05/2010,1.7,1.4, ,20.6,9.7,97,50,2.06,12.18
HOLSWORTHY CONTROL RANGE,29/05/2010,1.0,2.4, ,16.6,11.9,97,84,1.54,8.34
HOLSWORTHY CONTROL RANGE,30/05/2010,1.6,3.2, ,19.6,8.0,100,48,1.89,11.83
HOLSWORTHY CONTROL RANGE,31/05/2010,1.9,9.8, ,19.8,11.8,97,66,4.76,11.23
Totals:,,64,74.2, ,,,,,, 
