'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSLEY PARK EQUESTRIAN CENTRE New South Wales for October 2012,,,,,,,,,,
Issued at 22:38 GMT on Thursday 01 November 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSLEY PARK EQUESTRIAN CENTRE,01/10/2012,4.0,0.0, ,21.1,6.8,80,29,2.51,22.37
HORSLEY PARK EQUESTRIAN CENTRE,02/10/2012,3.9,0.0, ,22.3,10.5,85,32,1.76,22.77
HORSLEY PARK EQUESTRIAN CENTRE,03/10/2012,4.2,0.0, ,30.1,6.3,95,19,1.01,23.79
HORSLEY PARK EQUESTRIAN CENTRE,04/10/2012,4.8,0.0, ,31.5,8.9,83,15,1.46,23.93
HORSLEY PARK EQUESTRIAN CENTRE,05/10/2012,7.7,0.0, ,34.8,17.2,81,12,4.23,23.13
HORSLEY PARK EQUESTRIAN CENTRE,06/10/2012,1.4,0.6, ,17.0,14.7,96,77,1.85,5.42
HORSLEY PARK EQUESTRIAN CENTRE,07/10/2012,4.5,4.0, ,21.5,10.8,96,24,3.01,24.54
HORSLEY PARK EQUESTRIAN CENTRE,08/10/2012,3.3,0.0, ,19.4,11.2,80,48,2.02,18.55
HORSLEY PARK EQUESTRIAN CENTRE,09/10/2012,3.6,0.6, ,19.5,10.3,92,41,2.19,21.09
HORSLEY PARK EQUESTRIAN CENTRE,10/10/2012,4.6,0.2, ,25.1,6.7,97,23,2.05,25.02
HORSLEY PARK EQUESTRIAN CENTRE,11/10/2012,2.7,6.4, ,20.5,11.8,94,46,1.69,13.43
HORSLEY PARK EQUESTRIAN CENTRE,12/10/2012,2.3,12.6, ,16.2,6.3,93,53,3.66,9.53
HORSLEY PARK EQUESTRIAN CENTRE,13/10/2012,3.5,10.4, ,19.9,4.8,97,39,1.98,22.26
HORSLEY PARK EQUESTRIAN CENTRE,14/10/2012,3.8,0.0, ,20.8,8.9,92,40,1.80,23.50
HORSLEY PARK EQUESTRIAN CENTRE,15/10/2012,4.6,0.0, ,28.6,7.1,97,19,1.20,25.93
HORSLEY PARK EQUESTRIAN CENTRE,16/10/2012,5.4,0.0, ,32.5,12.1,76,11,1.79,23.24
HORSLEY PARK EQUESTRIAN CENTRE,17/10/2012,5.5,0.0, ,23.4,14.3,71,29,3.49,25.95
HORSLEY PARK EQUESTRIAN CENTRE,18/10/2012,3.9,0.0, ,23.0,14.7,85,48,2.13,19.85
HORSLEY PARK EQUESTRIAN CENTRE,19/10/2012,5.0,0.0, ,30.7,12.7,95,25,1.36,25.23
HORSLEY PARK EQUESTRIAN CENTRE,20/10/2012,6.9,0.0, ,34.5,12.1,92,14,2.58,27.90
HORSLEY PARK EQUESTRIAN CENTRE,21/10/2012,5.1,0.0, ,28.1,11.0,99,18,2.23,23.14
HORSLEY PARK EQUESTRIAN CENTRE,22/10/2012,4.6,0.0, ,19.6,10.2,94,28,4.08,24.28
HORSLEY PARK EQUESTRIAN CENTRE,23/10/2012,4.7,2.2, ,20.4,9.1,84,36,3.19,27.34
HORSLEY PARK EQUESTRIAN CENTRE,24/10/2012,5.5,0.0, ,27.1,8.1,89,23,2.27,28.49
HORSLEY PARK EQUESTRIAN CENTRE,25/10/2012,6.3,0.0, ,33.6,9.3,97,14,2.01,28.35
HORSLEY PARK EQUESTRIAN CENTRE,26/10/2012,3.9,0.0, ,23.2,14.1,87,32,2.08,17.83
HORSLEY PARK EQUESTRIAN CENTRE,27/10/2012,5.3,0.0, ,22.1,9.6,67,28,2.98,28.55
HORSLEY PARK EQUESTRIAN CENTRE,28/10/2012,4.1,0.0, ,21.1,12.3,78,45,2.23,21.98
HORSLEY PARK EQUESTRIAN CENTRE,29/10/2012,4.9,0.0, ,24.1,8.4,92,35,2.00,28.67
HORSLEY PARK EQUESTRIAN CENTRE,30/10/2012,5.1,0.0, ,27.1,11.1,95,39,1.83,27.99
HORSLEY PARK EQUESTRIAN CENTRE,31/10/2012,5.7,0.0, ,31.4,12.5,95,28,1.49,29.23
Totals:,,140.8,37, ,,,,,, 
