'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSLEY PARK EQUESTRIAN CENTRE New South Wales for January 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSLEY PARK EQUESTRIAN CENTRE,01/01/2014,6.2,0.0, ,30.8,17.8,85,37,2.32,27.98
HORSLEY PARK EQUESTRIAN CENTRE,02/01/2014,5.2,0.0, ,35.3,20.7,84,20,2.33,13.97
HORSLEY PARK EQUESTRIAN CENTRE,03/01/2014,5.6,1.2, ,31.3,19.5,91,43,2.31,24.27
HORSLEY PARK EQUESTRIAN CENTRE,04/01/2014,7.2,0.2, ,30.8,18.9,92,33,2.94,32.85
HORSLEY PARK EQUESTRIAN CENTRE,05/01/2014,6.4,0.0, ,30.2,16.5,92,41,2.41,31.21
HORSLEY PARK EQUESTRIAN CENTRE,06/01/2014,8.7,0.0, ,32.2,17.7,91,8,3.92,34.21
HORSLEY PARK EQUESTRIAN CENTRE,07/01/2014,3.7,0.0, ,22.8,16.7,87,41,3.58,11.59
HORSLEY PARK EQUESTRIAN CENTRE,08/01/2014,2.5,3.0, ,21.0,15.0,93,57,2.33,9.62
HORSLEY PARK EQUESTRIAN CENTRE,09/01/2014,3.1,0.6, ,23.8,15.1,85,41,1.82,11.68
HORSLEY PARK EQUESTRIAN CENTRE,10/01/2014,4.8,0.0, ,28.6,16.9,85,41,1.74,21.52
HORSLEY PARK EQUESTRIAN CENTRE,11/01/2014,6.6,0.0, ,35.7,16.1,93,26,1.94,27.97
HORSLEY PARK EQUESTRIAN CENTRE,12/01/2014,6.0,0.0, ,30.3,19.4,90,48,3.13,26.69
HORSLEY PARK EQUESTRIAN CENTRE,13/01/2014,5.8,0.0, ,28.3,16.6,92,43,2.39,28.89
HORSLEY PARK EQUESTRIAN CENTRE,14/01/2014,6.9,0.0, ,33.0,15.1,93,33,2.32,32.20
HORSLEY PARK EQUESTRIAN CENTRE,15/01/2014,7.5,0.0, ,37.0,17.0,95,25,2.04,32.14
HORSLEY PARK EQUESTRIAN CENTRE,16/01/2014,7.2,0.0, ,35.5,16.8,96,24,1.98,32.28
HORSLEY PARK EQUESTRIAN CENTRE,17/01/2014,7.2,0.0, ,35.2,17.6,95,28,2.14,31.92
HORSLEY PARK EQUESTRIAN CENTRE,18/01/2014,7.9,0.0, ,37.9,15.9,95,20,2.34,32.13
HORSLEY PARK EQUESTRIAN CENTRE,19/01/2014,6.3,0.0, ,29.8,17.9,91,49,3.44,29.38
HORSLEY PARK EQUESTRIAN CENTRE,20/01/2014,3.8,0.0, ,28.4,18.9,95,51,2.56,14.48
HORSLEY PARK EQUESTRIAN CENTRE,21/01/2014,2.4,6.0, ,25.2,18.3,96,68,2.55,8.47
HORSLEY PARK EQUESTRIAN CENTRE,22/01/2014,1.9,0.6, ,21.9,19.3,90,61,2.92,3.24
HORSLEY PARK EQUESTRIAN CENTRE,23/01/2014,2.4,0.0, ,24.6,17.7,89,52,2.15,6.13
HORSLEY PARK EQUESTRIAN CENTRE,24/01/2014,3.4,0.0, ,29.6,17.2,94,44,1.77,11.99
HORSLEY PARK EQUESTRIAN CENTRE,25/01/2014,4.9,4.2, ,25.1,15.9,92,42,3.44,22.05
HORSLEY PARK EQUESTRIAN CENTRE,26/01/2014,2.9,0.2, ,21.5,15.1,90,50,2.33,11.52
HORSLEY PARK EQUESTRIAN CENTRE,27/01/2014,5.8,0.2, ,28.9,13.0,86,37,2.18,28.75
HORSLEY PARK EQUESTRIAN CENTRE,28/01/2014,6.5,0.0, ,30.9,14.7,90,31,2.41,31.09
HORSLEY PARK EQUESTRIAN CENTRE,29/01/2014,7.4,0.0, ,37.0,15.9,92,25,2.36,30.74
HORSLEY PARK EQUESTRIAN CENTRE,30/01/2014,7.3,0.0, ,33.4,18.1,89,29,2.98,30.73
HORSLEY PARK EQUESTRIAN CENTRE,31/01/2014,7.4,0.0, ,36.2,15.2,92,19,2.43,30.25
Totals:,,170.9,16.2, ,,,,,, 
