'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSLEY PARK EQUESTRIAN CENTRE New South Wales for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSLEY PARK EQUESTRIAN CENTRE,01/07/2014,1.5,0.0, ,17.7,2.5,89,34,1.67,10.61
HORSLEY PARK EQUESTRIAN CENTRE,02/07/2014,1.5,0.0, ,18.0,2.4,88,37,1.70,10.55
HORSLEY PARK EQUESTRIAN CENTRE,03/07/2014,1.0,0.0, ,18.1,2.0,97,38,0.63,10.86
HORSLEY PARK EQUESTRIAN CENTRE,04/07/2014,1.5,0.0, ,20.5,2.2,97,25,1.25,11.01
HORSLEY PARK EQUESTRIAN CENTRE,05/07/2014,1.6,0.0, ,17.2,2.7,86,35,1.87,10.59
HORSLEY PARK EQUESTRIAN CENTRE,06/07/2014,1.5,0.0, ,17.3,2.2,91,37,1.68,10.48
HORSLEY PARK EQUESTRIAN CENTRE,07/07/2014,1.5,0.0, ,17.7,1.6,90,41,1.65,10.75
HORSLEY PARK EQUESTRIAN CENTRE,08/07/2014,0.9,0.0, ,17.2,2.3,95,39,0.58,11.04
HORSLEY PARK EQUESTRIAN CENTRE,09/07/2014,2.8,0.0, ,20.4,1.8,92,20,3.28,10.87
HORSLEY PARK EQUESTRIAN CENTRE,10/07/2014,2.3,0.0, ,16.8,5.7,68,33,3.10,10.90
HORSLEY PARK EQUESTRIAN CENTRE,11/07/2014,1.6,0.0, ,17.6,3.3,86,34,1.65,10.95
HORSLEY PARK EQUESTRIAN CENTRE,12/07/2014,1.8,0.2, ,17.6,0.4,91,35,2.17,10.85
HORSLEY PARK EQUESTRIAN CENTRE,13/07/2014,2.1,0.0, ,15.9,5.1,70,40,3.10,10.82
HORSLEY PARK EQUESTRIAN CENTRE,14/07/2014,1.7,0.0, ,17.6,5.1,89,45,2.29,9.82
HORSLEY PARK EQUESTRIAN CENTRE,15/07/2014,0.7,0.0, ,14.4,8.3,98,74,0.59,4.73
HORSLEY PARK EQUESTRIAN CENTRE,16/07/2014,1.4,1.4, ,18.0,9.3,100,47,1.63,7.45
HORSLEY PARK EQUESTRIAN CENTRE,17/07/2014,2.3,0.4, ,19.6,4.5,89,34,3.00,11.06
HORSLEY PARK EQUESTRIAN CENTRE,18/07/2014,2.2,0.2, ,15.1,5.2,82,34,3.37,11.07
HORSLEY PARK EQUESTRIAN CENTRE,19/07/2014,2.6,0.0, ,15.7,6.8,55,44,4.11,9.01
HORSLEY PARK EQUESTRIAN CENTRE,20/07/2014,1.8,0.0, ,16.7,8.8,78,49,2.77,5.71
HORSLEY PARK EQUESTRIAN CENTRE,21/07/2014,1.7,0.0, ,18.0,6.8,93,44,2.01,10.63
HORSLEY PARK EQUESTRIAN CENTRE,22/07/2014,1.5,0.0, ,18.1,6.5,97,46,1.65,11.14
HORSLEY PARK EQUESTRIAN CENTRE,23/07/2014,1.2,0.0, ,18.2,5.0,99,47,0.75,11.41
HORSLEY PARK EQUESTRIAN CENTRE,24/07/2014,1.0,0.0, ,17.2,5.1,99,57,0.69,7.00
HORSLEY PARK EQUESTRIAN CENTRE,25/07/2014,1.6,0.4, ,20.8,6.3,98,49,1.96,6.51
HORSLEY PARK EQUESTRIAN CENTRE,26/07/2014,1.2,4.4, ,17.8,8.8,98,54,1.09,7.02
HORSLEY PARK EQUESTRIAN CENTRE,27/07/2014,1.6,1.8, ,19.5,4.4,95,38,1.21,12.29
HORSLEY PARK EQUESTRIAN CENTRE,28/07/2014,1.6,0.2, ,17.8,6.3,85,41,1.54,10.38
HORSLEY PARK EQUESTRIAN CENTRE,29/07/2014,3.4,0.0, ,22.9,10.2,67,24,3.31,10.76
HORSLEY PARK EQUESTRIAN CENTRE,30/07/2014,3.1,0.0, ,23.1,9.0,62,32,3.02,12.16
HORSLEY PARK EQUESTRIAN CENTRE,31/07/2014,4.3,0.0, ,25.0,10.4,74,17,4.20,12.91
Totals:,,56.5,9, ,,,,,, 
