'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSLEY PARK EQUESTRIAN CENTRE New South Wales for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSLEY PARK EQUESTRIAN CENTRE,01/08/2014,3.2,0.0, ,17.7,11.6,77,22,4.10,12.28
HORSLEY PARK EQUESTRIAN CENTRE,02/08/2014,2.3,0.0, ,15.9,2.3,75,29,2.59,13.09
HORSLEY PARK EQUESTRIAN CENTRE,03/08/2014,2.0,0.0, ,16.8,4.4,80,36,2.27,11.45
HORSLEY PARK EQUESTRIAN CENTRE,04/08/2014,1.8,0.0, ,19.1,2.7,92,41,1.60,12.98
HORSLEY PARK EQUESTRIAN CENTRE,05/08/2014,2.0,0.0, ,19.7,3.8,96,25,1.49,13.35
HORSLEY PARK EQUESTRIAN CENTRE,06/08/2014,2.0,0.0, ,20.7,1.5,93,30,1.44,13.51
HORSLEY PARK EQUESTRIAN CENTRE,07/08/2014,2.5,0.0, ,19.4,6.0,68,33,2.32,12.68
HORSLEY PARK EQUESTRIAN CENTRE,08/08/2014,1.7,0.0, ,19.0,2.8,96,50,1.74,10.69
HORSLEY PARK EQUESTRIAN CENTRE,09/08/2014,1.6,0.0, ,21.6,4.8,99,33,0.65,13.25
HORSLEY PARK EQUESTRIAN CENTRE,10/08/2014,2.3,0.0, ,22.0,5.7,80,28,1.74,9.92
HORSLEY PARK EQUESTRIAN CENTRE,11/08/2014,2.2,0.0, ,14.9,5.0,72,33,2.56,10.33
HORSLEY PARK EQUESTRIAN CENTRE,12/08/2014,1.8,0.4, ,15.2,6.0,92,55,3.08,10.30
HORSLEY PARK EQUESTRIAN CENTRE,13/08/2014,2.4,2.8, ,16.8,7.0,82,40,2.81,13.22
HORSLEY PARK EQUESTRIAN CENTRE,14/08/2014,2.4,0.0, ,18.6,5.8,79,39,2.47,13.67
HORSLEY PARK EQUESTRIAN CENTRE,15/08/2014,2.2,0.0, ,18.8,6.7,93,38,2.02,12.86
HORSLEY PARK EQUESTRIAN CENTRE,16/08/2014,1.4,0.0, ,16.7,5.6,99,65,1.62,8.25
HORSLEY PARK EQUESTRIAN CENTRE,17/08/2014,1.2,24.4, ,15.9,9.9,100,72,2.40,5.85
HORSLEY PARK EQUESTRIAN CENTRE,18/08/2014,1.4,42.0, ,15.1,10.4,100,71,4.81,5.92
HORSLEY PARK EQUESTRIAN CENTRE,19/08/2014,2.3,24.0, ,17.8,11.4,95,54,4.33,9.86
HORSLEY PARK EQUESTRIAN CENTRE,20/08/2014,2.3,1.0, ,17.1,9.5,81,49,3.16,11.32
HORSLEY PARK EQUESTRIAN CENTRE,21/08/2014,2.2,0.0, ,17.8,8.3,85,52,2.82,10.82
HORSLEY PARK EQUESTRIAN CENTRE,22/08/2014,2.0,0.2, ,18.5,10.3,91,53,2.40,9.78
HORSLEY PARK EQUESTRIAN CENTRE,23/08/2014,1.7,0.2, ,18.6,8.9,97,58,1.77,8.42
HORSLEY PARK EQUESTRIAN CENTRE,24/08/2014,2.0,2.0, ,20.3,9.1,99,50,1.14,14.10
HORSLEY PARK EQUESTRIAN CENTRE,25/08/2014,2.1,0.2, ,21.2,8.6,98,42,1.33,12.43
HORSLEY PARK EQUESTRIAN CENTRE,26/08/2014,1.0,1.8, ,14.7,10.5,97,86,2.59,4.90
HORSLEY PARK EQUESTRIAN CENTRE,27/08/2014, ,23.0, , ,11.9,96,56,3.92,9.46
HORSLEY PARK EQUESTRIAN CENTRE,28/08/2014, , , ,18.7, ,93,51,3.92,14.01
HORSLEY PARK EQUESTRIAN CENTRE,29/08/2014,2.5,0.2, ,17.7,8.9,85,53,3.91,11.10
HORSLEY PARK EQUESTRIAN CENTRE,30/08/2014,2.0,0.0, ,16.9,11.0,90,63,3.89,8.67
HORSLEY PARK EQUESTRIAN CENTRE,31/08/2014,2.9,0.8, ,22.1,10.6,98,36,1.96,16.97
Totals:,,59.4,123, ,,,,,, 
