'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSLEY PARK EQUESTRIAN CENTRE New South Wales for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSLEY PARK EQUESTRIAN CENTRE,01/07/2016,1.7,0.0, ,16.1,4.1,90,37,2.41,10.66
HORSLEY PARK EQUESTRIAN CENTRE,02/07/2016,1.4,0.0, ,17.1,2.8,92,39,1.66,11.21
HORSLEY PARK EQUESTRIAN CENTRE,03/07/2016,0.9,0.0, ,17.2,1.5,99,36,0.63,11.24
HORSLEY PARK EQUESTRIAN CENTRE,04/07/2016,0.7,0.0, ,14.3,1.1,99,52,0.22,9.37
HORSLEY PARK EQUESTRIAN CENTRE,05/07/2016,1.2,4.4, ,17.0,5.2,99,57,1.61,9.05
HORSLEY PARK EQUESTRIAN CENTRE,06/07/2016,2.1,0.4, ,17.1,7.6,74,45,3.52,9.17
HORSLEY PARK EQUESTRIAN CENTRE,07/07/2016,1.5,1.4, ,17.6,12.4,95,66,3.73,7.93
HORSLEY PARK EQUESTRIAN CENTRE,08/07/2016,0.9,3.6, ,15.7,11.9,98,77,2.26,5.47
HORSLEY PARK EQUESTRIAN CENTRE,09/07/2016,1.5,8.8, ,17.2,9.2,88,56,2.24,8.78
HORSLEY PARK EQUESTRIAN CENTRE,10/07/2016,1.1,0.4, ,18.3,10.4,99,58,0.89,10.33
HORSLEY PARK EQUESTRIAN CENTRE,11/07/2016,1.6,0.2, ,18.4,11.9,95,53,2.96,4.39
HORSLEY PARK EQUESTRIAN CENTRE,12/07/2016,2.9,0.0, ,19.4,11.1,87,23,3.87,10.83
HORSLEY PARK EQUESTRIAN CENTRE,13/07/2016,2.5,0.0, ,13.7,8.3,70,29,4.00,11.65
HORSLEY PARK EQUESTRIAN CENTRE,14/07/2016,1.5,0.0, ,16.6,0.6,87,29,1.55,11.59
HORSLEY PARK EQUESTRIAN CENTRE,15/07/2016,1.3,0.0, ,17.7,0.7,87,34,0.65,14.65
HORSLEY PARK EQUESTRIAN CENTRE,16/07/2016,1.2,0.0, ,18.4,2.5,95,53,1.18,10.77
HORSLEY PARK EQUESTRIAN CENTRE,17/07/2016,1.1,1.2, ,19.4,8.5,99,63,0.95,9.08
HORSLEY PARK EQUESTRIAN CENTRE,18/07/2016,1.7,0.4, ,23.6,7.9,100,45,1.36,11.78
HORSLEY PARK EQUESTRIAN CENTRE,19/07/2016,1.1,0.0, ,24.2,8.8,93,53,0.40,9.11
HORSLEY PARK EQUESTRIAN CENTRE,20/07/2016,0.7,20.2, ,16.1,15.0,100,87,1.28,3.21
HORSLEY PARK EQUESTRIAN CENTRE,21/07/2016,1.3,16.2, ,20.2,13.3,100,63,1.35,8.45
HORSLEY PARK EQUESTRIAN CENTRE,22/07/2016,2.6,0.0, ,25.5,10.9,100,45,3.22,10.79
HORSLEY PARK EQUESTRIAN CENTRE,23/07/2016,2.7,3.0, ,16.5,13.1,93,33,4.89,12.53
HORSLEY PARK EQUESTRIAN CENTRE,24/07/2016,1.6,0.0, ,13.6,2.6,79,36,1.95,9.79
HORSLEY PARK EQUESTRIAN CENTRE,25/07/2016,2.3,0.0, ,17.0,4.1,85,35,3.05,12.68
HORSLEY PARK EQUESTRIAN CENTRE,26/07/2016,1.4,0.0, ,19.4,6.9,64,30,0.68,12.81
HORSLEY PARK EQUESTRIAN CENTRE,27/07/2016,0.9,0.0, ,18.1,8.8,81,37,0.00,12.50
HORSLEY PARK EQUESTRIAN CENTRE,28/07/2016,0.9,0.0, ,19.0,3.3,92,38,0.00,13.01
HORSLEY PARK EQUESTRIAN CENTRE,29/07/2016,0.9,0.0, ,18.6,1.2,97,34,0.00,13.03
HORSLEY PARK EQUESTRIAN CENTRE,30/07/2016,1.0,0.0, ,18.9,2.3,97,47,0.00,12.60
HORSLEY PARK EQUESTRIAN CENTRE,31/07/2016,1.0,0.0, ,20.6,8.0,96,39,0.00,10.34
Totals:,,45.2,60.2, ,,,,,, 
