'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for INVERELL RESEARCH CENTRE New South Wales for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
INVERELL RESEARCH CENTRE,01/05/2012,3.0,0.0, ,22.0,9.2,88,36,2.57,15.52
INVERELL RESEARCH CENTRE,02/05/2012,2.7,0.0, ,22.1,9.4,90,35,2.15,13.45
INVERELL RESEARCH CENTRE,03/05/2012,1.1,0.6, ,16.7,12.4,97,80,1.33,5.67
INVERELL RESEARCH CENTRE,04/05/2012,2.8,6.8, ,21.5,5.8,100,28,2.44,15.12
INVERELL RESEARCH CENTRE,05/05/2012,2.8,0.0, ,19.8,4.2,97,27,2.59,15.34
INVERELL RESEARCH CENTRE,06/05/2012,2.6,0.0, ,19.6,2.6,100,14,1.93,16.02
INVERELL RESEARCH CENTRE,07/05/2012,2.8,0.0, ,20.2,3.9,89,19,2.30,15.24
INVERELL RESEARCH CENTRE,08/05/2012,3.0,0.0, ,22.2,3.5,91,24,2.49,14.32
INVERELL RESEARCH CENTRE,09/05/2012,2.9,0.0, ,23.5,4.3,93,20,2.11,14.20
INVERELL RESEARCH CENTRE,10/05/2012,2.7,0.0, ,23.7,6.9,81,23,1.74,14.07
INVERELL RESEARCH CENTRE,11/05/2012,2.5,0.0, ,22.9,6.6,89,29,1.66,13.95
INVERELL RESEARCH CENTRE,12/05/2012,2.9,0.0,1.6,23.3,7.2,84,26,2.24,13.82
INVERELL RESEARCH CENTRE,13/05/2012,2.6,0.0,3.2,16.2,4.3,76,24,2.84,13.72
INVERELL RESEARCH CENTRE,14/05/2012,2.4,0.0,4.0,16.6,0.2,99,26,2.66,13.61
INVERELL RESEARCH CENTRE,15/05/2012,2.5,0.0,4.0,17.8,2.1,77,21,2.33,13.49
INVERELL RESEARCH CENTRE,16/05/2012,2.5,0.0,4.0,19.5,0.2,99,19,2.13,13.36
INVERELL RESEARCH CENTRE,17/05/2012, ,0.0,1.6, ,5.3,91,23,1.90,13.28
INVERELL RESEARCH CENTRE,18/05/2012, ,0.0, ,19.3, ,95,24,1.91,13.14
INVERELL RESEARCH CENTRE,19/05/2012,2.2,0.0, ,19.6,4.7,94,29,1.82,12.83
INVERELL RESEARCH CENTRE,20/05/2012,2.4,0.0, ,19.6,2.2,88,22,2.08,12.99
INVERELL RESEARCH CENTRE,21/05/2012,1.8,0.0,4.0,19.4,7.1,91,39,1.63,8.56
INVERELL RESEARCH CENTRE,22/05/2012,2.1,0.2,0.8,20.4,5.9,96,27,1.72,11.31
INVERELL RESEARCH CENTRE,23/05/2012,2.3,0.0,4.0,20.8,2.3,87,23,1.86,12.71
INVERELL RESEARCH CENTRE,24/05/2012,2.5,0.2,2.6,22.1,8.9,97,44,3.15,11.68
INVERELL RESEARCH CENTRE,25/05/2012,0.8,24.2,2.0,12.7,12.0,100,82,3.20,2.50
INVERELL RESEARCH CENTRE,26/05/2012,1.7,6.4, ,13.2,0.7,100,37,2.12,12.47
INVERELL RESEARCH CENTRE,27/05/2012,1.8,0.0, ,15.5,1.7,100,38,2.36,12.33
INVERELL RESEARCH CENTRE,28/05/2012,2.4,0.0,4.0,18.4,5.0,83,43,3.33,12.04
INVERELL RESEARCH CENTRE,29/05/2012,2.7,0.0,4.0,20.3,7.2,84,33,3.28,10.78
INVERELL RESEARCH CENTRE,30/05/2012,2.8,5.4,0.8,20.3,8.6,79,34,3.38,11.55
INVERELL RESEARCH CENTRE,31/05/2012,2.6,0.0,4.0,19.1,7.8,81,44,3.88,11.50
Totals:,,69.9,43.8,44.6,,,,,, 
