'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for INVERELL RESEARCH CENTRE New South Wales for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
INVERELL RESEARCH CENTRE,01/05/2016,1.9,0.2,3.6,24.7,15.7,99,59,1.97,7.59
INVERELL RESEARCH CENTRE,02/05/2016,3.1,1.8,3.0,26.3,9.7,100,29,2.23,13.36
INVERELL RESEARCH CENTRE,03/05/2016,2.0,17.6,8.6,20.5,10.8,100,51,1.47,12.36
INVERELL RESEARCH CENTRE,04/05/2016, ,0.0,2.4, ,9.6,100,29,1.70,16.46
INVERELL RESEARCH CENTRE,05/05/2016, , ,3.6,24.3, ,91,25,1.55,16.37
INVERELL RESEARCH CENTRE,06/05/2016,2.8,0.0,4.0,24.9,8.8,78,34,1.67,16.14
INVERELL RESEARCH CENTRE,07/05/2016,2.9,0.0,2.2,26.2,10.4,90,22,1.57,16.14
INVERELL RESEARCH CENTRE,08/05/2016,2.9,0.0,3.2,24.4,9.5,96,32,2.30,14.83
INVERELL RESEARCH CENTRE,09/05/2016,2.6,0.0,4.0,24.0,13.9,90,55,3.75,9.78
INVERELL RESEARCH CENTRE,10/05/2016,2.7,0.2,4.4,20.8,13.4,97,37,2.57,15.10
INVERELL RESEARCH CENTRE,11/05/2016,3.0,0.0,4.0,20.6,9.6,94,10,2.52,15.04
INVERELL RESEARCH CENTRE,12/05/2016,2.2,0.0,2.0,19.2,2.3,90,38,1.88,15.67
INVERELL RESEARCH CENTRE,13/05/2016,2.8,0.0,4.0,23.4,4.4,100,30,2.24,15.59
INVERELL RESEARCH CENTRE,14/05/2016,3.1,0.0,4.0,25.8,6.5,89,18,2.09,15.48
INVERELL RESEARCH CENTRE,15/05/2016,2.6,0.0,4.0,23.4,5.9,81,24,1.80,15.16
INVERELL RESEARCH CENTRE,16/05/2016,3.1,0.0,3.6,26.3,7.5,81,8,1.89,13.75
INVERELL RESEARCH CENTRE,17/05/2016,2.6,0.0,4.0,24.1,9.7,50,26,1.79,9.24
INVERELL RESEARCH CENTRE,18/05/2016,2.5,0.0,2.2,24.0,10.5,63,29,1.69,10.45
INVERELL RESEARCH CENTRE,19/05/2016,2.9,0.0,4.0,22.3,11.4,70,24,2.41,13.75
INVERELL RESEARCH CENTRE,20/05/2016,3.4,0.0,4.0,25.0,4.9,82,22,2.86,13.67
INVERELL RESEARCH CENTRE,21/05/2016,2.5,0.0,2.2,24.8,9.0,78,25,1.63,12.62
INVERELL RESEARCH CENTRE,22/05/2016,2.3,0.0,2.4,23.9,10.9,90,35,1.69,12.68
INVERELL RESEARCH CENTRE,23/05/2016, ,0.0,4.0, ,7.9,87,38,2.06,13.31
INVERELL RESEARCH CENTRE,24/05/2016, , ,4.0,19.6, ,65,16,2.95,13.38
INVERELL RESEARCH CENTRE,25/05/2016,2.7,0.0,4.0,22.4,-0.1,100,5,1.94,13.06
INVERELL RESEARCH CENTRE,26/05/2016,2.4,0.0,4.0,21.3,3.7,99,19,2.16,7.19
INVERELL RESEARCH CENTRE,27/05/2016,2.0,23.4,0.6,15.5,10.2,93,41,2.91,12.32
INVERELL RESEARCH CENTRE,28/05/2016,1.5,0.0,2.2,13.2,2.0,99,49,2.44,9.69
INVERELL RESEARCH CENTRE,29/05/2016,1.5,0.4,1.6,14.8,3.8,99,42,1.62,12.45
INVERELL RESEARCH CENTRE,30/05/2016,1.8,0.2,4.0,16.7,-1.3,100,26,1.65,13.04
INVERELL RESEARCH CENTRE,31/05/2016,1.8,0.0,2.0,17.7,4.7,90,38,1.84,10.07
Totals:,,67.6,43.8,105.8,,,,,, 
