'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for INVERELL RESEARCH CENTRE New South Wales for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
INVERELL RESEARCH CENTRE,01/07/2016,1.7,0.0,3.6,14.8,1.3,96,37,2.09,12.70
INVERELL RESEARCH CENTRE,02/07/2016,2.0,0.0,0.6,15.3,1.1,93,35,2.98,13.04
INVERELL RESEARCH CENTRE,03/07/2016,1.8,0.0,1.4,17.2,-1.2,100,29,1.79,13.07
INVERELL RESEARCH CENTRE,04/07/2016,1.5,0.0,4.0,17.9,2.4,97,52,1.76,10.79
INVERELL RESEARCH CENTRE,05/07/2016,1.2,26.6,6.8,14.4,8.7,100,68,3.00,6.97
INVERELL RESEARCH CENTRE,06/07/2016,1.0,2.6,0.0,8.7,3.9,95,74,3.03,7.11
INVERELL RESEARCH CENTRE,07/07/2016,1.2,1.2,0.0,13.9,4.9,97,67,2.14,8.50
INVERELL RESEARCH CENTRE,08/07/2016,1.3,0.0,1.0,14.7,8.1,97,66,2.12,9.45
INVERELL RESEARCH CENTRE,09/07/2016,1.8,0.2,0.0,15.9,4.8,100,48,2.80,13.34
INVERELL RESEARCH CENTRE,10/07/2016,2.0,0.0,1.6,17.3,5.3,93,37,2.35,13.41
INVERELL RESEARCH CENTRE,11/07/2016,1.7,0.0,4.0,18.6,6.9,95,51,2.12,10.29
INVERELL RESEARCH CENTRE,12/07/2016,1.4,0.0,1.4,16.1,8.3,99,63,2.89,5.32
INVERELL RESEARCH CENTRE,13/07/2016,2.1,0.0,2.0,11.3,6.5,73,21,2.64,12.72
INVERELL RESEARCH CENTRE,14/07/2016,2.1,0.0,3.0,12.5,2.7,76,32,3.15,10.20
INVERELL RESEARCH CENTRE,15/07/2016,2.4,0.0, ,15.7,-0.9,100,18,2.64,16.02
INVERELL RESEARCH CENTRE,16/07/2016,2.4,0.0,0.6,15.9,3.9,71,43,3.88,8.65
INVERELL RESEARCH CENTRE,17/07/2016,2.6,0.0,1.0,20.8,8.8,85,47,3.31,13.86
INVERELL RESEARCH CENTRE,18/07/2016,2.1,0.0,3.2,22.0,8.9,88,43,1.55,13.94
INVERELL RESEARCH CENTRE,19/07/2016,1.9,0.0,2.6,22.3,8.5,94,56,1.48,12.66
INVERELL RESEARCH CENTRE,20/07/2016,1.9,0.0,1.0,23.0,12.8,97,57,1.89,10.70
INVERELL RESEARCH CENTRE,21/07/2016, ,11.0, , ,15.0,100,81,2.26,6.49
INVERELL RESEARCH CENTRE,22/07/2016, ,5.2, , , ,100,81,2.43,5.99
INVERELL RESEARCH CENTRE,23/07/2016, , ,2.0,16.7, ,99,35,3.72,13.59
INVERELL RESEARCH CENTRE,24/07/2016,1.0,0.0,3.0,8.5,2.3,96,57,1.68,4.31
INVERELL RESEARCH CENTRE,25/07/2016,1.8,0.0,1.4,13.6,1.5,94,39,2.08,14.51
INVERELL RESEARCH CENTRE,26/07/2016,1.9,0.0,1.8,15.7,-1.2,100,29,1.79,13.99
INVERELL RESEARCH CENTRE,27/07/2016,1.9,0.0,1.8,14.6,2.6,95,37,1.97,14.43
INVERELL RESEARCH CENTRE,28/07/2016,2.3,0.0, ,16.7,1.7,96,24,2.34,14.80
INVERELL RESEARCH CENTRE,29/07/2016,2.3,0.0, ,17.9,0.4,96,35,2.26,14.90
INVERELL RESEARCH CENTRE,30/07/2016,2.4,0.0,2.4,19.2,-0.8,100,24,1.97,15.00
INVERELL RESEARCH CENTRE,31/07/2016,2.5,0.0,3.0,18.9,1.7,92,12,1.90,15.10
Totals:,,52.2,46.8,53.2,,,,,, 
