'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for IVANHOE AERODROME New South Wales for July 2011,,,,,,,,,,
Issued at 22:34 GMT on Monday 01 August 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
IVANHOE AERODROME,01/07/2011,2.5,0.0, ,19.6,3.4,98,36,3.73,12.84
IVANHOE AERODROME,02/07/2011,3.1,0.0, ,21.2,3.8,90,35,4.72,12.62
IVANHOE AERODROME,03/07/2011,1.9,0.0, ,17.1,9.4,99,46,3.89,6.07
IVANHOE AERODROME,04/07/2011,2.8,3.2, ,18.2,7.2,100,35,5.68,12.84
IVANHOE AERODROME,05/07/2011,2.5,0.2, ,16.2,6.3,91,44,6.04,12.54
IVANHOE AERODROME,06/07/2011,2.3,0.0, ,14.9,7.6,76,51,5.43,10.21
IVANHOE AERODROME,07/07/2011,2.2,0.0, ,15.0,8.0,83,49,4.80,12.66
IVANHOE AERODROME,08/07/2011,1.6,0.0, ,13.4,0.1,99,47,3.27,12.86
IVANHOE AERODROME,09/07/2011,1.7,0.0, ,13.9,2.9,86,54,3.61,10.38
IVANHOE AERODROME,10/07/2011,2.1,0.0, ,15.1,8.6,74,52,4.30,9.69
IVANHOE AERODROME,11/07/2011,1.5,0.0, ,12.0,4.2,99,51,3.85,10.61
IVANHOE AERODROME,12/07/2011,1.4,0.2, ,13.7,-0.3,99,50,2.53,13.28
IVANHOE AERODROME,13/07/2011,0.8,0.0, ,9.3,4.8,99,75,1.98,6.95
IVANHOE AERODROME,14/07/2011,1.9,1.2, ,15.2,1.8,100,41,3.20,13.51
IVANHOE AERODROME,15/07/2011,2.3,0.0, ,15.8,-2.2,99,37,4.10,13.54
IVANHOE AERODROME,16/07/2011,1.1,0.2, ,11.2,3.9,100,68,3.90,5.83
IVANHOE AERODROME,17/07/2011,1.6,2.8, ,17.1,8.9,100,60,2.82,11.44
IVANHOE AERODROME,18/07/2011,2.0,0.2, ,15.4,6.2,99,47,4.20,11.97
IVANHOE AERODROME,19/07/2011,1.6,0.0, ,14.8,7.3,99,61,4.29,11.30
IVANHOE AERODROME,20/07/2011,2.0,0.0, ,17.7,3.9,100,50,4.06,7.14
IVANHOE AERODROME,21/07/2011,2.2,0.2, ,17.8,2.2,99,45,3.58,13.95
IVANHOE AERODROME,22/07/2011,2.0,0.0, ,18.1,0.9,99,41,2.70,13.63
IVANHOE AERODROME,23/07/2011,1.7,0.2, ,19.0,0.3,99,34,1.50,13.96
IVANHOE AERODROME,24/07/2011,2.9,0.0, ,20.1,5.0,78,35,3.85,13.70
IVANHOE AERODROME,25/07/2011,1.9,0.0, ,16.6,5.7,99,52,3.93,10.64
IVANHOE AERODROME,26/07/2011,2.2,0.0, ,17.7,3.8,99,40,3.25,12.40
IVANHOE AERODROME,27/07/2011,2.0,0.0, ,17.1,0.6,99,34,2.28,13.68
IVANHOE AERODROME,28/07/2011,2.8,0.0, ,18.7,-0.3,85,24,3.18,13.96
IVANHOE AERODROME,29/07/2011,3.6,0.0, ,21.0,1.0,77,22,3.94,13.98
IVANHOE AERODROME,30/07/2011,3.8,0.0, ,23.5,5.5,87,26,4.43,10.35
IVANHOE AERODROME,31/07/2011,2.8,4.0, ,23.0,10.8,99,39,3.27,13.59
Totals:,,66.8,12.4, ,,,,,, 
