'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for IVANHOE AERODROME New South Wales for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
IVANHOE AERODROME,01/08/2011,3.1,0.0, ,24.2,5.4,99,24,2.77,13.69
IVANHOE AERODROME,02/08/2011,4.4,0.0, ,26.7,10.7,60,25,4.01,11.73
IVANHOE AERODROME,03/08/2011,5.1,0.2, ,28.0,10.8,63,21,4.59,12.49
IVANHOE AERODROME,04/08/2011, ,0.0, ,27.1,13.6,47,19,6.34, 
IVANHOE AERODROME,05/08/2011,4.3,0.0, ,25.5,9.6,90,26,4.92,12.00
IVANHOE AERODROME,06/08/2011,2.6,4.0, ,19.2,9.0,100,38,3.88,11.45
IVANHOE AERODROME,07/08/2011,2.6,0.2, ,18.0,3.9,89,41,4.32,10.28
IVANHOE AERODROME,08/08/2011,1.6,1.0, ,14.9,7.5,100,63,4.23,8.54
IVANHOE AERODROME,09/08/2011,1.6,4.4, ,14.5,7.4,100,54,2.77,8.86
IVANHOE AERODROME,10/08/2011,1.4,0.4, ,15.6,5.3,99,64,2.15,8.34
IVANHOE AERODROME,11/08/2011,1.6,1.6, ,15.7,6.9,99,62,2.85,8.96
IVANHOE AERODROME,12/08/2011,2.2,0.4, ,21.0,4.0,100,39,1.74,14.42
IVANHOE AERODROME,13/08/2011,2.5,0.0, ,20.6,6.4,97,41,3.22,9.57
IVANHOE AERODROME,14/08/2011,2.6,2.8, ,21.7,7.1,99,39,2.52,13.96
IVANHOE AERODROME,15/08/2011,3.5,0.0, ,23.1,7.6,76,30,3.64,10.63
IVANHOE AERODROME,16/08/2011,3.8,0.0, ,22.2,11.5,73,33,4.72,10.45
IVANHOE AERODROME,17/08/2011,2.0,2.6, ,16.5,12.4,99,45,4.10,5.02
IVANHOE AERODROME,18/08/2011,2.2,4.6, ,15.8,5.4,99,53,5.32,11.32
IVANHOE AERODROME,19/08/2011,2.2,3.6, ,17.3,9.3,100,58,4.62,12.80
IVANHOE AERODROME,20/08/2011,3.4,0.2, ,20.9,5.5,99,30,3.78,17.01
IVANHOE AERODROME,21/08/2011,3.4,0.0, ,20.3,5.0,99,29,3.83,17.17
IVANHOE AERODROME,22/08/2011,3.4,0.2, ,21.2,4.3,99,32,3.79,17.30
IVANHOE AERODROME,23/08/2011,3.3,0.0, ,21.9,3.4,98,34,3.10,17.54
IVANHOE AERODROME,24/08/2011,3.4,0.0, ,23.8,5.3,99,30,2.77,17.84
IVANHOE AERODROME,25/08/2011,4.8,0.0, ,26.3,6.9,80,21,3.91,17.97
IVANHOE AERODROME,26/08/2011,3.5,0.0, ,24.0,5.6,99,30,2.88,17.77
IVANHOE AERODROME,27/08/2011,3.9,0.0, ,22.8,6.1,85,32,3.97,16.67
IVANHOE AERODROME,28/08/2011,3.6,0.0, ,23.6,4.4,87,30,2.75,18.35
IVANHOE AERODROME,29/08/2011,3.7,0.0, ,23.4,5.4,74,27,2.82,17.47
IVANHOE AERODROME,30/08/2011,3.4,0.0, ,18.8,2.8,89,27,3.52,18.73
IVANHOE AERODROME,31/08/2011,3.1,0.0, ,19.9,1.3,85,33,2.46,18.74
Totals:,,92.2,26.2, ,,,,,, 
