'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for IVANHOE AERODROME New South Wales for November 2011,,,,,,,,,,
Issued at 22:35 GMT on Thursday 01 December 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
IVANHOE AERODROME,01/11/2011,7.1,0.0, ,29.9,8.2,72,21,3.79,28.72
IVANHOE AERODROME,02/11/2011,7.2,0.0, ,28.0,11.6,74,19,4.56,28.00
IVANHOE AERODROME,03/11/2011,6.7,0.0, ,27.7,12.8,77,29,4.70,27.45
IVANHOE AERODROME,04/11/2011,8.1,0.0, ,31.4,11.6,66,16,4.18,30.97
IVANHOE AERODROME,05/11/2011,9.1,0.0, ,36.5,15.6,43,9,3.56,31.04
IVANHOE AERODROME,06/11/2011,8.9,0.0, ,36.2,22.5,91,22,5.27,27.67
IVANHOE AERODROME,07/11/2011,8.3,2.6, ,36.7,18.9,99,19,3.69,29.82
IVANHOE AERODROME,08/11/2011,7.2,0.0, ,32.4,22.7,59,33,4.76,20.34
IVANHOE AERODROME,09/11/2011,9.5,0.0, ,36.4,23.2,99,22,7.07,26.50
IVANHOE AERODROME,10/11/2011,6.8,26.2, ,26.5,14.4,100,28,4.70,32.09
IVANHOE AERODROME,11/11/2011,6.8,0.2, ,29.3,12.0,80,21,2.69,32.19
IVANHOE AERODROME,12/11/2011,7.1,0.0, ,31.4,13.6,83,16,2.65,31.84
IVANHOE AERODROME,13/11/2011,8.1,0.0, ,35.1,18.9,56,14,3.26,28.15
IVANHOE AERODROME,14/11/2011,9.4,0.0, ,33.4,21.8,46,13,4.28,32.27
IVANHOE AERODROME,15/11/2011,8.6,0.0, ,35.7,15.4,65,15,3.18,32.61
IVANHOE AERODROME,16/11/2011,4.4,0.0, ,23.8,19.7,93,35,4.53,14.42
IVANHOE AERODROME,17/11/2011,6.5,0.6, ,31.3,14.3,100,33,2.73,30.40
IVANHOE AERODROME,18/11/2011,8.3,0.0, ,35.1,18.8,91,24,3.67,32.03
IVANHOE AERODROME,19/11/2011,11.6,0.0, ,39.8,21.4,59,16,5.94,30.84
IVANHOE AERODROME,20/11/2011,5.5,0.6, ,25.5,17.8,99,25,3.95,22.05
IVANHOE AERODROME,21/11/2011,5.0,0.2, ,24.7,14.0,63,27,2.31,21.75
IVANHOE AERODROME,22/11/2011,2.6,0.0, ,17.1,15.6,95,60,2.35,13.38
IVANHOE AERODROME,23/11/2011,6.9,4.8, ,27.8,10.3,99,26,4.82,29.52
IVANHOE AERODROME,24/11/2011,3.9,0.0, ,20.9,15.8,100,50,5.60,17.29
IVANHOE AERODROME,25/11/2011,6.5,0.4, ,30.1,15.3,100,25,3.22,27.79
IVANHOE AERODROME,26/11/2011,6.7,5.6, ,26.9,13.3,97,29,5.94,27.14
IVANHOE AERODROME,27/11/2011,8.0,0.2, ,32.0,14.2,90,19,3.47,33.58
IVANHOE AERODROME,28/11/2011,9.3,0.0, ,36.3,16.4,60,17,3.98,32.42
IVANHOE AERODROME,29/11/2011,12.1,0.0, ,40.3,22.3,43,11,5.92,28.63
IVANHOE AERODROME,30/11/2011,8.1,0.0, ,26.2,20.8,59,19,6.20,26.39
Totals:,,224.3,41.4, ,,,,,, 
