'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for IVANHOE AERODROME New South Wales for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
IVANHOE AERODROME,01/11/2013,7.5,0.0, ,31.4,9.7,48,8,2.44,33.64
IVANHOE AERODROME,02/11/2013,8.8,0.0, ,36.7,13.9,24,7,2.99,32.16
IVANHOE AERODROME,03/11/2013,9.2,0.0, ,27.8,21.0,47,16,6.18,31.04
IVANHOE AERODROME,04/11/2013,7.9,0.0, ,24.0,9.4,55,16,5.76,34.56
IVANHOE AERODROME,05/11/2013,8.4,0.0, ,28.9,10.3,60,14,4.46,34.14
IVANHOE AERODROME,06/11/2013,9.2,0.0, ,34.3,13.6,37,14,3.72,33.59
IVANHOE AERODROME,07/11/2013,10.8,0.0, ,38.8,20.9,37,7,4.38,32.37
IVANHOE AERODROME,08/11/2013,8.7,0.0, ,33.5,19.3,54,10,5.78,14.72
IVANHOE AERODROME,09/11/2013,7.3,0.0, ,23.5,9.7,72,19,5.31,34.00
IVANHOE AERODROME,10/11/2013,7.4,0.0, ,22.8,9.1,59,17,5.33,34.18
IVANHOE AERODROME,11/11/2013,6.1,0.0, ,23.8,10.2,72,28,5.20,24.64
IVANHOE AERODROME,12/11/2013,6.1,0.0, ,25.3,8.8,82,23,4.19,25.69
IVANHOE AERODROME,13/11/2013,6.6,0.0, ,25.7,10.2,70,25,3.78,31.71
IVANHOE AERODROME,14/11/2013,7.6,0.0, ,26.9,8.0,58,13,3.65,34.41
IVANHOE AERODROME,15/11/2013,7.8,0.0, ,27.9,9.9,60,18,4.14,33.46
IVANHOE AERODROME,16/11/2013,7.7,0.0, ,27.7,11.1,63,17,3.96,33.65
IVANHOE AERODROME,17/11/2013,8.0,0.0, ,29.1,14.6,58,21,4.84,30.14
IVANHOE AERODROME,18/11/2013,8.2,0.0, ,31.2,12.8,49,13,3.02,34.95
IVANHOE AERODROME,19/11/2013,9.0,0.0, ,35.1,15.5,35,8,3.15,33.79
IVANHOE AERODROME,20/11/2013,11.1,0.0, ,38.2,19.8,29,7,5.07,28.87
IVANHOE AERODROME,21/11/2013,7.1,0.0, ,29.5,16.0,76,25,4.62,25.54
IVANHOE AERODROME,22/11/2013,7.8,0.0, ,28.0,15.6,52,20,4.66,28.53
IVANHOE AERODROME,23/11/2013,7.5,0.0, ,26.0,11.8,58,24,4.80,32.50
IVANHOE AERODROME,24/11/2013,7.9,0.0, ,26.9,12.8,65,21,4.60,34.78
IVANHOE AERODROME,25/11/2013,8.1,0.0, ,29.2,12.0,67,19,3.78,35.37
IVANHOE AERODROME,26/11/2013,9.4,0.0, ,33.3,15.1,44,13,3.94,35.03
IVANHOE AERODROME,27/11/2013,10.4,0.0, ,37.1,15.9,29,8,3.76,35.64
IVANHOE AERODROME,28/11/2013,13.6,0.0, ,41.3,22.7,44,7,6.93,28.88
IVANHOE AERODROME,29/11/2013,7.0,4.6, ,26.9,12.9,99,20,5.59,27.75
IVANHOE AERODROME,30/11/2013,8.8,0.0, ,30.1,9.1,67,12,3.91,37.19
Totals:,,251,4.6, ,,,,,, 
