'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for IVANHOE AERODROME New South Wales for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
IVANHOE AERODROME,01/08/2014,3.5,0.0, ,15.4,6.4,71,32,6.72,12.75
IVANHOE AERODROME,02/08/2014,2.4,0.0, ,14.5,0.2,96,31,3.70,13.50
IVANHOE AERODROME,03/08/2014,2.6,0.0, ,15.4,-2.5,83,21,3.28,13.92
IVANHOE AERODROME,04/08/2014,2.8,0.0, ,18.9,-1.2,79,25,2.94,13.62
IVANHOE AERODROME,05/08/2014,2.9,0.0, ,19.1,0.8,78,28,3.23,13.67
IVANHOE AERODROME,06/08/2014,2.7,0.0, ,19.7,-0.4,78,28,2.69,14.05
IVANHOE AERODROME,07/08/2014,2.5,0.0, ,18.6,0.8,73,34,2.61,14.04
IVANHOE AERODROME,08/08/2014,2.6,0.0, ,19.3,1.5,92,31,2.64,14.33
IVANHOE AERODROME,09/08/2014,3.2,0.0, ,21.4,3.4,77,21,2.89,14.26
IVANHOE AERODROME,10/08/2014,3.7,0.0, ,18.9,9.7,60,31,4.61,13.94
IVANHOE AERODROME,11/08/2014,2.7,0.0, ,14.1,1.2,86,30,4.26,13.84
IVANHOE AERODROME,12/08/2014,2.8,0.0, ,15.4,0.9,82,32,4.26,12.55
IVANHOE AERODROME,13/08/2014,4.0,0.0, ,19.2,4.2,63,30,5.55,14.50
IVANHOE AERODROME,14/08/2014,3.9,0.0, ,21.6,1.6,82,26,4.48,14.57
IVANHOE AERODROME,15/08/2014,2.4,0.0, ,19.1,9.0,81,42,3.33,5.99
IVANHOE AERODROME,16/08/2014,1.4,2.0, ,13.8,11.0,99,69,5.23,4.23
IVANHOE AERODROME,17/08/2014,1.4,16.6, ,14.7,9.6,100,68,5.58,4.31
IVANHOE AERODROME,18/08/2014,2.5,0.2, ,17.2,5.9,96,53,5.53,12.97
IVANHOE AERODROME,19/08/2014,2.2,0.6, ,18.0,7.8,99,55,3.48,13.61
IVANHOE AERODROME,20/08/2014,2.9,0.2, ,20.9,5.5,99,38,3.09,14.94
IVANHOE AERODROME,21/08/2014,3.5,0.2, ,20.5,4.9,96,27,4.03,16.20
IVANHOE AERODROME,22/08/2014,2.9,0.0, ,21.2,5.3,98,42,3.13,15.38
IVANHOE AERODROME,23/08/2014,3.2,0.0, ,23.5,8.1,96,33,2.80,14.95
IVANHOE AERODROME,24/08/2014,3.4,0.0, ,21.4,8.3,82,30,3.24,16.17
IVANHOE AERODROME,25/08/2014,2.9,0.0, ,18.7,4.0,90,40,3.54,16.15
IVANHOE AERODROME,26/08/2014,3.4,0.0, ,21.1,5.9,100,36,4.18,16.27
IVANHOE AERODROME,27/08/2014,3.7,0.0, ,22.6,6.8,98,32,4.02,16.49
IVANHOE AERODROME,28/08/2014,3.7,0.0, ,22.3,6.0,80,30,3.35,17.01
IVANHOE AERODROME,29/08/2014,3.3,0.0, ,23.5,5.7,81,24,2.14,17.25
IVANHOE AERODROME,30/08/2014, ,0.0, , ,6.9,66,22,2.73,17.42
IVANHOE AERODROME,31/08/2014, , , ,25.7, ,61,21,3.85,17.66
Totals:,,85.1,19.8, ,,,,,, 
