'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for IVANHOE AERODROME New South Wales for November 2015,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
IVANHOE AERODROME,01/11/2015,9.1,0.8, ,37.5,22.1,94,20,6.62,20.89
IVANHOE AERODROME,02/11/2015,6.2,4.0, ,31.3,17.5,100,24,2.77,25.75
IVANHOE AERODROME,03/11/2015,4.3,0.2, ,28.6,17.3,71,28,2.63,11.81
IVANHOE AERODROME,04/11/2015,4.5,2.0, ,30.5,19.1,100,50,5.20,13.00
IVANHOE AERODROME,05/11/2015,5.5,20.4, ,28.5,17.6,100,37,4.31,21.81
IVANHOE AERODROME,06/11/2015,3.7,0.0, ,24.7,17.4,82,54,3.76,12.58
IVANHOE AERODROME,07/11/2015,7.4,0.0, ,28.8,14.1,86,21,4.83,29.84
IVANHOE AERODROME,08/11/2015,8.1,0.0, ,30.5,11.6,67,9,4.30,28.80
IVANHOE AERODROME,09/11/2015,7.7,0.0, ,33.0,15.9,63,19,3.41,29.16
IVANHOE AERODROME,10/11/2015,8.7,0.0, ,35.9,19.2,53,17,4.01,27.12
IVANHOE AERODROME,11/11/2015,8.1,0.0, ,35.5,20.5,58,24,3.81,25.89
IVANHOE AERODROME,12/11/2015,5.7,0.0, ,31.3,22.3,98,33,4.55,17.14
IVANHOE AERODROME,13/11/2015,6.9,16.2, ,29.3,19.2,100,29,4.35,29.48
IVANHOE AERODROME,14/11/2015,8.0,0.0, ,26.1,12.8,65,14,5.59,31.55
IVANHOE AERODROME,15/11/2015,7.4,0.0, ,28.7,13.3,61,24,4.32,29.52
IVANHOE AERODROME,16/11/2015,8.5,0.0, ,30.8,16.4,63,15,4.60,31.05
IVANHOE AERODROME,17/11/2015,8.9,0.0, ,35.5,17.7,46,13,3.69,29.80
IVANHOE AERODROME,18/11/2015,11.7,0.0, ,41.0,23.3,27,8,4.88,30.76
IVANHOE AERODROME,19/11/2015,11.7,0.0, ,42.7,24.9,30,7,4.54,30.89
IVANHOE AERODROME,20/11/2015,15.8,0.0, ,43.1,25.4,43,6,8.40,31.35
IVANHOE AERODROME,21/11/2015,8.0,0.0, ,27.3,15.8,56,21,4.99,31.56
IVANHOE AERODROME,22/11/2015,7.8,0.0, ,28.8,14.5,50,16,3.79,32.16
IVANHOE AERODROME,23/11/2015,8.0,0.0, ,28.1,14.8,55,20,4.48,32.20
IVANHOE AERODROME,24/11/2015,7.5,0.0, ,31.8,13.5,47,12,2.58,32.08
IVANHOE AERODROME,25/11/2015,12.2,0.0, ,38.2,15.9,34,6,5.85,31.99
IVANHOE AERODROME,26/11/2015,6.9,0.0, ,24.2,17.6,61,10,6.11,15.71
IVANHOE AERODROME,27/11/2015,7.3,0.0, ,25.5,10.8,41,14,3.90,31.76
IVANHOE AERODROME,28/11/2015,7.2,0.0, ,29.4,12.0,34,15,2.66,32.01
IVANHOE AERODROME,29/11/2015,8.2,0.0, ,31.7,14.1,39,18,3.95,28.70
IVANHOE AERODROME,30/11/2015,9.5,0.0, ,38.2,17.4,45,13,4.38,23.53
Totals:,,240.5,43.6, ,,,,,, 
