'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for IVANHOE AERODROME New South Wales for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
IVANHOE AERODROME,01/04/2016,4.6,0.0, ,28.5,10.8,56,19,2.49,18.32
IVANHOE AERODROME,02/04/2016,7.2,0.0, ,33.3,15.3,40,14,4.18,20.00
IVANHOE AERODROME,03/04/2016,5.5,0.0, ,25.2,13.5,53,21,4.29,19.67
IVANHOE AERODROME,04/04/2016,5.0,0.0, ,28.6,10.0,53,15,2.75,20.15
IVANHOE AERODROME,05/04/2016,6.2,0.0, ,33.4,11.8,36,8,3.10,20.07
IVANHOE AERODROME,06/04/2016,7.1,0.0, ,31.4,15.3,59,11,4.90,18.68
IVANHOE AERODROME,07/04/2016,4.9,0.0, ,23.8,11.6,72,19,4.20,18.73
IVANHOE AERODROME,08/04/2016,3.8,1.0, ,24.1,13.0,82,32,3.10,16.26
IVANHOE AERODROME,09/04/2016,4.1,0.0, ,25.7,9.5,69,26,2.67,18.03
IVANHOE AERODROME,10/04/2016,4.3,0.0, ,26.7,10.4,58,28,2.88,17.13
IVANHOE AERODROME,11/04/2016,4.1,0.0, ,24.4,11.6,75,40,3.99,18.07
IVANHOE AERODROME,12/04/2016,4.9,0.0, ,25.9,11.6,72,25,4.05,18.70
IVANHOE AERODROME,13/04/2016,4.4,0.0, ,26.9,9.3,65,23,2.90,18.65
IVANHOE AERODROME,14/04/2016,4.7,0.0, ,31.8,12.7,50,23,2.65,16.14
IVANHOE AERODROME,15/04/2016,5.5,0.0, ,32.6,17.6,49,21,3.44,14.31
IVANHOE AERODROME,16/04/2016,5.8,0.0, ,32.9,19.0,47,20,3.70,14.49
IVANHOE AERODROME,17/04/2016,4.6,0.0, ,26.4,14.4,71,31,4.27,15.43
IVANHOE AERODROME,18/04/2016,3.8,0.0, ,28.6,11.1,60,25,2.07,17.88
IVANHOE AERODROME,19/04/2016,5.1,0.0, ,30.7,15.2,61,22,3.35,16.70
IVANHOE AERODROME,20/04/2016,5.9,0.0, ,32.3,16.8,51,20,3.91,16.46
IVANHOE AERODROME,21/04/2016,4.6,0.0, ,30.7,20.6,56,24,3.26,8.90
IVANHOE AERODROME,22/04/2016,4.5,0.0, ,25.3,15.4,81,33,4.92,16.76
IVANHOE AERODROME,23/04/2016,4.0,0.0, ,24.0,7.2,75,33,3.95,16.58
IVANHOE AERODROME,24/04/2016,4.5,0.0, ,26.4,9.6,59,25,3.56,16.43
IVANHOE AERODROME,25/04/2016,4.4,0.0, ,27.2,11.2,65,25,3.39,16.25
IVANHOE AERODROME,26/04/2016,4.8,0.0, ,28.7,11.2,53,23,3.54,16.18
IVANHOE AERODROME,27/04/2016,5.3,0.0, ,29.7,13.6,62,26,4.40,14.72
IVANHOE AERODROME,28/04/2016,5.2,0.0, ,29.9,18.4,51,29,4.31,11.38
IVANHOE AERODROME,29/04/2016,2.2,2.0, ,18.9,18.2,99,38,4.03,3.76
IVANHOE AERODROME,30/04/2016,2.2,18.0, ,23.5,16.6,100,71,3.74,11.67
Totals:,,143.2,21, ,,,,,, 
