'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JERVIS BAY (POINT PERPENDICULAR) New South Wales for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JERVIS BAY (POINT PERPENDICULAR),01/09/2009,2.9,0.0, ,16.9,12.1,88,53,3.66,19.17
JERVIS BAY (POINT PERPENDICULAR),02/09/2009,3.0,0.0, ,17.3,8.4,87,49,3.98,18.91
JERVIS BAY (POINT PERPENDICULAR),03/09/2009,1.7,0.0, ,16.6,12.6,92,76,5.75,7.52
JERVIS BAY (POINT PERPENDICULAR),04/09/2009,3.7,2.8, ,21.2,13.1,84,39,4.38,15.94
JERVIS BAY (POINT PERPENDICULAR),05/09/2009,3.1,0.0, ,17.5,10.5,84,44,3.24,20.18
JERVIS BAY (POINT PERPENDICULAR),06/09/2009,3.8,0.0, ,18.3,9.0,81,43,6.03,20.09
JERVIS BAY (POINT PERPENDICULAR),07/09/2009,1.7,1.6, ,15.2,12.3,92,66,3.35,6.53
JERVIS BAY (POINT PERPENDICULAR),08/09/2009,2.9,12.4, ,17.9,11.4,85,50,3.08,17.01
JERVIS BAY (POINT PERPENDICULAR),09/09/2009,2.9,5.2, ,16.5,10.4,73,53,4.29,13.60
JERVIS BAY (POINT PERPENDICULAR),10/09/2009,3.2,0.0, ,17.1,10.8,74,55,3.37,20.73
JERVIS BAY (POINT PERPENDICULAR),11/09/2009,4.0,0.0, ,22.0,9.0,82,46,4.51,21.26
JERVIS BAY (POINT PERPENDICULAR),12/09/2009,5.6,0.0, ,26.3,13.7,68,28,4.78,21.14
JERVIS BAY (POINT PERPENDICULAR),13/09/2009,6.6,0.0, ,29.5,17.5,62,17,4.69,21.61
JERVIS BAY (POINT PERPENDICULAR),14/09/2009,3.3,0.0, ,17.9,14.8,81,32,3.52,13.65
JERVIS BAY (POINT PERPENDICULAR),15/09/2009,3.2,0.0, ,20.4,13.3,93,65,4.24,20.81
JERVIS BAY (POINT PERPENDICULAR),16/09/2009,2.4,0.0, ,21.1,13.6,93,76,3.26,14.81
JERVIS BAY (POINT PERPENDICULAR),17/09/2009,4.1,0.0, ,24.9,14.8,94,47,5.42,16.21
JERVIS BAY (POINT PERPENDICULAR),18/09/2009,3.5,0.0, ,18.6,16.0,84,63,5.40,19.99
JERVIS BAY (POINT PERPENDICULAR),19/09/2009,4.0,0.0, ,20.5,12.3,89,45,4.44,22.07
JERVIS BAY (POINT PERPENDICULAR),20/09/2009,4.2,0.0, ,24.2,14.5,89,37,4.12,16.93
JERVIS BAY (POINT PERPENDICULAR),21/09/2009,3.9,0.0, ,22.1,14.9,90,57,4.28,22.63
JERVIS BAY (POINT PERPENDICULAR),22/09/2009,6.4,1.2, ,29.5,15.9,94,31,7.07,19.77
JERVIS BAY (POINT PERPENDICULAR),23/09/2009,4.2,2.0, ,19.4,14.8,90,40,7.77,16.89
JERVIS BAY (POINT PERPENDICULAR),24/09/2009,5.3,0.0, ,20.5,14.1,58,34,5.40,23.52
JERVIS BAY (POINT PERPENDICULAR),25/09/2009,5.4,0.0, ,22.2,12.3,75,37,6.74,23.86
JERVIS BAY (POINT PERPENDICULAR),26/09/2009,5.3,0.0, ,16.0,13.6,62,34,8.69,24.21
JERVIS BAY (POINT PERPENDICULAR),27/09/2009,4.7,0.0, ,14.1,9.5,58,40,9.28,23.77
JERVIS BAY (POINT PERPENDICULAR),28/09/2009,3.5,0.0, ,15.9,10.5,88,47,5.63,20.77
JERVIS BAY (POINT PERPENDICULAR),29/09/2009,3.5,0.0, ,17.8,9.5,87,56,2.78,24.36
JERVIS BAY (POINT PERPENDICULAR),30/09/2009,4.8,0.0, ,23.1,9.4,90,31,4.16,23.36
Totals:,,116.8,25.2, ,,,,,, 
