'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JERVIS BAY (POINT PERPENDICULAR) New South Wales for November 2010,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 December 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JERVIS BAY (POINT PERPENDICULAR),01/11/2010,3.3,0.0, ,17.6,15.8,97,47,6.52,12.62
JERVIS BAY (POINT PERPENDICULAR),02/11/2010,2.7,64.0, ,16.1,10.0,97,64,6.53,14.93
JERVIS BAY (POINT PERPENDICULAR),03/11/2010,3.4,11.0, ,17.5,10.6,94,66,3.58,23.01
JERVIS BAY (POINT PERPENDICULAR),04/11/2010,2.9,1.6, ,15.1,11.3,93,58,4.64,16.74
JERVIS BAY (POINT PERPENDICULAR),05/11/2010,3.6,27.2, ,17.2,11.5,82,50,3.76,19.36
JERVIS BAY (POINT PERPENDICULAR),06/11/2010,3.8,0.2, ,18.3,13.1,80,55,2.76,22.17
JERVIS BAY (POINT PERPENDICULAR),07/11/2010,4.5,0.0, ,20.9,12.1,93,62,5.49,28.53
JERVIS BAY (POINT PERPENDICULAR),08/11/2010,4.7,0.0, ,24.2,15.9,93,64,6.62,25.07
JERVIS BAY (POINT PERPENDICULAR),09/11/2010,3.8,20.6, ,21.3,15.8,97,70,3.44,22.67
JERVIS BAY (POINT PERPENDICULAR),10/11/2010,4.6,2.2, ,24.3,16.2,98,70,5.64,27.93
JERVIS BAY (POINT PERPENDICULAR),11/11/2010,5.9,0.2, ,25.5,17.8,85,53,4.88,29.91
JERVIS BAY (POINT PERPENDICULAR),12/11/2010,6.8,0.0, ,28.4,17.0,95,46,6.68,31.04
JERVIS BAY (POINT PERPENDICULAR),13/11/2010,5.7,0.0, ,28.1,18.7,97,58,6.71,26.86
JERVIS BAY (POINT PERPENDICULAR),14/11/2010,5.3,0.2, ,28.1,18.7,95,61,5.75,24.78
JERVIS BAY (POINT PERPENDICULAR),15/11/2010,2.0,6.6, ,18.4,17.7,98,87,2.59,11.10
JERVIS BAY (POINT PERPENDICULAR),16/11/2010,3.2,12.0, ,18.6,14.6,99,78,4.78,22.07
JERVIS BAY (POINT PERPENDICULAR),17/11/2010,4.1,1.4, ,20.4,14.5,93,69,4.04,25.80
JERVIS BAY (POINT PERPENDICULAR),18/11/2010,5.2,1.0, ,23.3,14.8,94,64,6.04,31.95
JERVIS BAY (POINT PERPENDICULAR),19/11/2010,3.7,0.0, ,16.8,15.0,82,57,5.93,18.09
JERVIS BAY (POINT PERPENDICULAR),20/11/2010,5.0,0.0, ,20.2,11.5,94,57,4.40,33.02
JERVIS BAY (POINT PERPENDICULAR),21/11/2010,5.7,4.6, ,23.3,13.7,88,55,5.18,32.94
JERVIS BAY (POINT PERPENDICULAR),22/11/2010,5.4,0.0, ,23.1,14.8,93,60,4.92,32.61
JERVIS BAY (POINT PERPENDICULAR),23/11/2010,5.8,0.0, ,24.1,16.1,90,58,7.69,32.59
JERVIS BAY (POINT PERPENDICULAR),24/11/2010,5.4,0.0, ,22.8,16.9,86,69,8.87,32.94
JERVIS BAY (POINT PERPENDICULAR),25/11/2010,5.6,0.0, ,23.7,17.6,89,65,8.43,32.66
JERVIS BAY (POINT PERPENDICULAR),26/11/2010,5.1,0.0, ,24.7,17.5,94,63,5.49,27.66
JERVIS BAY (POINT PERPENDICULAR),27/11/2010,5.1,0.0, ,23.9,17.4,93,71,7.05,31.14
JERVIS BAY (POINT PERPENDICULAR),28/11/2010,2.8,0.2, ,21.1,17.4,96,74,6.92,13.07
JERVIS BAY (POINT PERPENDICULAR),29/11/2010,1.5,32.0, ,16.5,14.1,99,97,7.33,13.32
JERVIS BAY (POINT PERPENDICULAR),30/11/2010,2.3,51.0, ,19.7,13.1,99,96,4.48,17.40
Totals:,,128.9,236, ,,,,,, 
