'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JERVIS BAY (POINT PERPENDICULAR) New South Wales for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JERVIS BAY (POINT PERPENDICULAR),01/05/2017,2.8,0.2, ,23.4,13.3,100,53,4.33,13.13
JERVIS BAY (POINT PERPENDICULAR),02/05/2017,2.0,0.0, ,20.3,16.0,94,57,3.43,6.75
JERVIS BAY (POINT PERPENDICULAR),03/05/2017,2.7,0.0, ,17.0,14.3,80,59,5.95,12.78
JERVIS BAY (POINT PERPENDICULAR),04/05/2017,1.7,0.8, ,19.2,12.7,94,66,2.26,11.51
JERVIS BAY (POINT PERPENDICULAR),05/05/2017,2.1,0.0, ,20.5,12.3,99,63,3.45,13.15
JERVIS BAY (POINT PERPENDICULAR),06/05/2017,2.4,0.0, ,23.5,13.5,98,55,3.85,8.81
JERVIS BAY (POINT PERPENDICULAR),07/05/2017,2.5,0.0, ,18.1,14.0,81,42,3.18,12.84
JERVIS BAY (POINT PERPENDICULAR),08/05/2017,2.0,0.0, ,16.9,10.0,80,55,2.98,12.77
JERVIS BAY (POINT PERPENDICULAR),09/05/2017,2.2,0.0, ,17.9,12.8,82,60,3.91,12.69
JERVIS BAY (POINT PERPENDICULAR),10/05/2017,1.9,0.0, ,17.9,13.8,91,58,2.85,12.58
JERVIS BAY (POINT PERPENDICULAR),11/05/2017,1.6,0.0, ,18.1,12.4,97,67,2.63,12.00
JERVIS BAY (POINT PERPENDICULAR),12/05/2017,1.3,0.0, ,18.8,13.9,100,76,1.96,8.88
JERVIS BAY (POINT PERPENDICULAR),13/05/2017,1.8,0.0, ,20.9,14.1,100,68,3.16,11.87
JERVIS BAY (POINT PERPENDICULAR),14/05/2017,1.4,8.2, ,18.6,14.1,100,74,3.46,9.30
JERVIS BAY (POINT PERPENDICULAR),15/05/2017,1.9,29.8, ,18.1,13.6,100,66,6.65,9.41
JERVIS BAY (POINT PERPENDICULAR),16/05/2017,2.3,0.2, ,17.8,13.6,89,53,4.52,11.97
JERVIS BAY (POINT PERPENDICULAR),17/05/2017,1.5,0.0, ,18.7,10.6,99,64,2.11,11.85
JERVIS BAY (POINT PERPENDICULAR),18/05/2017,1.3,0.0, ,20.8,13.4,100,76,2.27,9.05
JERVIS BAY (POINT PERPENDICULAR),19/05/2017, ,0.0, , ,15.5,100,76,5.88,3.51
JERVIS BAY (POINT PERPENDICULAR),20/05/2017, , , ,19.0, ,100,75,3.75,8.32
JERVIS BAY (POINT PERPENDICULAR),21/05/2017,1.3,0.0, ,19.6,13.1,100,77,2.10,10.34
JERVIS BAY (POINT PERPENDICULAR),22/05/2017,1.3,0.2, ,19.5,11.8,100,80,2.54,11.21
JERVIS BAY (POINT PERPENDICULAR),23/05/2017,2.0,0.0, ,22.4,13.3,100,57,3.23,11.36
JERVIS BAY (POINT PERPENDICULAR),24/05/2017,2.0,2.8, ,20.9,13.9,99,46,2.93,11.19
JERVIS BAY (POINT PERPENDICULAR),25/05/2017,1.8,0.0, ,19.5,11.2,89,50,2.42,11.22
JERVIS BAY (POINT PERPENDICULAR),26/05/2017,1.4,0.0, ,18.4,11.3,94,68,2.07,11.15
JERVIS BAY (POINT PERPENDICULAR),27/05/2017,1.2,0.0, ,19.2,12.3,100,77,2.45,11.05
JERVIS BAY (POINT PERPENDICULAR),28/05/2017,2.1,0.0, ,21.6,12.4,100,47,3.57,8.28
JERVIS BAY (POINT PERPENDICULAR),29/05/2017,2.1,0.0, ,16.6,11.0,71,42,2.98,10.97
JERVIS BAY (POINT PERPENDICULAR),30/05/2017,1.5,0.0, ,16.6,8.4,100,47,2.55,10.90
JERVIS BAY (POINT PERPENDICULAR),31/05/2017,2.4,0.4, ,14.7,10.6,92,49,8.35,9.72
Totals:,,54.5,42.6, ,,,,,, 
