'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KEMPSEY AIRPORT New South Wales for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KEMPSEY AIRPORT,01/02/2010,5.6,8.6, ,28.9,19.1,93,40,3.35,23.89
KEMPSEY AIRPORT,02/02/2010,5.2,2.6, ,28.0,18.7,93,55,4.35,23.13
KEMPSEY AIRPORT,03/02/2010,5.1,13.6, ,29.2,20.3,94,61,3.21,23.96
KEMPSEY AIRPORT,04/02/2010,4.1,11.0, ,28.6,21.0,94,72,2.25,19.78
KEMPSEY AIRPORT,05/02/2010,5.8,20.8, ,31.4,20.0,95,53,2.76,27.18
KEMPSEY AIRPORT,06/02/2010,2.9,0.2, ,25.1,20.0,94,83,1.76,14.57
KEMPSEY AIRPORT,07/02/2010,4.2,29.6, ,28.3,21.6,94,68,3.02,19.33
KEMPSEY AIRPORT,08/02/2010,5.0,18.2, ,28.3,19.3,95,60,2.48,25.36
KEMPSEY AIRPORT,09/02/2010,4.3,11.0, ,27.0,19.4,94,64,1.83,21.83
KEMPSEY AIRPORT,10/02/2010,5.9,7.6, ,29.1,19.9,94,45,2.45,29.07
KEMPSEY AIRPORT,11/02/2010,6.1,0.2, ,29.0,17.5,96,45,2.43,31.36
KEMPSEY AIRPORT,12/02/2010,6.5,0.0, ,34.2,16.9,95,40,2.07,30.20
KEMPSEY AIRPORT,13/02/2010,5.5,0.0, ,31.0,19.8,94,59,2.15,26.73
KEMPSEY AIRPORT,14/02/2010,6.1,0.0, ,33.3,20.8,94,45,2.04,28.06
KEMPSEY AIRPORT,15/02/2010,3.7,0.0, ,31.7,22.1,94,60,1.21,16.36
KEMPSEY AIRPORT,16/02/2010,5.7,13.8, ,30.4,18.9,94,52,3.02,26.81
KEMPSEY AIRPORT,17/02/2010,5.0,0.2, ,27.7,17.6,93,61,3.87,25.47
KEMPSEY AIRPORT,18/02/2010,5.7,0.0, ,27.0,15.9,92,46,4.65,27.10
KEMPSEY AIRPORT,19/02/2010,4.5,0.0, ,26.4,17.7,92,61,3.63,21.93
KEMPSEY AIRPORT,20/02/2010,4.8,2.6, ,27.4,19.0,94,47,2.27,23.69
KEMPSEY AIRPORT,21/02/2010,5.9,0.2, ,30.6,17.2,95,49,2.53,29.18
KEMPSEY AIRPORT,22/02/2010,5.3,0.0, ,31.0,17.1,95,52,1.75,26.69
KEMPSEY AIRPORT,23/02/2010,6.7,0.0, ,35.7,17.7,95,39,3.68,24.53
KEMPSEY AIRPORT,24/02/2010,4.1,9.2, ,25.7,19.9,85,53,3.22,17.31
KEMPSEY AIRPORT,25/02/2010,4.7,0.0, ,26.0,19.7,88,55,3.30,22.18
KEMPSEY AIRPORT,26/02/2010,4.3,0.4, ,26.5,16.8,93,55,2.60,21.03
KEMPSEY AIRPORT,27/02/2010,4.9,7.4, ,28.7,18.5,95,52,2.09,24.83
KEMPSEY AIRPORT,28/02/2010,4.6,1.0, ,30.0,17.5,95,54,2.05,22.01
Totals:,,142.2,158.2, ,,,,,, 
