'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KEMPSEY AIRPORT New South Wales for June 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KEMPSEY AIRPORT,01/06/2013,1.5,0.0, ,21.1,9.2,95,57,1.39,10.98
KEMPSEY AIRPORT,02/06/2013,2.3,1.0, ,21.8,13.1,95,51,4.36,4.32
KEMPSEY AIRPORT,03/06/2013,2.8,1.4, ,19.4,12.8,92,49,6.16,12.25
KEMPSEY AIRPORT,04/06/2013,2.3,0.0, ,21.1,5.7,92,52,3.67,12.43
KEMPSEY AIRPORT,05/06/2013,1.7,0.0, ,20.7,8.1,94,51,1.76,10.40
KEMPSEY AIRPORT,06/06/2013,1.8,0.0, ,22.8,10.3,94,46,1.78,9.76
KEMPSEY AIRPORT,07/06/2013,1.3,0.2, ,22.3,12.5,95,61,1.27,5.82
KEMPSEY AIRPORT,08/06/2013,1.7,0.0, ,21.1,11.0,94,64,2.58,11.00
KEMPSEY AIRPORT,09/06/2013,1.7,0.0, ,21.7,10.0,95,55,1.71,11.76
KEMPSEY AIRPORT,10/06/2013,1.4,0.0, ,20.6,10.3,94,63,1.91,7.53
KEMPSEY AIRPORT,11/06/2013,1.6,2.2, ,22.0,8.0,95,62,1.66,12.51
KEMPSEY AIRPORT,12/06/2013,1.6,0.0, ,23.2,11.4,95,65,1.91,9.87
KEMPSEY AIRPORT,13/06/2013,2.4,8.2, ,23.6,10.5,95,37,2.52,11.36
KEMPSEY AIRPORT,14/06/2013,2.0,0.0, ,20.3,8.4,94,36,2.08,12.56
KEMPSEY AIRPORT,15/06/2013,2.0,0.0, ,20.5,3.4,95,45,2.51,12.44
KEMPSEY AIRPORT,16/06/2013,1.7,0.0, ,19.4,4.7,93,48,1.98,12.95
KEMPSEY AIRPORT,17/06/2013,2.1,0.0, ,19.6,3.7,92,34,2.36,13.80
KEMPSEY AIRPORT,18/06/2013,2.1,0.0, ,19.1,2.7,93,39,2.77,13.53
KEMPSEY AIRPORT,19/06/2013,2.3,0.2, ,18.0,2.4,94,50,4.62,12.52
KEMPSEY AIRPORT,20/06/2013,1.8,0.0, ,17.1,7.9,92,53,3.11,10.35
KEMPSEY AIRPORT,21/06/2013,1.6,0.0, ,18.4,7.1,95,50,2.10,11.05
KEMPSEY AIRPORT,22/06/2013,2.0,0.2, ,18.4,5.4,94,47,3.00,13.58
KEMPSEY AIRPORT,23/06/2013,1.8,0.0, ,18.9,4.5,94,55,2.66,12.79
KEMPSEY AIRPORT,24/06/2013,1.7,0.0, ,19.2,6.5,95,53,2.35,10.54
KEMPSEY AIRPORT,25/06/2013,1.7,0.8, ,16.6,0.9,96,46,2.39,12.82
KEMPSEY AIRPORT,26/06/2013,1.8,0.0, ,19.8,3.2,94,65,4.15,10.37
KEMPSEY AIRPORT,27/06/2013,1.4,29.6, ,19.4,11.3,94,59,1.79,7.29
KEMPSEY AIRPORT,28/06/2013, ,3.8, ,16.2,11.6,95,84,1.61, 
KEMPSEY AIRPORT,29/06/2013,1.5,5.2, ,19.9,10.8,95,59,1.87,8.60
KEMPSEY AIRPORT,30/06/2013,1.4,11.4, ,17.5,10.0,94,70,2.91,8.32
Totals:,,53,64.2, ,,,,,, 
