'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KEMPSEY AIRPORT New South Wales for August 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 September 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KEMPSEY AIRPORT,01/08/2016,2.8,0.0, ,23.0,3.6,94,37,2.73,14.55
KEMPSEY AIRPORT,02/08/2016,2.4,0.0, ,22.2,3.5,95,36,2.35,8.36
KEMPSEY AIRPORT,03/08/2016,1.0,37.0, ,14.0,10.3,93,85,7.41,1.54
KEMPSEY AIRPORT,04/08/2016,2.4,93.0, ,16.6,11.0,89,62,6.32,12.42
KEMPSEY AIRPORT,05/08/2016,2.5,2.8, ,18.3,9.5,87,52,4.10,11.69
KEMPSEY AIRPORT,06/08/2016,2.3,0.0, ,19.4,6.0,94,46,2.42,14.29
KEMPSEY AIRPORT,07/08/2016,2.0,0.0, ,19.1,5.5,94,54,2.17,13.55
KEMPSEY AIRPORT,08/08/2016,2.3,0.2, ,20.5,7.6,95,36,1.96,12.79
KEMPSEY AIRPORT,09/08/2016,2.6,0.0, ,21.3,4.2,94,36,2.35,14.99
KEMPSEY AIRPORT,10/08/2016,2.6,0.2, ,24.6,5.3,94,37,1.70,14.86
KEMPSEY AIRPORT,11/08/2016,2.8,0.2, ,23.2,9.5,93,43,3.13,11.28
KEMPSEY AIRPORT,12/08/2016,2.5,0.2, ,19.9,3.2,93,38,2.21,15.89
KEMPSEY AIRPORT,13/08/2016,3.0,0.0, ,20.9,5.0,92,25,2.59,16.04
KEMPSEY AIRPORT,14/08/2016,2.9,0.0, ,21.0,4.3,90,30,2.50,16.17
KEMPSEY AIRPORT,15/08/2016,2.6,0.0, ,21.2,7.9,87,48,2.67,13.83
KEMPSEY AIRPORT,16/08/2016,2.8,0.0, ,22.3,6.8,94,38,2.22,16.40
KEMPSEY AIRPORT,17/08/2016,2.7,0.0, ,22.4,3.1,94,35,1.78,16.53
KEMPSEY AIRPORT,18/08/2016,3.0,0.0, ,22.8,4.4,94,31,2.30,16.67
KEMPSEY AIRPORT,19/08/2016,3.2,0.0, ,23.8,3.5,95,37,2.64,16.33
KEMPSEY AIRPORT,20/08/2016,3.9,0.2, ,24.7,6.0,93,14,3.03,13.76
KEMPSEY AIRPORT,21/08/2016,2.8,0.0, ,19.1,0.4,93,24,2.21,17.12
KEMPSEY AIRPORT,22/08/2016,2.6,0.0, ,22.0,2.8,92,46,2.48,12.78
KEMPSEY AIRPORT,23/08/2016,1.5,3.8, ,18.3,8.4,94,75,1.98,9.23
KEMPSEY AIRPORT,24/08/2016,0.9,19.0, ,14.4,11.3,93,89,2.16,3.21
KEMPSEY AIRPORT,25/08/2016,2.4,10.6, ,19.5,6.7,94,42,2.13,12.96
KEMPSEY AIRPORT,26/08/2016,3.0,0.4, ,17.5,2.9,94,31,3.02,17.85
KEMPSEY AIRPORT,27/08/2016,2.9,0.2, ,19.9,5.0,92,45,3.36,15.75
KEMPSEY AIRPORT,28/08/2016,3.4,0.0, ,22.0,5.3,92,28,2.52,18.15
KEMPSEY AIRPORT,29/08/2016,2.9,0.0, ,21.8,6.2,92,45,2.28,16.54
KEMPSEY AIRPORT,30/08/2016,2.8,0.0, ,23.2,8.2,94,50,2.30,15.13
KEMPSEY AIRPORT,31/08/2016,1.8,0.0, ,21.1,9.0,94,56,1.15,9.20
Totals:,,79.3,167.8, ,,,,,, 
