'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KIAMA (BOMBO HEADLAND) New South Wales for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KIAMA (BOMBO HEADLAND),01/01/2010,6.5,0.0, ,31.9,21.4,100,50,5.15,26.51
KIAMA (BOMBO HEADLAND),02/01/2010,3.6,0.8, ,25.4,21.5,100,88,3.40,20.22
KIAMA (BOMBO HEADLAND),03/01/2010,2.9,28.0, ,19.9,17.6,100,73,6.33,15.88
KIAMA (BOMBO HEADLAND),04/01/2010,3.1,0.2, ,22.9,17.0,99,75,4.97,16.72
KIAMA (BOMBO HEADLAND),05/01/2010,4.9,0.2, ,24.4,18.5,99,72,6.16,30.16
KIAMA (BOMBO HEADLAND),06/01/2010,3.9,13.6, ,21.8,19.8,96,78,6.83,24.73
KIAMA (BOMBO HEADLAND),07/01/2010,4.0,0.0, ,23.3,19.2,89,64,4.08,18.77
KIAMA (BOMBO HEADLAND),08/01/2010,4.6,0.0, ,25.3,19.0,94,73,4.08,25.14
KIAMA (BOMBO HEADLAND),09/01/2010,6.8,0.0, ,28.9,19.3,96,50,4.47,33.11
KIAMA (BOMBO HEADLAND),10/01/2010,6.5,0.0, ,26.3,22.3,92,58,5.95,33.38
KIAMA (BOMBO HEADLAND),11/01/2010,4.9,0.0, ,25.0,20.2,95,74,5.59,28.69
KIAMA (BOMBO HEADLAND),12/01/2010,5.0,0.0, ,26.2,21.9,98,83,6.74,31.49
KIAMA (BOMBO HEADLAND),13/01/2010,3.9,0.0, ,23.6,22.8,100,69,8.06,20.07
KIAMA (BOMBO HEADLAND),14/01/2010,3.0,14.4, ,21.2,16.8,100,79,6.48,18.22
KIAMA (BOMBO HEADLAND),15/01/2010,3.2,0.2, ,23.6,17.4,95,84,3.30,18.17
KIAMA (BOMBO HEADLAND),16/01/2010,3.7,0.0, ,24.5,20.4,99,83,4.40,21.35
KIAMA (BOMBO HEADLAND),17/01/2010,3.2,9.4, ,21.9,18.2,99,75,6.58,17.82
KIAMA (BOMBO HEADLAND),18/01/2010,6.0,0.0, ,22.8,14.7,95,31,5.75,28.40
KIAMA (BOMBO HEADLAND),19/01/2010,6.3,0.0, ,23.1,13.1,76,36,4.19,33.38
KIAMA (BOMBO HEADLAND),20/01/2010,6.1,0.0, ,25.6,14.7,88,49,3.25,33.13
KIAMA (BOMBO HEADLAND),21/01/2010,5.6,0.0, ,26.0,18.9,99,74,2.75,32.77
KIAMA (BOMBO HEADLAND),22/01/2010,6.3,0.0, ,32.9,19.9,100,68,3.99,30.63
KIAMA (BOMBO HEADLAND),23/01/2010,9.6,0.2, ,35.2,20.7,99,26,9.12,24.62
KIAMA (BOMBO HEADLAND),24/01/2010,3.1,0.0, ,22.6,17.3,99,72,3.80,16.35
KIAMA (BOMBO HEADLAND),25/01/2010,3.3,0.0, ,25.8,18.5,100,78,2.55,16.86
KIAMA (BOMBO HEADLAND),26/01/2010,5.2,0.2, ,27.8,21.0,100,83,2.87,29.17
KIAMA (BOMBO HEADLAND),27/01/2010,4.1,0.0, ,23.6,21.0,100,71,6.31,22.90
KIAMA (BOMBO HEADLAND),28/01/2010,4.0,1.6, ,26.2,20.9,100,81,3.29,22.17
KIAMA (BOMBO HEADLAND),29/01/2010,4.6,0.2, ,25.3,19.3,99,75,8.02,28.45
KIAMA (BOMBO HEADLAND),30/01/2010,3.5,0.0, ,24.6,19.2,100,79,6.74,20.10
KIAMA (BOMBO HEADLAND),31/01/2010,4.2,0.0, ,27.4,20.1,100,79,5.72,23.90
Totals:,,145.6,69, ,,,,,, 
