'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KIAMA (BOMBO HEADLAND) New South Wales for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KIAMA (BOMBO HEADLAND),01/02/2016,2.7,0.0, ,23.0,18.8,92,61,2.62,10.03
KIAMA (BOMBO HEADLAND),02/02/2016,5.3,13.8, ,25.0,16.9,81,63,3.56,29.07
KIAMA (BOMBO HEADLAND),03/02/2016,5.4,0.0, ,27.4,17.4,92,61,5.37,26.86
KIAMA (BOMBO HEADLAND),04/02/2016,4.4,6.2, ,23.2,18.2,94,59,11.18,17.43
KIAMA (BOMBO HEADLAND),05/02/2016,5.9,0.2, ,23.2,18.9,78,55,9.06,27.43
KIAMA (BOMBO HEADLAND),06/02/2016,5.2,0.0, ,24.2,20.6,78,62,5.89,24.05
KIAMA (BOMBO HEADLAND),07/02/2016,5.1,0.0, ,25.6,19.5,84,63,2.80,27.14
KIAMA (BOMBO HEADLAND),08/02/2016,5.3,0.0, ,26.2,18.4,88,63,2.32,28.90
KIAMA (BOMBO HEADLAND),09/02/2016,5.1,0.0, ,24.1,20.6,86,60,4.79,25.35
KIAMA (BOMBO HEADLAND),10/02/2016,5.7,0.0, ,27.1,18.1,90,55,5.06,28.11
KIAMA (BOMBO HEADLAND),11/02/2016,4.6,0.0, ,27.4,19.2,87,66,2.88,22.87
KIAMA (BOMBO HEADLAND),12/02/2016,5.1,0.0, ,27.9,20.5,90,68,3.15,26.43
KIAMA (BOMBO HEADLAND),13/02/2016,5.2,0.0, ,26.8,20.5,89,68,4.89,27.20
KIAMA (BOMBO HEADLAND),14/02/2016,4.9,0.0, ,26.2,21.2,87,63,5.37,22.71
KIAMA (BOMBO HEADLAND),15/02/2016,3.9,0.0, ,24.5,21.2,89,74,3.94,19.80
KIAMA (BOMBO HEADLAND),16/02/2016,4.1,0.0, ,23.6,20.2,91,42,6.28,10.17
KIAMA (BOMBO HEADLAND),17/02/2016,5.2,2.4, ,23.1,16.2,81,48,5.24,24.28
KIAMA (BOMBO HEADLAND),18/02/2016,4.8,0.0, ,25.7,16.6,80,56,2.66,24.75
KIAMA (BOMBO HEADLAND),19/02/2016,5.5,0.0, ,27.9,21.6,85,60,4.05,26.32
KIAMA (BOMBO HEADLAND),20/02/2016,3.0,0.0, ,24.6,22.1,90,77,6.38,11.97
KIAMA (BOMBO HEADLAND),21/02/2016,3.3,1.4, ,24.9,20.1,88,76,3.20,16.20
KIAMA (BOMBO HEADLAND),22/02/2016,5.0,0.0, ,27.4,20.6,85,69,3.94,25.49
KIAMA (BOMBO HEADLAND),23/02/2016,5.0,0.0, ,27.4,20.2,86,66,4.36,24.86
KIAMA (BOMBO HEADLAND),24/02/2016,4.6,0.0, ,26.9,21.3,88,72,5.45,22.74
KIAMA (BOMBO HEADLAND),25/02/2016,5.1,0.0, ,28.7,20.7,93,63,3.48,25.74
KIAMA (BOMBO HEADLAND),26/02/2016,3.3,0.0, ,25.0,22.7,88,70,6.07,11.64
KIAMA (BOMBO HEADLAND),27/02/2016,2.4,1.2, ,24.1,21.1,92,78,1.97,11.23
KIAMA (BOMBO HEADLAND),28/02/2016,4.5,0.4, ,26.9,19.0,92,62,2.04,24.48
KIAMA (BOMBO HEADLAND),29/02/2016,2.9,0.0, ,23.1,20.3,86,73,3.51,12.24
Totals:,,132.5,25.6, ,,,,,, 
