'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LISMORE AIRPORT New South Wales for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LISMORE AIRPORT,01/12/2013,4.8,3.4, ,23.6,14.3,95,54,4.10,25.31
LISMORE AIRPORT,02/12/2013,5.5,0.2, ,25.2,14.0,95,47,2.83,30.28
LISMORE AIRPORT,03/12/2013,5.7,0.0, ,25.7,12.7,99,55,2.73,33.34
LISMORE AIRPORT,04/12/2013,7.0,0.0, ,29.8,12.6,99,52,4.19,35.87
LISMORE AIRPORT,05/12/2013,7.2,0.0, ,33.4,16.8,95,32,5.70,20.89
LISMORE AIRPORT,06/12/2013,7.6,0.0, ,27.2,12.9,90,27,3.81,37.19
LISMORE AIRPORT,07/12/2013,7.2,0.0, ,28.5,10.1,97,35,3.66,36.11
LISMORE AIRPORT,08/12/2013,6.7,0.0, ,28.6,11.9,99,49,3.68,35.55
LISMORE AIRPORT,09/12/2013,7.5,0.0, ,32.1,14.1,99,42,3.71,34.78
LISMORE AIRPORT,10/12/2013,5.4,0.0, ,31.1,15.4,97,49,2.69,24.46
LISMORE AIRPORT,11/12/2013,5.5,0.0, ,34.0,20.7,97,47,4.34,17.03
LISMORE AIRPORT,12/12/2013,2.6,24.6, ,26.9,18.6,99,71,1.43,11.41
LISMORE AIRPORT,13/12/2013,6.0,0.0, ,29.2,18.5,99,59,2.38,31.35
LISMORE AIRPORT,14/12/2013,6.7,0.0, ,30.1,16.6,99,55,4.28,33.87
LISMORE AIRPORT,15/12/2013,5.7,0.2, ,29.5,17.1,99,58,2.71,28.64
LISMORE AIRPORT,16/12/2013,3.7,0.4, ,27.2,20.1,97,64,1.90,17.15
LISMORE AIRPORT,17/12/2013,5.9,0.8, ,27.4,16.9,99,55,2.55,32.18
LISMORE AIRPORT,18/12/2013,6.0,0.2, ,27.2,13.5,99,45,2.13,32.96
LISMORE AIRPORT,19/12/2013,6.3,0.0, ,27.2,13.4,99,46,2.37,34.85
LISMORE AIRPORT,20/12/2013,7.3,0.0, ,29.9,12.7,99,48,3.75,37.47
LISMORE AIRPORT,21/12/2013,7.9,0.0, ,31.8,14.0,99,43,3.97,37.19
LISMORE AIRPORT,22/12/2013,8.1,0.0, ,31.8,14.9,99,42,4.28,37.36
LISMORE AIRPORT,23/12/2013,7.7,0.0, ,32.4,13.3,99,43,3.42,36.60
LISMORE AIRPORT,24/12/2013,6.9,0.0, ,30.3,15.4,99,54,3.93,35.24
LISMORE AIRPORT,25/12/2013,4.7,0.0, ,28.7,20.2,98,60,2.54,21.74
LISMORE AIRPORT,26/12/2013,5.0,0.0, ,31.2,19.4,99,46,2.14,21.74
LISMORE AIRPORT,27/12/2013,3.8,0.0, ,27.0,21.7,94,68,3.04,16.87
LISMORE AIRPORT,28/12/2013,5.6,0.2, ,29.5,18.5,99,56,2.66,27.56
LISMORE AIRPORT,29/12/2013,9.7,0.0, ,39.5,18.6,99,27,4.96,31.32
LISMORE AIRPORT,30/12/2013,4.1,11.4, ,26.0,18.7,93,62,3.03,18.69
LISMORE AIRPORT,31/12/2013,3.9,0.2, ,26.5,20.2,97,67,2.04,18.66
Totals:,,187.7,41.6, ,,,,,, 
