'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGROVE MOUNTAIN New South Wales for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGROVE MOUNTAIN,01/02/2009,6.2,0.0, ,29.5,17.5,97,54,3.71,30.82
MANGROVE MOUNTAIN,02/02/2009,6.5,0.0, ,30.2,20.5,93,49,4.02,29.96
MANGROVE MOUNTAIN,03/02/2009,5.3,0.0, ,29.7,16.7,95,55,2.88,25.44
MANGROVE MOUNTAIN,04/02/2009,4.9,0.0, ,28.9,20.0,97,64,3.08,23.91
MANGROVE MOUNTAIN,05/02/2009,7.1,0.0, ,34.8,18.9,97,42,3.05,30.81
MANGROVE MOUNTAIN,06/02/2009,7.9,0.0, ,36.9,19.7,93,23,2.93,30.66
MANGROVE MOUNTAIN,07/02/2009,9.0,0.0, ,38.1,21.0,73,18,3.72,30.66
MANGROVE MOUNTAIN,08/02/2009,7.9,0.0, ,36.1,18.5,89,30,3.35,31.23
MANGROVE MOUNTAIN,09/02/2009,2.9,0.0, ,23.0,20.0,97,79,3.42,15.16
MANGROVE MOUNTAIN,10/02/2009,1.7,5.2, ,18.8,17.0,98,96,3.05,9.87
MANGROVE MOUNTAIN,11/02/2009,2.4,23.4, ,20.2,14.0,98,70,3.17,11.98
MANGROVE MOUNTAIN,12/02/2009,2.6,4.0, ,18.8,13.7,98,78,2.88,15.87
MANGROVE MOUNTAIN,13/02/2009,2.4,16.2, ,19.1,14.0,98,79,3.46,13.62
MANGROVE MOUNTAIN,14/02/2009,1.6,16.0, ,17.8,15.0,98,79,3.52,7.03
MANGROVE MOUNTAIN,15/02/2009,1.6,42.6, ,18.5,14.3,99,96,3.67,10.21
MANGROVE MOUNTAIN,16/02/2009,3.4,62.2, ,21.1,16.0,98,66,4.36,18.39
MANGROVE MOUNTAIN,17/02/2009, ,6.0, ,19.3,15.4,98,83,3.47, 
MANGROVE MOUNTAIN,18/02/2009, ,18.2, ,24.0,16.3,99,68,3.06, 
MANGROVE MOUNTAIN,19/02/2009,5.1,0.0, ,29.1,16.6,97,49,2.27,25.39
MANGROVE MOUNTAIN,20/02/2009,5.7,0.0, ,30.3,18.3,96,46,2.40,27.54
MANGROVE MOUNTAIN,21/02/2009,2.9,1.4, ,25.0,18.8,97,71,2.75,13.40
MANGROVE MOUNTAIN,22/02/2009,3.7,3.6, ,24.7,17.1,98,69,2.70,19.61
MANGROVE MOUNTAIN,23/02/2009,5.5,0.0, ,30.2,15.8,97,45,2.35,27.42
MANGROVE MOUNTAIN,24/02/2009,5.9,7.6, ,31.8,18.3,96,41,2.98,25.98
MANGROVE MOUNTAIN,25/02/2009,4.3,0.0, ,27.2,18.9,94,60,2.18,21.54
MANGROVE MOUNTAIN,26/02/2009,3.7,0.0, ,23.3,17.2,90,63,2.74,19.52
MANGROVE MOUNTAIN,27/02/2009,4.2,0.0, ,23.3,13.6,96,56,2.29,24.34
MANGROVE MOUNTAIN,28/02/2009,5.9,0.0, ,31.4,13.6,93,37,3.07,25.99
Totals:,,120.3,206.4, ,,,,,, 
