'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGROVE MOUNTAIN New South Wales for October 2011,,,,,,,,,,
Issued at 22:34 GMT on Tuesday 01 November 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGROVE MOUNTAIN,01/10/2011,2.5,0.0, ,18.3,7.2,98,43,1.79,13.50
MANGROVE MOUNTAIN,02/10/2011,1.4,12.2, ,12.8,8.0,99,76,2.70,7.75
MANGROVE MOUNTAIN,03/10/2011,2.5,28.6, ,16.2,7.6,96,59,1.75,16.57
MANGROVE MOUNTAIN,04/10/2011,2.0,0.2, ,15.4,7.2,95,66,1.36,12.21
MANGROVE MOUNTAIN,05/10/2011,2.7,0.0, ,17.3,5.5,99,53,1.14,19.26
MANGROVE MOUNTAIN,06/10/2011,1.4,0.0, ,15.3,10.3,96,76,0.67,7.34
MANGROVE MOUNTAIN,07/10/2011,2.9,3.6, ,21.6,11.3,100,56,1.23,17.18
MANGROVE MOUNTAIN,08/10/2011,2.2,21.6, ,20.1,13.0,100,65,1.12,11.88
MANGROVE MOUNTAIN,09/10/2011,3.5,7.4, ,21.1,11.6,100,42,2.70,18.53
MANGROVE MOUNTAIN,10/10/2011,3.6,0.0, ,21.6,6.8,96,32,1.44,21.87
MANGROVE MOUNTAIN,11/10/2011,4.1,0.0, ,20.9,7.6,90,34,1.96,25.24
MANGROVE MOUNTAIN,12/10/2011,3.7,0.0, ,19.7,6.5,98,45,1.41,25.39
MANGROVE MOUNTAIN,13/10/2011,2.9,0.0, ,19.0,10.3,93,65,2.08,17.77
MANGROVE MOUNTAIN,14/10/2011,1.5,0.0, ,16.6,12.3,92,79,2.10,6.33
MANGROVE MOUNTAIN,15/10/2011, , , ,24.9, ,96,54,1.32,19.00
MANGROVE MOUNTAIN,16/10/2011,4.9,0.0, ,25.2,12.8,97,36,1.97,27.39
MANGROVE MOUNTAIN,17/10/2011,3.2,0.0, ,18.2,9.5,96,52,1.80,19.91
MANGROVE MOUNTAIN,18/10/2011,3.5,0.2, ,20.1,8.4,93,50,1.44,22.70
MANGROVE MOUNTAIN,19/10/2011,4.4,0.0, ,22.6,7.1,99,38,1.81,28.07
MANGROVE MOUNTAIN,20/10/2011,5.2,0.0, ,26.7,7.8,99,25,2.01,28.26
MANGROVE MOUNTAIN,21/10/2011,5.6,0.0, ,28.8,13.2,87,23,2.05,27.86
MANGROVE MOUNTAIN,22/10/2011,4.9,0.0, ,27.3,13.3,98,37,1.93,25.51
MANGROVE MOUNTAIN,23/10/2011,4.6,0.0, ,27.6,13.4,99,40,1.49,24.31
MANGROVE MOUNTAIN,24/10/2011,6.0,0.0, ,29.8,15.5,91,32,2.62,27.89
MANGROVE MOUNTAIN,25/10/2011,2.5,0.4, ,23.8,18.6,99,48,2.74,7.18
MANGROVE MOUNTAIN,26/10/2011,1.5,12.4, ,15.0,10.9,99,76,2.26,7.49
MANGROVE MOUNTAIN,27/10/2011,2.0,4.4, ,17.0,10.7,100,72,1.70,11.14
MANGROVE MOUNTAIN,28/10/2011,3.4,0.4, ,22.3,10.9,97,66,1.96,20.14
MANGROVE MOUNTAIN,29/10/2011,3.3,0.0, ,26.2,14.5,95,64,2.02,16.01
MANGROVE MOUNTAIN,30/10/2011,3.5,0.0, ,24.6,16.8,95,35,1.53,15.39
MANGROVE MOUNTAIN,31/10/2011,3.7,5.8, ,19.6,9.7,95,57,1.85,24.00
Totals:,,99.1,97.2, ,,,,,, 
