'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGROVE MOUNTAIN New South Wales for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGROVE MOUNTAIN,01/09/2013,2.9,0.0, ,22.0,7.1,96,46,1.51,20.18
MANGROVE MOUNTAIN,02/09/2013,3.0,0.0, ,22.2,8.0,100,42,1.14,21.23
MANGROVE MOUNTAIN,03/09/2013,3.1,0.0, ,22.0,7.6,100,49,1.55,21.59
MANGROVE MOUNTAIN,04/09/2013,3.3,0.0, ,22.4,7.8,100,41,1.60,22.04
MANGROVE MOUNTAIN,05/09/2013,3.6,0.0, ,26.0,9.9,95,33,1.82,20.97
MANGROVE MOUNTAIN,06/09/2013,3.6,0.0, ,25.7,12.7,88,44,1.96,20.80
MANGROVE MOUNTAIN,07/09/2013,4.3,0.0, ,28.7,13.8,96,23,2.10,21.66
MANGROVE MOUNTAIN,08/09/2013,1.9,0.0, ,19.9,13.6,97,76,1.38,11.15
MANGROVE MOUNTAIN,09/09/2013,3.0,0.0, ,23.1,13.3,98,44,1.59,17.60
MANGROVE MOUNTAIN,10/09/2013,6.8,0.0, ,29.5,18.2,52,18,4.35,23.38
MANGROVE MOUNTAIN,11/09/2013,4.2,0.0, ,23.7,7.2,74,20,2.55,21.83
MANGROVE MOUNTAIN,12/09/2013,3.8,0.0, ,22.0,6.8,79,32,2.18,22.87
MANGROVE MOUNTAIN,13/09/2013,2.5,0.0, ,16.0,6.0,88,58,2.14,18.55
MANGROVE MOUNTAIN,14/09/2013,3.0,5.4, ,22.5,11.0,98,58,2.50,17.68
MANGROVE MOUNTAIN,15/09/2013,2.6,0.4, ,19.0,9.3,99,65,1.60,18.39
MANGROVE MOUNTAIN,16/09/2013,1.3,0.0, ,16.4,9.1,99,80,2.44,6.57
MANGROVE MOUNTAIN,17/09/2013,3.5,18.6, ,21.3,12.8,99,55,3.12,21.52
MANGROVE MOUNTAIN,18/09/2013,4.8,1.2, ,22.4,12.2,84,35,4.04,25.10
MANGROVE MOUNTAIN,19/09/2013,4.9,0.0, ,20.9,11.9,61,28,2.82,26.65
MANGROVE MOUNTAIN,20/09/2013,4.3,0.0, ,20.7,9.1,75,25,3.52,21.17
MANGROVE MOUNTAIN,21/09/2013,4.0,1.2, ,20.8,5.3,88,36,1.70,26.55
MANGROVE MOUNTAIN,22/09/2013,4.3,0.0, ,23.7,6.4,95,23,1.70,26.11
MANGROVE MOUNTAIN,23/09/2013,5.2,0.2, ,29.3,9.9,86,18,1.77,26.79
MANGROVE MOUNTAIN,24/09/2013,4.9,0.0, ,29.5,13.8,49,17,2.48,16.60
MANGROVE MOUNTAIN,25/09/2013,5.4,0.0, ,30.9,11.4,70,20,1.80,26.60
MANGROVE MOUNTAIN,26/09/2013,7.6,0.0, ,31.0,13.5,61,16,4.31,27.25
MANGROVE MOUNTAIN,27/09/2013,5.2,0.0, ,23.6,6.5,86,16,2.46,28.53
MANGROVE MOUNTAIN,28/09/2013,6.8,0.0, ,28.0,7.8,93,12,3.97,28.45
MANGROVE MOUNTAIN,29/09/2013,5.0,0.0, ,23.7,8.2,84,23,2.30,28.19
MANGROVE MOUNTAIN,30/09/2013,5.5,0.0, ,29.2,9.0,94,17,1.88,28.20
Totals:,,124.3,27, ,,,,,, 
