'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGROVE MOUNTAIN New South Wales for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGROVE MOUNTAIN,01/02/2014,5.9,0.0, ,30.5,18.0,96,49,2.28,28.71
MANGROVE MOUNTAIN,02/02/2014,5.3,0.0, ,28.9,16.9,99,46,2.89,24.85
MANGROVE MOUNTAIN,03/02/2014,6.5,0.0, ,29.9,16.6,92,33,3.07,30.08
MANGROVE MOUNTAIN,04/02/2014,3.2,0.0, ,26.8,16.1,99,50,3.04,10.31
MANGROVE MOUNTAIN,05/02/2014,3.1,9.2, ,21.4,15.2,86,57,2.69,13.74
MANGROVE MOUNTAIN,06/02/2014,3.2,0.0, ,21.9,13.8,92,52,1.38,16.69
MANGROVE MOUNTAIN,07/02/2014,5.2,0.0, ,27.3,10.9,99,45,2.00,28.36
MANGROVE MOUNTAIN,08/02/2014,6.0,0.0, ,30.6,13.9,95,36,2.37,29.23
MANGROVE MOUNTAIN,09/02/2014,6.0,0.2, ,32.5,15.1,100,29,1.99,28.00
MANGROVE MOUNTAIN,10/02/2014,2.9,0.0, ,26.3,17.1,99,64,2.68,11.77
MANGROVE MOUNTAIN,11/02/2014,3.5,3.0, ,28.3,17.3,100,61,1.90,16.18
MANGROVE MOUNTAIN,12/02/2014,3.9,0.0, ,28.0,18.2,96,59,1.98,17.85
MANGROVE MOUNTAIN,13/02/2014,4.4,0.2, ,28.8,16.8,98,54,2.53,20.50
MANGROVE MOUNTAIN,14/02/2014,1.6,2.2, ,23.7,18.0,98,71,1.50,5.44
MANGROVE MOUNTAIN,15/02/2014,1.7,2.2, ,24.8,18.9,100,80,1.73,6.83
MANGROVE MOUNTAIN,16/02/2014,1.3,4.4, ,23.3,19.8,100,72,2.06,3.16
MANGROVE MOUNTAIN,17/02/2014,3.5,33.8, ,23.8,16.7,100,56,1.95,17.74
MANGROVE MOUNTAIN,18/02/2014,1.5,0.2, ,22.3,15.8,99,83,0.86,6.35
MANGROVE MOUNTAIN,19/02/2014,2.3,1.8, ,28.3,17.1,100,66,1.72,8.31
MANGROVE MOUNTAIN,20/02/2014,5.4,37.2, ,29.5,18.6,97,37,2.17,25.97
MANGROVE MOUNTAIN,21/02/2014,5.0,0.0, ,25.6,16.1,92,37,1.86,27.09
MANGROVE MOUNTAIN,22/02/2014,3.7,0.0, ,24.1,13.5,96,53,1.78,19.98
MANGROVE MOUNTAIN,23/02/2014,2.8,0.0, ,23.5,15.8,91,53,1.55,12.53
MANGROVE MOUNTAIN,24/02/2014,4.2,0.4, ,26.0,16.4,97,60,1.70,22.71
MANGROVE MOUNTAIN,25/02/2014,4.4,0.0, ,27.7,14.6,100,52,2.38,21.84
MANGROVE MOUNTAIN,26/02/2014,4.7,0.0, ,32.1,16.3,94,33,2.08,18.57
MANGROVE MOUNTAIN,27/02/2014,1.4,0.2, ,22.8,17.3,100,83,2.42,5.17
MANGROVE MOUNTAIN,28/02/2014,0.7,24.4, ,19.3,16.4,100,99,2.24,2.63
Totals:,,103.3,119.4, ,,,,,, 
