'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGROVE MOUNTAIN New South Wales for February 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 March 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGROVE MOUNTAIN,01/02/2017,1.5,4.4, ,23.5,19.0,100,92,1.29,6.31
MANGROVE MOUNTAIN,02/02/2017,4.2,2.2, ,26.5,19.5,100,62,2.26,21.14
MANGROVE MOUNTAIN,03/02/2017,1.4,0.8, ,23.1,19.5,100,88,1.36,5.65
MANGROVE MOUNTAIN,04/02/2017,4.2,0.4, ,34.4,20.5,100,55,1.64,17.32
MANGROVE MOUNTAIN,05/02/2017,6.8,0.8, ,38.4,22.5,75,31,2.36,24.23
MANGROVE MOUNTAIN,06/02/2017,7.4,0.2, ,37.7,23.5,99,23,2.46,28.35
MANGROVE MOUNTAIN,07/02/2017,0.9,2.8, ,23.3,21.4,100,93,1.74,3.03
MANGROVE MOUNTAIN,08/02/2017,2.7,14.2, ,24.8,19.2,100,83,2.89,13.89
MANGROVE MOUNTAIN,09/02/2017,5.9,8.0, ,32.1,19.3,100,46,2.15,28.04
MANGROVE MOUNTAIN,10/02/2017,7.3,0.2, ,41.9,20.7,94,23,1.81,28.18
MANGROVE MOUNTAIN,11/02/2017,7.2,0.0, ,44.4,21.8,96,20,2.02,24.14
MANGROVE MOUNTAIN,12/02/2017,5.9,0.0, ,36.8,22.4,97,41,2.29,22.92
MANGROVE MOUNTAIN,13/02/2017,5.1,0.0, ,28.6,16.1,98,40,1.50,26.31
MANGROVE MOUNTAIN,14/02/2017,3.2,0.0, ,25.6,15.4,98,63,2.18,14.95
MANGROVE MOUNTAIN,15/02/2017,3.8,6.8, ,25.6,16.6,98,62,1.57,20.10
MANGROVE MOUNTAIN,16/02/2017,6.1,0.0, ,35.0,15.9,99,32,2.25,25.36
MANGROVE MOUNTAIN,17/02/2017,5.9,0.0, ,37.6,19.2,94,30,2.97,17.59
MANGROVE MOUNTAIN,18/02/2017,4.9,8.4, ,33.4,19.8,100,45,3.06,17.28
MANGROVE MOUNTAIN,19/02/2017,2.7,4.4, ,24.2,16.9,100,68,1.77,13.03
MANGROVE MOUNTAIN,20/02/2017,5.5,7.2, ,27.5,11.4,100,21,2.61,26.60
MANGROVE MOUNTAIN,21/02/2017,4.5,0.0, ,26.2,12.6,92,48,2.47,22.95
MANGROVE MOUNTAIN,22/02/2017,5.4,0.0, ,28.8,17.1,88,50,3.09,26.25
MANGROVE MOUNTAIN,23/02/2017,5.3,0.0, ,31.6,15.0,97,38,1.74,26.08
MANGROVE MOUNTAIN,24/02/2017,4.5,0.0, ,27.8,15.9,99,53,2.02,22.95
MANGROVE MOUNTAIN,25/02/2017,1.0,1.4, ,19.1,18.4,100,96,1.97,4.24
MANGROVE MOUNTAIN,26/02/2017,3.3,10.4, ,23.4,16.4,100,58,2.04,16.94
MANGROVE MOUNTAIN,27/02/2017,3.9,7.6, ,24.9,15.6,100,54,2.18,20.33
MANGROVE MOUNTAIN,28/02/2017,3.0,23.2, ,24.6,17.5,100,74,1.88,16.29
Totals:,,123.5,103.4, ,,,,,, 
