'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERIMBULA AIRPORT New South Wales for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERIMBULA AIRPORT,01/12/2009,4.8,0.2, ,20.0,12.0,85,48,4.78,27.02
MERIMBULA AIRPORT,02/12/2009,5.6,0.4, ,21.0,13.0,73,43,2.95,32.36
MERIMBULA AIRPORT,03/12/2009,5.3,0.0, ,23.0,10.0,95,56,4.12,33.17
MERIMBULA AIRPORT,04/12/2009,6.4,0.0, ,23.0,16.0,80,24,3.72,32.12
MERIMBULA AIRPORT,05/12/2009,5.1,0.0, ,22.0,14.0,85,54,2.52,29.93
MERIMBULA AIRPORT,06/12/2009,5.8,0.0, ,24.0,14.0,89,56,3.30,33.77
MERIMBULA AIRPORT,07/12/2009,5.3,0.0, ,23.0,15.0,94,64,3.60,32.50
MERIMBULA AIRPORT,08/12/2009,4.6,0.0, ,25.0,16.0,93,46,3.47,20.28
MERIMBULA AIRPORT,09/12/2009,5.1,5.0, ,21.0,12.0,94,45,2.63,31.13
MERIMBULA AIRPORT,10/12/2009,4.9,0.4, ,25.0,15.0,90,43,2.05,25.00
MERIMBULA AIRPORT,11/12/2009,7.4,0.0, ,25.0,12.0,72,26,5.32,34.23
MERIMBULA AIRPORT,12/12/2009,5.6,0.0, ,23.0,9.0,94,42,2.61,34.10
MERIMBULA AIRPORT,13/12/2009,5.4,0.0, ,23.0,11.0,92,54,2.40,33.52
MERIMBULA AIRPORT,14/12/2009,4.0,0.0, ,21.0,16.0,71,55,2.79,18.60
MERIMBULA AIRPORT,15/12/2009,5.4,0.0, ,24.0,11.0,93,63,3.82,33.70
MERIMBULA AIRPORT,16/12/2009,6.1,0.0, ,27.0,20.0,92,66,3.79,33.17
MERIMBULA AIRPORT,17/12/2009,9.3,0.0, ,42.0,18.0,95,10,3.21,28.88
MERIMBULA AIRPORT,18/12/2009,4.7,5.0, ,22.0,15.0,95,40,3.75,22.46
MERIMBULA AIRPORT,19/12/2009,5.7,0.0, ,25.0,11.0,94,46,3.27,31.39
MERIMBULA AIRPORT,20/12/2009,5.2,0.0, ,24.0,15.0,74,55,3.21,26.62
MERIMBULA AIRPORT,21/12/2009,5.6,0.0, ,25.0,16.0,91,59,3.08,31.58
MERIMBULA AIRPORT,22/12/2009,5.2,0.0, ,26.0,18.0,90,62,2.41,27.85
MERIMBULA AIRPORT,23/12/2009,5.5,0.0, ,25.0,17.0,92,63,2.65,31.08
MERIMBULA AIRPORT,24/12/2009,4.5,0.0, ,30.0,17.0,95,48,2.91,17.22
MERIMBULA AIRPORT,25/12/2009,2.7,0.2, ,18.0,18.0,91,64,3.57,11.28
MERIMBULA AIRPORT,26/12/2009,2.7,5.0, ,21.0,13.0,91,71,2.28,13.89
MERIMBULA AIRPORT,27/12/2009,4.2,0.2, ,23.0,15.0,92,60,1.65,23.08
MERIMBULA AIRPORT,28/12/2009,5.4,0.0, ,25.0,18.0,89,61,1.91,29.64
MERIMBULA AIRPORT,29/12/2009,5.6,0.0, ,24.0,13.0,96,64,1.62,34.63
MERIMBULA AIRPORT,30/12/2009,5.6,0.0, ,25.0,12.0,96,56,3.45,32.81
MERIMBULA AIRPORT,31/12/2009,5.6,0.0, ,28.0,13.0,96,59,3.46,30.05
Totals:,,164.3,16.4, ,,,,,, 
