'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERIMBULA AIRPORT New South Wales for February 2012,,,,,,,,,,
Issued at 22:33 GMT on Thursday 01 March 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERIMBULA AIRPORT,01/02/2012,2.9,0.0, ,20.7,14.9,79,53,2.50,10.52
MERIMBULA AIRPORT,02/02/2012,2.2,0.0, ,20.9,13.3,90,58,1.29,9.23
MERIMBULA AIRPORT,03/02/2012,2.1,0.8, ,20.8,15.3,95,65,2.14,8.42
MERIMBULA AIRPORT,04/02/2012,4.7,2.6, ,25.9,15.4,96,60,1.95,26.71
MERIMBULA AIRPORT,05/02/2012,5.0,0.0, ,26.0,14.0,97,62,4.09,28.29
MERIMBULA AIRPORT,06/02/2012,3.7,0.0, ,23.1,18.4,72,52,3.76,11.42
MERIMBULA AIRPORT,07/02/2012,4.0,0.0, ,23.3,12.9,89,47,2.37,20.70
MERIMBULA AIRPORT,08/02/2012,2.4,0.0, ,21.8,15.3,90,54,2.41,7.82
MERIMBULA AIRPORT,09/02/2012,2.2,8.2, ,22.1,15.1,95,73,3.40,9.31
MERIMBULA AIRPORT,10/02/2012,1.7,58.6, ,20.3,16.4,96,81,4.12,6.73
MERIMBULA AIRPORT,11/02/2012,3.1,17.0, ,22.3,12.5,97,71,1.78,18.02
MERIMBULA AIRPORT,12/02/2012,3.6,10.2, ,23.5,12.7,96,60,2.07,20.21
MERIMBULA AIRPORT,13/02/2012,3.2,10.6, ,23.1,13.2,97,62,1.24,17.96
MERIMBULA AIRPORT,14/02/2012,3.2,0.0, ,22.8,15.9,94,64,1.89,17.02
MERIMBULA AIRPORT,15/02/2012,4.5,0.0, ,24.5,13.3,97,63,3.44,26.40
MERIMBULA AIRPORT,16/02/2012,3.6,0.0, ,25.7,13.7,97,63,1.63,19.19
MERIMBULA AIRPORT,17/02/2012,2.2,1.8, ,24.8,15.9,96,70,1.91,9.40
MERIMBULA AIRPORT,18/02/2012,3.2,30.4, ,23.8,14.7,97,72,1.43,18.42
MERIMBULA AIRPORT,19/02/2012,2.0,1.2, ,23.8,15.8,97,78,1.93,8.79
MERIMBULA AIRPORT,20/02/2012,3.1,11.8, ,24.7,13.1,97,63,1.27,16.50
MERIMBULA AIRPORT,21/02/2012,2.9,0.0, ,22.3,16.4,93,66,2.87,14.22
MERIMBULA AIRPORT,22/02/2012, ,2.0, , ,15.2,92,57,2.07,20.80
MERIMBULA AIRPORT,23/02/2012, , , ,27.3, ,96,50,1.21,23.89
MERIMBULA AIRPORT,24/02/2012,4.2,0.2, ,26.4,14.4,96,71,1.33,25.33
MERIMBULA AIRPORT,25/02/2012,4.9,0.0, ,27.8,14.9,97,55,2.67,26.14
MERIMBULA AIRPORT,26/02/2012,2.8,0.4, ,27.1,16.0,97,68,1.34,14.03
MERIMBULA AIRPORT,27/02/2012,2.9,0.0, ,29.3,19.9,94,62,2.06,11.01
MERIMBULA AIRPORT,28/02/2012,1.1,7.4, ,22.5,19.2,96,81,1.20,2.79
MERIMBULA AIRPORT,29/02/2012,1.3,26.4, ,19.2,16.3,96,73,1.73,3.98
Totals:,,82.7,189.6, ,,,,,, 
