'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERIMBULA AIRPORT New South Wales for July 2013,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERIMBULA AIRPORT,01/07/2013,1.1,0.2, ,20.3,4.3,98,39,1.12,9.92
MERIMBULA AIRPORT,02/07/2013,1.6,0.0, ,20.4,5.3,97,38,2.02,10.40
MERIMBULA AIRPORT,03/07/2013,1.1,0.0, ,17.3,4.7,96,49,1.51,10.76
MERIMBULA AIRPORT,04/07/2013,1.7,0.2, ,19.3,-0.1,96,33,2.18,11.00
MERIMBULA AIRPORT,05/07/2013,2.6,0.2, ,17.0,5.6,87,26,4.53,10.96
MERIMBULA AIRPORT,06/07/2013,1.7,0.0, ,18.7,0.0,93,31,2.15,10.85
MERIMBULA AIRPORT,07/07/2013,1.2,0.0, ,16.5,2.4,95,51,1.83,10.26
MERIMBULA AIRPORT,08/07/2013,1.4,0.2, ,16.3,2.0,96,39,2.26,10.95
MERIMBULA AIRPORT,09/07/2013,1.3,0.0, ,15.1,2.5,94,50,2.54,10.72
MERIMBULA AIRPORT,10/07/2013,0.9,0.0, ,15.5,2.9,97,63,1.32,7.86
MERIMBULA AIRPORT,11/07/2013,0.8,0.2, ,15.3,1.3,99,60,0.94,10.91
MERIMBULA AIRPORT,12/07/2013,0.9,0.0, ,16.6,3.8,98,45,0.93,11.05
MERIMBULA AIRPORT,13/07/2013,0.8,0.0, ,17.0,3.4,97,58,0.75,10.96
MERIMBULA AIRPORT,14/07/2013,0.5,0.2, ,14.8,3.8,98,69,0.08,4.07
MERIMBULA AIRPORT,15/07/2013,0.6,3.6, ,16.2,7.5,98,79,0.20,6.22
MERIMBULA AIRPORT,16/07/2013,0.8,0.6, ,18.1,7.3,97,73,0.57,9.42
MERIMBULA AIRPORT,17/07/2013,0.9,0.0, ,18.9,9.3,97,69,0.55,9.93
MERIMBULA AIRPORT,18/07/2013,1.2,0.0, ,20.2,6.9,99,66,1.61,9.32
MERIMBULA AIRPORT,19/07/2013,1.9,0.0, ,20.7,11.8,86,59,3.50,7.11
MERIMBULA AIRPORT,20/07/2013,1.6,0.0, ,16.9,5.4,92,48,2.81,8.43
MERIMBULA AIRPORT,21/07/2013,2.3,5.2, ,16.6,0.1,96,28,3.52,12.53
MERIMBULA AIRPORT,22/07/2013,2.1,0.0, ,17.5,-0.4,94,27,2.70,12.66
MERIMBULA AIRPORT,23/07/2013,2.0,0.0, ,15.8,3.5,90,50,4.46,10.07
MERIMBULA AIRPORT,24/07/2013,2.0,0.0, ,17.2,6.6,92,42,3.31,12.64
MERIMBULA AIRPORT,25/07/2013,1.1,0.0, ,14.5,2.0,95,60,1.59,12.77
MERIMBULA AIRPORT,26/07/2013,1.4,0.2, ,16.4,0.8,96,43,1.54,12.95
MERIMBULA AIRPORT,27/07/2013,1.3,0.0, ,17.2,1.8,95,58,1.83,12.96
MERIMBULA AIRPORT,28/07/2013,0.9,0.0, ,14.4,2.6,96,50,0.71,7.80
MERIMBULA AIRPORT,29/07/2013,1.3,0.0, ,20.9,4.5,96,49,1.02,8.57
MERIMBULA AIRPORT,30/07/2013,1.7,0.0, ,19.6,7.7,94,50,2.14,11.53
MERIMBULA AIRPORT,31/07/2013,1.4,0.8, ,15.6,3.8,95,54,2.19,12.33
Totals:,,42.1,11.6, ,,,,,, 
