'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERIMBULA AIRPORT New South Wales for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERIMBULA AIRPORT,01/05/2016,4.3,0.2, ,26.7,11.6,96,21,4.41,13.83
MERIMBULA AIRPORT,02/05/2016,2.3,0.0, ,19.6,5.3,91,37,2.39,14.69
MERIMBULA AIRPORT,03/05/2016,3.0,0.0, ,24.6,3.4,96,29,2.72,14.53
MERIMBULA AIRPORT,04/05/2016,1.6,0.0, ,18.4,10.8,85,54,1.63,9.54
MERIMBULA AIRPORT,05/05/2016,1.8,0.2, ,19.6,7.6,94,42,1.67,14.29
MERIMBULA AIRPORT,06/05/2016,1.8,0.0, ,24.2,6.2,95,44,1.22,14.02
MERIMBULA AIRPORT,07/05/2016,1.5,0.0, ,21.5,6.7,96,55,1.00,13.99
MERIMBULA AIRPORT,08/05/2016,0.9,0.2, ,17.8,12.5,93,80,1.65,3.52
MERIMBULA AIRPORT,09/05/2016,1.7,11.0, ,22.1,15.0,95,46,2.20,4.08
MERIMBULA AIRPORT,10/05/2016,3.3,1.0, ,25.6,13.1,94,33,4.09,9.46
MERIMBULA AIRPORT,11/05/2016,2.9,0.6, ,21.0,7.2,85,30,3.50,13.37
MERIMBULA AIRPORT,12/05/2016,3.3,0.0, ,26.3,9.1,90,30,3.29,12.80
MERIMBULA AIRPORT,13/05/2016,1.3,0.0, ,19.8,11.4,95,61,1.45,9.45
MERIMBULA AIRPORT,14/05/2016,2.3,0.0, ,23.5,8.2,91,34,2.21,13.31
MERIMBULA AIRPORT,15/05/2016,3.1,0.0, ,27.2,8.2,89,21,2.59,13.02
MERIMBULA AIRPORT,16/05/2016,1.7,0.0, ,22.0,6.8,95,52,1.98,9.54
MERIMBULA AIRPORT,17/05/2016,2.8,0.4, ,25.8,10.6,92,16,2.46,10.98
MERIMBULA AIRPORT,18/05/2016,1.2,0.0, ,17.9,7.7,92,52,1.34,5.93
MERIMBULA AIRPORT,19/05/2016,2.7,0.0, ,23.4,5.7,94,34,3.25,10.21
MERIMBULA AIRPORT,20/05/2016, ,0.0, , ,12.8,88,37,2.40,10.60
MERIMBULA AIRPORT,21/05/2016, , , ,18.7, ,95,54,1.93,9.77
MERIMBULA AIRPORT,22/05/2016,1.1,0.0, ,21.3,7.3,97,58,0.84,10.19
MERIMBULA AIRPORT,23/05/2016,2.4,0.0, ,22.4,9.1,95,24,2.59,8.81
MERIMBULA AIRPORT,24/05/2016,2.6,0.2, ,18.7,5.0,92,38,4.64,9.68
MERIMBULA AIRPORT,25/05/2016,1.3,0.0, ,17.3,4.5,92,46,1.74,8.59
MERIMBULA AIRPORT,26/05/2016,0.9,2.4, ,13.6,10.1,95,66,1.51,2.50
MERIMBULA AIRPORT,27/05/2016,2.8,6.4, ,15.0,9.7,66,47,6.43,5.71
MERIMBULA AIRPORT,28/05/2016,1.4,5.4, ,13.8,8.5,90,55,3.36,3.18
MERIMBULA AIRPORT,29/05/2016,2.0,7.4, ,16.9,4.4,94,41,3.77,9.61
MERIMBULA AIRPORT,30/05/2016,1.7,0.0, ,17.8,8.5,93,50,3.29,9.99
MERIMBULA AIRPORT,31/05/2016,1.1,1.4, ,17.9,7.5,95,56,1.57,7.33
Totals:,,60.8,36.8, ,,,,,, 
