'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERIMBULA AIRPORT New South Wales for June 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERIMBULA AIRPORT,01/06/2016,1.0,0.0, ,17.5,4.7,96,50,1.14,8.49
MERIMBULA AIRPORT,02/06/2016,1.0,7.2, ,17.1,10.0,95,63,1.49,8.51
MERIMBULA AIRPORT,03/06/2016,0.8,3.0, ,16.9,7.9,97,82,2.73,4.68
MERIMBULA AIRPORT,04/06/2016,0.8,15.2, ,17.7,12.7,95,86,3.86,2.62
MERIMBULA AIRPORT,05/06/2016,1.2,104.8, ,19.2,15.5,97,80,6.04,1.87
MERIMBULA AIRPORT,06/06/2016,1.1,91.2, ,14.4,13.1,97,68,3.76,3.40
MERIMBULA AIRPORT,07/06/2016,0.9,7.2, ,17.2,7.0,95,50,0.98,8.29
MERIMBULA AIRPORT,08/06/2016,1.3,0.2, ,21.1,8.7,93,48,1.49,8.60
MERIMBULA AIRPORT,09/06/2016,2.2,0.0, ,21.6,8.8,93,33,3.07,9.66
MERIMBULA AIRPORT,10/06/2016,1.0,0.0, ,17.2,7.1,94,62,1.71,9.64
MERIMBULA AIRPORT,11/06/2016,2.0,0.0, ,18.0,4.4,94,37,3.25,7.58
MERIMBULA AIRPORT,12/06/2016,1.5,0.6, ,16.3,5.6,95,40,2.70,9.58
MERIMBULA AIRPORT,13/06/2016,0.9,0.0, ,15.6,2.1,97,53,1.20,9.58
MERIMBULA AIRPORT,14/06/2016,1.0,0.2, ,17.0,1.6,97,51,1.52,9.27
MERIMBULA AIRPORT,15/06/2016,0.8,0.2, ,16.1,2.5,96,61,1.30,9.56
MERIMBULA AIRPORT,16/06/2016,0.7,0.0, ,14.9,2.1,98,52,0.67,8.97
MERIMBULA AIRPORT,17/06/2016,0.8,0.2, ,20.2,3.6,97,58,0.62,7.21
MERIMBULA AIRPORT,18/06/2016,0.6,0.2, ,16.3,7.2,95,74,0.66,5.00
MERIMBULA AIRPORT,19/06/2016,0.7,0.0, ,16.2,6.4,97,76,1.05,4.84
MERIMBULA AIRPORT,20/06/2016,2.3,34.4, ,20.5,9.3,98,53,5.93,8.21
MERIMBULA AIRPORT,21/06/2016,3.6,0.2, ,20.4,13.1,57,34,5.38,9.55
MERIMBULA AIRPORT,22/06/2016,1.9,0.0, ,19.8,5.3,93,34,2.69,9.56
MERIMBULA AIRPORT,23/06/2016,1.6,0.0, ,16.4,3.8,92,41,2.62,4.90
MERIMBULA AIRPORT,24/06/2016,1.4,0.0, ,13.3,5.4,91,52,3.60,6.63
MERIMBULA AIRPORT,25/06/2016,2.0,1.8, ,13.3,5.5,76,44,4.60,9.46
MERIMBULA AIRPORT,26/06/2016,1.3,0.0, ,16.0,6.2,93,48,2.41,9.20
MERIMBULA AIRPORT,27/06/2016,0.9,0.0, ,13.3,4.6,94,52,1.32,7.04
MERIMBULA AIRPORT,28/06/2016,1.3,0.0, ,17.3,2.5,96,42,1.98,9.66
MERIMBULA AIRPORT,29/06/2016,1.3,0.0, ,18.8,4.5,96,43,1.78,9.69
MERIMBULA AIRPORT,30/06/2016,1.3,0.0, ,14.3,2.7,96,41,2.23,3.56
Totals:,,39.2,266.6, ,,,,,, 
