'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERRIWA (ROSCOMMON) New South Wales for March 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERRIWA (ROSCOMMON),01/03/2010,2.5,0.0, ,19.9,17.4,98,70,6.13,11.57
MERRIWA (ROSCOMMON),02/03/2010,3.8,0.0, ,21.5,13.6,95,57,7.99,16.03
MERRIWA (ROSCOMMON),03/03/2010,5.2,0.0, ,25.9,14.3,92,53,7.70,23.05
MERRIWA (ROSCOMMON),04/03/2010,5.9,0.2, ,28.9,17.2,93,46,5.62,25.01
MERRIWA (ROSCOMMON),05/03/2010,3.1,0.2, ,19.5,17.5,100,28,2.92,12.00
MERRIWA (ROSCOMMON),06/03/2010,4.9,36.4, ,30.0,17.6,100,26,1.86,22.90
MERRIWA (ROSCOMMON),07/03/2010,4.5,0.2, ,28.4,19.1,100,25,2.78,16.26
MERRIWA (ROSCOMMON),08/03/2010,4.9,2.6, ,28.1,17.8,100,29,3.93,17.22
MERRIWA (ROSCOMMON),09/03/2010,5.4,1.0, ,26.9,13.4,91,46,4.06,27.03
MERRIWA (ROSCOMMON),10/03/2010,5.2,0.0, ,26.0,12.4,99,46,4.41,26.82
MERRIWA (ROSCOMMON),11/03/2010,4.7,0.0, ,22.9,15.6,87,53,7.42,21.23
MERRIWA (ROSCOMMON),12/03/2010,5.3,0.0, ,24.5,11.8,92,44,7.04,23.96
MERRIWA (ROSCOMMON),13/03/2010,3.8,0.0, ,22.7,14.2,99,59,4.51,21.11
MERRIWA (ROSCOMMON),14/03/2010,3.8,0.0, ,23.5,14.7,98,57,4.98,19.08
MERRIWA (ROSCOMMON),15/03/2010,4.1,0.2, ,25.9,14.4,100,49,1.99,22.59
MERRIWA (ROSCOMMON),16/03/2010,5.0,0.0, ,27.0,10.4,99,33,2.82,25.79
MERRIWA (ROSCOMMON),17/03/2010,5.3,0.0, ,27.9,6.9,100,21,2.39,26.65
MERRIWA (ROSCOMMON),18/03/2010,5.2,0.0, ,29.1,7.1,100,22,2.10,26.39
MERRIWA (ROSCOMMON),19/03/2010,5.2,0.0, ,30.1,8.4,100,29,2.42,25.40
MERRIWA (ROSCOMMON),20/03/2010,5.5,0.0, ,32.5,10.6,97,25,2.34,25.22
MERRIWA (ROSCOMMON),21/03/2010,5.7,0.0, ,32.2,10.9,96,26,2.99,23.44
MERRIWA (ROSCOMMON),22/03/2010,5.3,0.0, ,30.0,16.1,96,35,3.25,23.31
MERRIWA (ROSCOMMON),23/03/2010,4.7,0.0, ,29.9,15.9,95,32,2.12,23.00
MERRIWA (ROSCOMMON),24/03/2010,5.4,0.0, ,30.2,9.0,96,31,3.11,24.54
MERRIWA (ROSCOMMON),25/03/2010,5.2,0.0, ,30.7,15.3,99,32,2.83,23.62
MERRIWA (ROSCOMMON),26/03/2010,4.9,0.0, ,32.1,12.2,99,30,2.20,23.06
MERRIWA (ROSCOMMON),27/03/2010,5.6,0.0, ,33.9,14.1,93,24,2.78,22.44
MERRIWA (ROSCOMMON),28/03/2010,4.3,0.0, ,31.7,17.9,100,36,2.26,18.23
MERRIWA (ROSCOMMON),29/03/2010,4.0,1.8, ,29.9,16.4,93,48,3.14,15.44
MERRIWA (ROSCOMMON),30/03/2010,2.3,16.0, ,18.2,16.7,100,30,2.25,7.94
MERRIWA (ROSCOMMON),31/03/2010,2.6,23.2, ,18.6,16.1,100,32,2.38,11.21
Totals:,,143.3,81.8, ,,,,,, 
