'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERRIWA (ROSCOMMON) New South Wales for October 2010,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 November 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERRIWA (ROSCOMMON),01/10/2010,3.1,0.0, ,19.4,2.5,91,51,2.50,19.85
MERRIWA (ROSCOMMON),02/10/2010,3.3,0.0, ,20.0,10.2,97,47,3.84,16.35
MERRIWA (ROSCOMMON),03/10/2010,1.4,4.8, ,15.8,11.7,98,91,4.76,9.87
MERRIWA (ROSCOMMON),04/10/2010,2.7,9.8, ,20.3,13.1,98,71,5.06,14.48
MERRIWA (ROSCOMMON),05/10/2010,3.6,0.0, ,23.5,13.8,98,59,3.56,18.46
MERRIWA (ROSCOMMON),06/10/2010,4.1,0.0, ,24.1,13.0,98,53,3.32,21.65
MERRIWA (ROSCOMMON),07/10/2010,3.3,0.0, ,21.7,10.2,98,48,3.26,15.72
MERRIWA (ROSCOMMON),08/10/2010,2.3,0.0, ,19.1,8.9,94,70,3.99,11.55
MERRIWA (ROSCOMMON),09/10/2010,3.7,0.0, ,21.0,12.5,88,58,4.94,19.21
MERRIWA (ROSCOMMON),10/10/2010,4.0,0.0, ,19.4,7.2,98,43,6.97,18.70
MERRIWA (ROSCOMMON),11/10/2010,4.6,0.0, ,22.3,13.2,88,50,6.78,21.05
MERRIWA (ROSCOMMON),12/10/2010,4.6,0.0, ,25.3,7.4,98,41,2.50,25.20
MERRIWA (ROSCOMMON),13/10/2010,3.3,0.0, ,24.3,9.9,98,50,2.07,16.50
MERRIWA (ROSCOMMON),14/10/2010,3.8,0.6, ,25.1,13.2,96,58,2.71,19.70
MERRIWA (ROSCOMMON),15/10/2010,2.5,1.8, ,21.4,13.4,98,69,6.49,9.31
MERRIWA (ROSCOMMON),16/10/2010,3.3,12.8, ,11.8,4.0,91,44,8.32,22.83
MERRIWA (ROSCOMMON),17/10/2010,4.3,0.0, ,18.2,4.3,87,46,5.35,28.07
MERRIWA (ROSCOMMON),18/10/2010,5.0,0.2, ,21.8,5.2,90,36,4.07,28.39
MERRIWA (ROSCOMMON),19/10/2010,4.5,0.0, ,21.0,6.2,90,48,4.24,27.84
MERRIWA (ROSCOMMON),20/10/2010,4.6,0.0, ,23.9,6.0,98,39,2.39,27.11
MERRIWA (ROSCOMMON),21/10/2010,4.4,0.0, ,25.4,6.3,98,41,2.10,24.03
MERRIWA (ROSCOMMON),22/10/2010,4.1,0.0, ,24.9,6.0,98,46,2.36,22.05
MERRIWA (ROSCOMMON),23/10/2010,4.8,19.8, ,26.9,5.9,98,41,2.55,24.82
MERRIWA (ROSCOMMON),24/10/2010,1.7,16.6, ,14.4,13.9,98,87,3.52,11.26
MERRIWA (ROSCOMMON),25/10/2010,3.5,8.2, ,21.0,10.7,98,65,2.42,21.81
MERRIWA (ROSCOMMON),26/10/2010,4.8,0.0, ,25.2,9.8,98,37,1.67,27.64
MERRIWA (ROSCOMMON),27/10/2010,5.7,0.0, ,26.8,6.9,98,29,3.17,28.11
MERRIWA (ROSCOMMON),28/10/2010,4.3,0.0, ,22.4,11.8,90,57,5.55,21.89
MERRIWA (ROSCOMMON),29/10/2010,4.6,0.0, ,24.7,8.3,98,55,3.27,26.77
MERRIWA (ROSCOMMON),30/10/2010,5.0,0.0, ,28.1,9.9,98,42,2.66,24.58
MERRIWA (ROSCOMMON),31/10/2010,4.3,0.0, ,26.8,15.5,88,58,3.67,18.86
Totals:,,119.2,74.6, ,,,,,, 
