'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERRIWA (ROSCOMMON) New South Wales for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERRIWA (ROSCOMMON),01/08/2011,2.1,0.0, ,21.8,2.6,92,36,1.74,12.16
MERRIWA (ROSCOMMON),02/08/2011,2.7,0.0, ,24.0,-0.1,98,22,1.91,14.33
MERRIWA (ROSCOMMON),03/08/2011,2.7,0.0, ,25.3,1.8,92,23,1.76,12.62
MERRIWA (ROSCOMMON),04/08/2011, ,0.0, ,24.9,1.3,98,22,1.61, 
MERRIWA (ROSCOMMON),05/08/2011,2.9,0.0, ,22.0,0.3,94,33,2.90,13.17
MERRIWA (ROSCOMMON),06/08/2011,3.1,0.0, ,22.6,2.6,93,39,3.91,9.86
MERRIWA (ROSCOMMON),07/08/2011,1.9,3.2, ,18.3,9.9,98,56,3.42,7.34
MERRIWA (ROSCOMMON),08/08/2011,2.2,3.6, ,15.7,1.6,98,41,3.93,9.68
MERRIWA (ROSCOMMON),09/08/2011,1.9,2.4, ,13.5,2.7,98,52,4.13,11.58
MERRIWA (ROSCOMMON),10/08/2011,2.0,0.6, ,13.9,1.2,97,46,3.95,10.51
MERRIWA (ROSCOMMON),11/08/2011,2.0,0.0, ,15.2,-0.1,98,47,3.22,10.10
MERRIWA (ROSCOMMON),12/08/2011,2.2,0.0, ,17.8,-0.8,98,40,2.51,12.20
MERRIWA (ROSCOMMON),13/08/2011,1.6,0.0, ,15.8,-1.4,98,51,1.41,11.66
MERRIWA (ROSCOMMON),14/08/2011,2.1,0.0, ,19.3,2.5,98,34,1.64,13.14
MERRIWA (ROSCOMMON),15/08/2011,1.8,0.0, ,18.0,1.8,98,48,1.77,11.26
MERRIWA (ROSCOMMON),16/08/2011,2.3,0.0, ,19.6,4.2,98,37,2.06,13.80
MERRIWA (ROSCOMMON),17/08/2011,1.2,1.8, ,15.4,5.2,98,79,3.82,5.96
MERRIWA (ROSCOMMON),18/08/2011,2.6,13.0, ,14.4,7.7,98,43,6.05,12.84
MERRIWA (ROSCOMMON),19/08/2011,1.8,0.2, ,14.7,5.0,98,57,3.43,9.37
MERRIWA (ROSCOMMON),20/08/2011,2.7,9.8, ,18.0,8.5,98,52,5.34,13.93
MERRIWA (ROSCOMMON),21/08/2011,1.9,0.4, ,15.6,5.5,98,65,5.37,9.89
MERRIWA (ROSCOMMON),22/08/2011,2.5,0.8, ,17.1,4.9,98,50,5.26,9.97
MERRIWA (ROSCOMMON),23/08/2011,2.7,0.4, ,18.3,8.2,98,51,4.58,14.15
MERRIWA (ROSCOMMON),24/08/2011,2.2,0.0, ,18.6,0.9,98,49,1.85,16.07
MERRIWA (ROSCOMMON),25/08/2011,3.2,0.0, ,23.1,-0.2,98,27,2.20,17.75
MERRIWA (ROSCOMMON),26/08/2011,3.0,0.0, ,22.9,0.2,98,28,1.81,18.43
MERRIWA (ROSCOMMON),27/08/2011,1.4,0.0, ,16.6,3.7,98,62,1.33,7.12
MERRIWA (ROSCOMMON),28/08/2011,3.0,0.0, ,22.0,0.1,98,33,2.14,17.38
MERRIWA (ROSCOMMON),29/08/2011,3.8,0.0, ,23.6,3.8,94,32,3.44,17.94
MERRIWA (ROSCOMMON),30/08/2011,2.2,0.0, ,19.7,2.1,98,57,2.38,13.42
MERRIWA (ROSCOMMON),31/08/2011,2.6,0.0, ,21.2,5.1,98,37,1.38,17.31
Totals:,,70.3,36.2, ,,,,,, 
