'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MONTAGUE ISLAND LIGHTHOUSE New South Wales for February 2012,,,,,,,,,,
Issued at 22:33 GMT on Thursday 01 March 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MONTAGUE ISLAND LIGHTHOUSE,01/02/2012,3.2,0.0, ,20.3,15.2,89,62,6.60,11.74
MONTAGUE ISLAND LIGHTHOUSE,02/02/2012,3.4,0.0, ,19.5,15.9,100,32,5.20,9.01
MONTAGUE ISLAND LIGHTHOUSE,03/02/2012,4.3,12.0, ,20.6,15.3,100,30,8.98,8.26
MONTAGUE ISLAND LIGHTHOUSE,04/02/2012, ,1.2, , ,15.8,100,27,4.18,27.20
MONTAGUE ISLAND LIGHTHOUSE,05/02/2012, , , ,23.0, ,100,24,8.34,28.04
MONTAGUE ISLAND LIGHTHOUSE,06/02/2012, ,0.0, , ,18.4,100,62,10.08,12.09
MONTAGUE ISLAND LIGHTHOUSE,07/02/2012, , , ,20.9, ,100,32,4.87,13.07
MONTAGUE ISLAND LIGHTHOUSE,08/02/2012,3.8,1.0, ,19.6,14.9,100,33,8.45,6.41
MONTAGUE ISLAND LIGHTHOUSE,09/02/2012,4.2,10.8, ,21.1,14.9,100,29,6.22,11.45
MONTAGUE ISLAND LIGHTHOUSE,10/02/2012, ,77.6, , ,16.6,100,28,5.37,8.50
MONTAGUE ISLAND LIGHTHOUSE,11/02/2012, ,27.6, ,20.6, ,100,31,3.31,13.93
MONTAGUE ISLAND LIGHTHOUSE,12/02/2012,4.8,0.0, ,22.4,16.3,100,30,4.01,21.82
MONTAGUE ISLAND LIGHTHOUSE,13/02/2012,4.4,15.0, ,21.8,16.1,100,31,3.88,19.24
MONTAGUE ISLAND LIGHTHOUSE,14/02/2012,4.6,4.6, ,21.9,17.0,100,29,5.46,17.02
MONTAGUE ISLAND LIGHTHOUSE,15/02/2012,3.7,0.0, ,22.4,17.9,99,73,7.87,22.90
MONTAGUE ISLAND LIGHTHOUSE,16/02/2012,5.6,0.0, ,22.6,19.0,100,26,7.86,20.65
MONTAGUE ISLAND LIGHTHOUSE,17/02/2012, ,0.0, , ,18.2,100,25,4.45,12.24
MONTAGUE ISLAND LIGHTHOUSE,18/02/2012, , , ,23.2, ,100,27,3.83,17.18
MONTAGUE ISLAND LIGHTHOUSE,19/02/2012,4.1,18.2, ,22.7,18.6,100,25,4.14,13.66
MONTAGUE ISLAND LIGHTHOUSE,20/02/2012,4.6,1.2, ,23.1,18.3,100,27,5.21,15.35
MONTAGUE ISLAND LIGHTHOUSE,21/02/2012,3.5,0.2, ,23.0,18.8,93,69,9.81,13.84
MONTAGUE ISLAND LIGHTHOUSE,22/02/2012, ,0.2, , ,16.8,100,62,6.25,19.62
MONTAGUE ISLAND LIGHTHOUSE,23/02/2012, , , ,24.2, ,99,76,3.62,24.52
MONTAGUE ISLAND LIGHTHOUSE,24/02/2012,5.6,0.0, ,24.0,19.0,100,23,4.62,25.36
MONTAGUE ISLAND LIGHTHOUSE,25/02/2012, ,0.0, , ,18.6,100,25,9.45,26.09
MONTAGUE ISLAND LIGHTHOUSE,26/02/2012, , , ,23.3, ,100,23,11.79,13.15
MONTAGUE ISLAND LIGHTHOUSE,27/02/2012,5.7,0.0, ,25.5,20.8,100,23,9.05,11.23
MONTAGUE ISLAND LIGHTHOUSE,28/02/2012,3.4,0.8, ,21.1,19.3,100,25,5.73,3.12
MONTAGUE ISLAND LIGHTHOUSE,29/02/2012,3.8,26.8, ,19.7,17.0,100,28,8.75,2.77
Totals:,,72.7,197.2, ,,,,,, 
