'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MONTAGUE ISLAND LIGHTHOUSE New South Wales for November 2015,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MONTAGUE ISLAND LIGHTHOUSE,01/11/2015,4.2,0.0, ,22.7,17.6,90,73,9.24,24.46
MONTAGUE ISLAND LIGHTHOUSE,02/11/2015,1.6,5.4, ,19.5,16.9,98,80,5.66,6.05
MONTAGUE ISLAND LIGHTHOUSE,03/11/2015,2.7,4.2, ,19.9,15.4,97,66,5.59,11.74
MONTAGUE ISLAND LIGHTHOUSE,04/11/2015,1.9,12.4, ,18.5,15.6,99,74,10.81,4.64
MONTAGUE ISLAND LIGHTHOUSE,05/11/2015,1.4,4.8, ,19.3,15.5,100,85,10.35,5.49
MONTAGUE ISLAND LIGHTHOUSE,06/11/2015,2.7,13.4, ,22.6,16.9,100,77,3.49,14.33
MONTAGUE ISLAND LIGHTHOUSE,07/11/2015,2.2,1.2, ,17.8,15.5,98,65,8.15,6.25
MONTAGUE ISLAND LIGHTHOUSE,08/11/2015,3.8,0.0, ,19.4,13.9,75,63,4.76,19.16
MONTAGUE ISLAND LIGHTHOUSE,09/11/2015,4.5,0.0, ,20.1,14.9,90,66,6.00,28.70
MONTAGUE ISLAND LIGHTHOUSE,10/11/2015,3.9,0.0, ,22.5,15.6,95,70,6.74,22.14
MONTAGUE ISLAND LIGHTHOUSE,11/11/2015,1.5,7.2, ,19.3,15.9,99,79,10.29,2.72
MONTAGUE ISLAND LIGHTHOUSE,12/11/2015,2.0,11.0, ,20.0,16.3,95,86,7.35,10.13
MONTAGUE ISLAND LIGHTHOUSE,13/11/2015,2.8,0.2, ,20.0,16.2,94,70,6.86,11.65
MONTAGUE ISLAND LIGHTHOUSE,14/11/2015,3.1,4.0, ,18.8,14.6,84,60,6.37,10.34
MONTAGUE ISLAND LIGHTHOUSE,15/11/2015,3.9,1.6, ,18.5,13.8,92,63,7.07,24.31
MONTAGUE ISLAND LIGHTHOUSE,16/11/2015,4.9,3.8, ,19.8,14.4,81,57,4.15,29.45
MONTAGUE ISLAND LIGHTHOUSE,17/11/2015,4.7,0.0, ,22.9,15.2,89,66,7.21,26.49
MONTAGUE ISLAND LIGHTHOUSE,18/11/2015,5.5,0.0, ,23.9,17.9,93,58,6.02,30.03
MONTAGUE ISLAND LIGHTHOUSE,19/11/2015,4.2,0.2, ,23.6,16.6,97,77,5.14,26.06
MONTAGUE ISLAND LIGHTHOUSE,20/11/2015,4.9,0.0, ,23.4,18.6,93,70,6.08,29.51
MONTAGUE ISLAND LIGHTHOUSE,21/11/2015,5.9,1.0, ,22.3,15.1,94,41,7.46,29.94
MONTAGUE ISLAND LIGHTHOUSE,22/11/2015,3.4,0.6, ,20.8,14.4,94,69,6.62,17.91
MONTAGUE ISLAND LIGHTHOUSE,23/11/2015,3.6,0.8, ,20.4,15.0,96,67,7.93,19.66
MONTAGUE ISLAND LIGHTHOUSE,24/11/2015,4.6,0.0, ,22.2,17.0,93,70,6.97,28.58
MONTAGUE ISLAND LIGHTHOUSE,25/11/2015,6.8,0.0, ,28.8,17.1,97,52,8.29,31.49
MONTAGUE ISLAND LIGHTHOUSE,26/11/2015,11.7,0.0, ,32.6,21.1,79,18,12.36,30.63
MONTAGUE ISLAND LIGHTHOUSE,27/11/2015,5.3,0.0, ,19.2,12.5,65,49,5.77,27.18
MONTAGUE ISLAND LIGHTHOUSE,28/11/2015,3.0,0.0, ,20.6,15.1,93,56,4.11,11.19
MONTAGUE ISLAND LIGHTHOUSE,29/11/2015,2.9,0.0, ,22.1,17.2,100,83,8.67,18.89
MONTAGUE ISLAND LIGHTHOUSE,30/11/2015,4.8,9.2, ,23.0,15.8,94,70,4.30,29.20
Totals:,,118.4,81, ,,,,,, 
