'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MONTAGUE ISLAND LIGHTHOUSE New South Wales for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MONTAGUE ISLAND LIGHTHOUSE,01/02/2016,3.6,0.8, ,22.1,17.7,91,61,4.60,16.29
MONTAGUE ISLAND LIGHTHOUSE,02/02/2016,5.4,5.6, ,24.7,16.1,89,57,4.89,29.12
MONTAGUE ISLAND LIGHTHOUSE,03/02/2016,3.8,0.0, ,25.1,19.3,93,71,7.42,17.37
MONTAGUE ISLAND LIGHTHOUSE,04/02/2016,5.8,2.8, ,23.5,18.8,78,61,13.12,26.03
MONTAGUE ISLAND LIGHTHOUSE,05/02/2016,3.3,2.2, ,22.3,17.1,96,74,9.24,17.28
MONTAGUE ISLAND LIGHTHOUSE,06/02/2016,4.0,3.8, ,23.6,17.2,84,63,4.72,17.96
MONTAGUE ISLAND LIGHTHOUSE,07/02/2016,5.1,0.0, ,24.0,18.5,89,67,4.11,29.27
MONTAGUE ISLAND LIGHTHOUSE,08/02/2016,5.1,0.0, ,25.7,19.2,93,68,3.55,28.46
MONTAGUE ISLAND LIGHTHOUSE,09/02/2016,5.4,0.0, ,24.3,19.2,89,58,5.60,27.84
MONTAGUE ISLAND LIGHTHOUSE,10/02/2016, ,0.0, , ,19.4,90,65,4.74,26.62
MONTAGUE ISLAND LIGHTHOUSE,11/02/2016, , , ,26.2, ,92,72,5.18,12.80
MONTAGUE ISLAND LIGHTHOUSE,12/02/2016,4.4,2.6, ,25.8,20.2,96,75,5.90,24.92
MONTAGUE ISLAND LIGHTHOUSE,13/02/2016,4.5,0.2, ,25.0,21.9,93,77,9.30,26.55
MONTAGUE ISLAND LIGHTHOUSE,14/02/2016,4.4,0.0, ,24.3,20.7,96,66,9.53,22.14
MONTAGUE ISLAND LIGHTHOUSE,15/02/2016,3.8,0.0, ,24.7,19.9,91,65,4.50,17.06
MONTAGUE ISLAND LIGHTHOUSE,16/02/2016,4.7,0.0, ,22.5,19.7,92,53,10.63,17.61
MONTAGUE ISLAND LIGHTHOUSE,17/02/2016,5.3,0.0, ,22.6,15.0,75,43,6.21,21.43
MONTAGUE ISLAND LIGHTHOUSE,18/02/2016,5.2,0.0, ,24.3,17.2,83,51,4.46,25.97
MONTAGUE ISLAND LIGHTHOUSE,19/02/2016,5.5,0.0, ,26.8,20.0,86,62,6.42,26.14
MONTAGUE ISLAND LIGHTHOUSE,20/02/2016,2.1,0.0, ,20.3,19.1,91,77,8.24,4.70
MONTAGUE ISLAND LIGHTHOUSE,21/02/2016,3.5,0.0, ,23.4,18.0,89,65,4.38,15.86
MONTAGUE ISLAND LIGHTHOUSE,22/02/2016,4.4,0.0, ,25.5,19.5,94,71,5.84,23.60
MONTAGUE ISLAND LIGHTHOUSE,23/02/2016,4.2,0.0, ,25.6,21.3,97,77,6.75,24.46
MONTAGUE ISLAND LIGHTHOUSE,24/02/2016,4.3,0.0, ,27.6,22.1,94,75,9.12,21.10
MONTAGUE ISLAND LIGHTHOUSE,25/02/2016,5.2,0.0, ,28.5,21.5,96,62,7.60,23.32
MONTAGUE ISLAND LIGHTHOUSE,26/02/2016,3.1,0.0, ,24.2,21.5,84,66,7.01,5.93
MONTAGUE ISLAND LIGHTHOUSE,27/02/2016,3.9,0.0, ,24.0,19.7,80,61,5.18,14.52
MONTAGUE ISLAND LIGHTHOUSE,28/02/2016,3.9,0.0, ,25.6,20.0,90,66,5.90,16.53
MONTAGUE ISLAND LIGHTHOUSE,29/02/2016,3.2,0.0, ,23.5,19.6,77,64,4.76,8.49
Totals:,,117.1,18, ,,,,,, 
