'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MONTAGUE ISLAND LIGHTHOUSE New South Wales for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MONTAGUE ISLAND LIGHTHOUSE,01/04/2016,3.5,0.0, ,23.3,17.0,87,66,4.82,19.24
MONTAGUE ISLAND LIGHTHOUSE,02/04/2016,5.2,0.0, ,27.2,18.6,83,36,6.59,12.92
MONTAGUE ISLAND LIGHTHOUSE,03/04/2016,3.1,0.0, ,19.4,17.0,74,51,5.12,7.13
MONTAGUE ISLAND LIGHTHOUSE,04/04/2016,3.0,0.0, ,22.2,16.8,87,60,4.39,13.19
MONTAGUE ISLAND LIGHTHOUSE,05/04/2016,3.3,0.0, ,23.6,18.5,94,73,10.08,17.68
MONTAGUE ISLAND LIGHTHOUSE,06/04/2016,3.6,0.0, ,26.2,19.9,94,68,7.00,17.02
MONTAGUE ISLAND LIGHTHOUSE,07/04/2016,4.7,0.0, ,19.3,15.0,73,40,8.21,19.07
MONTAGUE ISLAND LIGHTHOUSE,08/04/2016,2.3,0.0, ,20.5,16.7,84,64,3.74,7.75
MONTAGUE ISLAND LIGHTHOUSE,09/04/2016,3.3,0.0, ,21.0,15.7,82,53,3.74,18.13
MONTAGUE ISLAND LIGHTHOUSE,10/04/2016,2.8,0.0, ,21.8,17.4,89,68,3.90,16.32
MONTAGUE ISLAND LIGHTHOUSE,11/04/2016,3.1,0.0, ,21.6,15.9,90,61,4.30,17.34
MONTAGUE ISLAND LIGHTHOUSE,12/04/2016,3.1,0.0, ,20.2,16.2,86,54,4.98,13.13
MONTAGUE ISLAND LIGHTHOUSE,13/04/2016,3.0,0.2, ,21.0,16.3,84,60,4.63,14.56
MONTAGUE ISLAND LIGHTHOUSE,14/04/2016,3.2,0.0, ,21.9,16.6,88,68,7.05,16.90
MONTAGUE ISLAND LIGHTHOUSE,15/04/2016,2.6,0.0, ,22.3,17.4,94,69,5.80,11.96
MONTAGUE ISLAND LIGHTHOUSE,16/04/2016,2.6,0.0, ,21.7,18.6,92,64,5.68,9.71
MONTAGUE ISLAND LIGHTHOUSE,17/04/2016,2.3,6.8, ,19.9,16.5,100,67,8.20,9.67
MONTAGUE ISLAND LIGHTHOUSE,18/04/2016,1.5,62.8, ,19.9,15.4,97,81,4.01,8.00
MONTAGUE ISLAND LIGHTHOUSE,19/04/2016,2.7,2.4, ,21.8,15.9,90,65,3.68,16.73
MONTAGUE ISLAND LIGHTHOUSE,20/04/2016,2.5,0.0, ,22.1,17.1,93,76,4.32,16.77
MONTAGUE ISLAND LIGHTHOUSE,21/04/2016,2.2,0.0, ,22.4,17.4,96,79,4.32,14.01
MONTAGUE ISLAND LIGHTHOUSE,22/04/2016,2.1,1.8, ,20.1,17.3,93,71,7.44,6.51
MONTAGUE ISLAND LIGHTHOUSE,23/04/2016,4.0,0.4, ,19.8,15.1,76,47,7.92,15.84
MONTAGUE ISLAND LIGHTHOUSE,24/04/2016,2.7,0.0, ,20.0,15.7,89,59,4.41,15.15
MONTAGUE ISLAND LIGHTHOUSE,25/04/2016,2.9,0.0, ,21.4,15.3,91,58,4.88,15.76
MONTAGUE ISLAND LIGHTHOUSE,26/04/2016,3.1,0.0, ,21.3,15.0,89,61,7.06,15.65
MONTAGUE ISLAND LIGHTHOUSE,27/04/2016,3.8,0.0, ,21.9,16.6,91,52,9.39,15.54
MONTAGUE ISLAND LIGHTHOUSE,28/04/2016,2.6,0.0, ,22.6,17.3,93,64,5.02,13.55
MONTAGUE ISLAND LIGHTHOUSE,29/04/2016,2.8,0.0, ,23.2,17.4,94,65,6.82,12.66
MONTAGUE ISLAND LIGHTHOUSE,30/04/2016,2.4,2.6, ,23.5,19.1,94,75,5.43,13.52
Totals:,,90,77, ,,,,,, 
