'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MONTAGUE ISLAND LIGHTHOUSE New South Wales for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MONTAGUE ISLAND LIGHTHOUSE,01/07/2016,3.0,0.0, ,16.2,10.7,66,44,6.63,9.21
MONTAGUE ISLAND LIGHTHOUSE,02/07/2016,2.5,0.0, ,18.6,11.1,70,38,3.83,10.05
MONTAGUE ISLAND LIGHTHOUSE,03/07/2016,1.9,0.0, ,16.5,10.8,76,46,3.41,10.10
MONTAGUE ISLAND LIGHTHOUSE,04/07/2016,1.5,0.0, ,15.4,10.4,80,61,3.08,9.32
MONTAGUE ISLAND LIGHTHOUSE,05/07/2016,1.1,0.0, ,13.9,11.7,95,74,4.45,2.50
MONTAGUE ISLAND LIGHTHOUSE,06/07/2016,1.7,14.4, ,16.7,10.7,98,72,10.99,5.85
MONTAGUE ISLAND LIGHTHOUSE,07/07/2016,1.3,30.2, ,15.7,12.3,98,80,11.06,7.74
MONTAGUE ISLAND LIGHTHOUSE,08/07/2016,0.9,29.0, ,14.1,11.5,99,85,6.77,4.84
MONTAGUE ISLAND LIGHTHOUSE,09/07/2016,1.8,25.8, ,15.9,11.5,92,63,6.54,9.16
MONTAGUE ISLAND LIGHTHOUSE,10/07/2016,1.8,0.0, ,17.0,12.0,89,67,6.07,6.09
MONTAGUE ISLAND LIGHTHOUSE,11/07/2016,4.2,0.8, ,20.1,13.6,79,36,9.85,10.48
MONTAGUE ISLAND LIGHTHOUSE,12/07/2016,5.2,0.0, ,18.5,14.3,60,31,11.11,10.55
MONTAGUE ISLAND LIGHTHOUSE,13/07/2016,4.3,0.0, ,13.7,9.7,63,27,11.94,10.60
MONTAGUE ISLAND LIGHTHOUSE,14/07/2016,3.0,0.0, ,15.3,8.9,62,35,5.66,10.68
MONTAGUE ISLAND LIGHTHOUSE,15/07/2016,2.2,0.0, ,15.2,9.4,72,42,3.45,13.31
MONTAGUE ISLAND LIGHTHOUSE,16/07/2016,1.4,0.0, ,13.9,10.2,83,63,2.80,10.65
MONTAGUE ISLAND LIGHTHOUSE,17/07/2016,1.3,0.0, ,16.8,10.3,96,77,4.42,10.86
MONTAGUE ISLAND LIGHTHOUSE,18/07/2016,2.0,0.0, ,20.1,11.9,94,53,3.75,10.97
MONTAGUE ISLAND LIGHTHOUSE,19/07/2016,1.6,0.0, ,18.3,14.3,90,74,4.36,10.02
MONTAGUE ISLAND LIGHTHOUSE,20/07/2016,0.9,0.4, ,14.6,13.4,98,82,4.23,2.97
MONTAGUE ISLAND LIGHTHOUSE,21/07/2016,1.2,2.0, ,17.6,12.7,96,82,5.09,7.59
MONTAGUE ISLAND LIGHTHOUSE,22/07/2016,3.5,0.0, ,23.6,13.7,95,51,9.22,9.85
MONTAGUE ISLAND LIGHTHOUSE,23/07/2016,4.8,3.6, ,17.7,12.4,67,28,10.28,11.17
MONTAGUE ISLAND LIGHTHOUSE,24/07/2016,2.6,0.0, ,13.9,7.9,68,35,4.84,10.49
MONTAGUE ISLAND LIGHTHOUSE,25/07/2016,3.1,0.0, ,17.1,9.0,78,37,6.34,11.58
MONTAGUE ISLAND LIGHTHOUSE,26/07/2016,3.7,0.0, ,15.2,11.1,61,30,7.07,11.60
MONTAGUE ISLAND LIGHTHOUSE,27/07/2016,2.2,0.0, ,16.7,9.8,87,45,3.83,11.69
MONTAGUE ISLAND LIGHTHOUSE,28/07/2016,2.0,0.0, ,16.2,10.0,90,51,4.17,11.85
MONTAGUE ISLAND LIGHTHOUSE,29/07/2016,1.8,0.0, ,14.4,9.0,76,54,3.12,11.34
MONTAGUE ISLAND LIGHTHOUSE,30/07/2016,2.5,0.0, ,16.9,10.8,76,45,4.23,12.03
MONTAGUE ISLAND LIGHTHOUSE,31/07/2016,1.9,3.2, ,17.3,11.2,89,60,3.92,11.25
Totals:,,72.9,109.4, ,,,,,, 
