'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOREE AERO New South Wales for November 2010,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 December 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOREE AERO,01/11/2010,2.3,0.0,7.4,17.7,14.2,99,59,2.97,9.74
MOREE AERO,02/11/2010,5.7,15.0,1.4,22.2,7.8,99,21,4.01,30.39
MOREE AERO,03/11/2010,6.0,0.2,7.0,25.5,8.0,86,23,3.14,30.59
MOREE AERO,04/11/2010,5.8,0.0,6.6,27.1,10.9,90,25,3.26,25.57
MOREE AERO,05/11/2010,5.4,0.0,6.2,25.5,15.2,86,38,4.48,21.88
MOREE AERO,06/11/2010,6.1,8.0,4.8,27.4,10.8,95,26,3.15,29.75
MOREE AERO,07/11/2010,7.5,0.2,8.0,29.2,13.3,86,32,6.21,29.65
MOREE AERO,08/11/2010,6.9,2.4,9.0,29.4,15.6,94,37,6.01,27.42
MOREE AERO,09/11/2010,6.4,6.6,7.6,30.2,18.4,93,32,3.56,26.19
MOREE AERO,10/11/2010,7.0,0.2,8.0,30.4,17.3,88,36,4.42,29.03
MOREE AERO,11/11/2010,5.1,0.0,7.4,26.5,18.1,92,51,6.17,20.55
MOREE AERO,12/11/2010,7.3,0.0,5.2,32.0,16.0,91,37,5.74,26.02
MOREE AERO,13/11/2010,8.8,0.0,11.4,32.2,20.1,75,31,7.12,27.93
MOREE AERO,14/11/2010,7.5,0.0,9.6,31.3,19.5,72,35,6.03,23.02
MOREE AERO,15/11/2010,3.5,0.0,8.4,23.8,21.6,98,52,5.05,11.81
MOREE AERO,16/11/2010,5.1,25.0,3.8,27.6,17.9,99,49,3.15,23.61
MOREE AERO,17/11/2010,5.1,1.0,3.4,28.0,18.3,96,39,2.71,22.42
MOREE AERO,18/11/2010,2.5,0.0,5.6,22.2,19.0,96,73,3.47,10.86
MOREE AERO,19/11/2010,6.4,13.4,1.4,29.3,13.6,100,31,3.70,27.68
MOREE AERO,20/11/2010,6.9,0.2,7.6,29.7,15.2,89,33,4.50,28.20
MOREE AERO,21/11/2010,4.6,0.0,9.2,23.5,15.5,82,43,3.82,18.92
MOREE AERO,22/11/2010,6.3,0.0,4.2,27.4,13.8,90,33,5.45,24.37
MOREE AERO,23/11/2010,8.0,0.0,8.4,28.9,17.1,71,28,6.57,27.55
MOREE AERO,24/11/2010,7.7,0.0,10.2,29.5,15.3,79,27,5.57,28.43
MOREE AERO,25/11/2010,7.5,0.0,9.0,29.2,14.0,83,26,5.08,29.10
MOREE AERO,26/11/2010,6.4,0.0,8.0,28.2,15.2,85,27,3.93,25.76
MOREE AERO,27/11/2010,8.1,0.0,8.0,30.2,17.6,77,27,6.40,26.80
MOREE AERO,28/11/2010,5.6,0.0,12.0,27.0,19.1,88,43,7.17,16.35
MOREE AERO,29/11/2010,4.8,0.0,6.4,27.2,18.7,97,49,4.81,18.43
MOREE AERO,30/11/2010,3.6,30.8,7.0,23.6,18.5,98,68,4.69,17.51
Totals:,,179.9,103,212.2,,,,,, 
