'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOREE AERO New South Wales for March 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOREE AERO,01/03/2013,2.2,57.6,9.4,22.2,20.2,98,83,5.59,11.01
MOREE AERO,02/03/2013,5.2,11.2,0.6,28.8,18.2,97,51,6.44,19.87
MOREE AERO,03/03/2013,5.2,0.8,8.8,29.4,18.8,93,38,4.96,15.94
MOREE AERO,04/03/2013,6.0,0.0,5.6,30.4,17.4,88,40,5.39,20.44
MOREE AERO,05/03/2013,6.5,0.0,7.8,29.9,17.9,86,39,5.64,24.33
MOREE AERO,06/03/2013,5.9,0.0,9.2,29.5,16.1,84,36,4.28,22.63
MOREE AERO,07/03/2013,5.9,0.0,7.6,29.5,16.3,84,32,3.95,23.02
MOREE AERO,08/03/2013,6.1,0.0,7.8,29.6,16.4,86,33,4.19,24.48
MOREE AERO,09/03/2013,5.9,0.0,7.8,29.1,20.2,74,34,4.47,19.63
MOREE AERO,10/03/2013,5.4,0.0,5.6,29.8,17.5,85,34,3.27,21.64
MOREE AERO,11/03/2013,5.8,0.0,7.2,29.9,17.4,87,33,3.98,22.04
MOREE AERO,12/03/2013,6.5,0.0,8.0,29.9,16.4,79,26,4.46,23.14
MOREE AERO,13/03/2013,6.4,0.0,8.8,29.9,18.5,69,26,3.94,23.53
MOREE AERO,14/03/2013,6.2,0.0,8.0,31.5,15.6,85,26,3.79,22.65
MOREE AERO,15/03/2013,6.5,0.0,9.4,32.3,17.4,73,27,3.79,23.14
MOREE AERO,16/03/2013,6.8,0.0,7.8,33.2,18.7,80,29,4.33,22.79
MOREE AERO,17/03/2013,8.1,0.0,8.4,28.4,16.6,52,11,6.07,23.83
MOREE AERO,18/03/2013,6.1,0.0,11.2,29.4,13.5,58,29,3.74,22.85
MOREE AERO,19/03/2013,6.2,0.0,7.4,29.7,14.9,84,25,4.62,21.60
MOREE AERO,20/03/2013,6.1,0.0,8.2,28.9,14.2,81,28,4.63,21.85
MOREE AERO,21/03/2013,5.8,0.0,8.2,29.6,14.3,83,43,5.91,19.44
MOREE AERO,22/03/2013,5.9,0.0,8.0,31.9,18.9,86,39,5.41,16.92
MOREE AERO,23/03/2013,4.8,5.6,6.4,30.8,20.1,95,48,4.32,17.18
MOREE AERO,24/03/2013,4.5,4.8,4.4,32.7,20.0,95,40,2.31,18.27
MOREE AERO,25/03/2013,5.3,0.0,6.8,33.2,15.3,90,19,2.25,22.07
MOREE AERO,26/03/2013,4.8,0.0,6.8,30.4,17.7,91,42,3.52,18.82
MOREE AERO,27/03/2013,5.8,0.0,5.6,30.6,19.5,81,31,4.10,20.05
MOREE AERO,28/03/2013, ,0.0,6.6,30.4,18.9,87,36,4.01, 
MOREE AERO,29/03/2013, ,0.0,8.0,29.1,21.0,85,31,3.77, 
MOREE AERO,30/03/2013, ,0.0,7.0,30.1,12.0,70,29,3.04, 
MOREE AERO,31/03/2013, ,0.0,6.6,22.9,15.5,84,41,3.03, 
Totals:,,155.9,80,229,,,,,, 
