'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOREE AERO New South Wales for June 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOREE AERO,01/06/2013,2.5,0.0,4.0,21.0,10.8,91,44,3.81,8.50
MOREE AERO,02/06/2013,1.8,6.6,4.4,17.0,13.4,97,65,6.42,6.12
MOREE AERO,03/06/2013,2.6,5.8,2.2,17.8,5.7,100,40,4.05,15.42
MOREE AERO,04/06/2013,2.4,0.0,3.2,20.4,0.8,100,27,2.01,15.45
MOREE AERO,05/06/2013,2.7,0.0,2.2,21.3,5.4,94,41,3.86,11.97
MOREE AERO,06/06/2013,2.3,0.0,2.2,22.1,10.8,87,57,3.67,9.35
MOREE AERO,07/06/2013,2.2,0.0,1.6,22.4,14.3,89,53,3.15,9.09
MOREE AERO,08/06/2013,2.1,0.0,2.6,24.6,11.8,96,41,1.65,12.00
MOREE AERO,09/06/2013,2.4,0.0,3.0,22.2,11.1,89,49,3.47,9.91
MOREE AERO,10/06/2013,1.1,0.4,1.0,17.1,14.1,99,81,3.26,6.34
MOREE AERO,11/06/2013,2.2,0.4,0.6,22.6,9.4,100,57,3.62,12.79
MOREE AERO,12/06/2013,2.2,0.0,2.4,23.2,12.9,98,63,5.30,7.34
MOREE AERO,13/06/2013,1.6,15.0,4.0,17.2,13.2,100,64,3.48,11.09
MOREE AERO,14/06/2013,1.8,0.0,3.0,15.8,8.4,95,56,3.78,9.36
MOREE AERO,15/06/2013,1.8,0.0,3.8,15.0,9.6,95,58,4.37,9.97
MOREE AERO,16/06/2013,1.9,0.0,2.6,15.8,2.9,100,34,2.20,14.44
MOREE AERO,17/06/2013,1.7,0.0,2.4,15.6,1.2,100,38,1.86,14.55
MOREE AERO,18/06/2013,2.1,0.0,2.0,14.8,1.1,100,38,3.25,14.66
MOREE AERO,19/06/2013,2.1,0.0,2.4,16.6,-0.1,97,42,3.39,14.38
MOREE AERO,20/06/2013,1.6,0.0,2.6,15.5,6.3,84,44,1.90,8.73
MOREE AERO,21/06/2013,2.0,0.0,2.6,18.0,8.0,95,43,2.84,12.22
MOREE AERO,22/06/2013,1.7,0.0,3.6,18.4,2.3,100,37,1.39,14.56
MOREE AERO,23/06/2013,1.9,0.0,3.0,18.3,2.6,91,38,2.07,11.66
MOREE AERO,24/06/2013,2.2,0.0,1.2,17.5,1.7,96,27,2.72,12.80
MOREE AERO,25/06/2013,1.1,0.0,2.6,10.5,0.9,100,65,3.23,6.27
MOREE AERO,26/06/2013,1.7,1.4,0.4,16.7,0.4,100,57,2.74,14.56
MOREE AERO,27/06/2013,1.1,0.0,1.2,15.9,4.4,97,79,3.44,5.80
MOREE AERO,28/06/2013, ,0.8,4.2,21.0,9.6,99,50,3.44, 
MOREE AERO,29/06/2013,1.3,0.2,3.2,17.5,9.9,97,71,2.15,8.21
MOREE AERO,30/06/2013,1.8,1.0,0.6,18.4,6.0,100,53,2.70,12.99
Totals:,,55.9,31.6,74.8,,,,,, 
